dataset,model,kernel,scaler,poly,ridge,n_train,n_test,n_classes,MCC,ACC,TPR_macro,FPR,PPV_macro,F1_macro,AUROC_OvR_macro,AUROC_binary,t_preprocess_s,t_fit_s,t_predict_s,peak_rss_mb,status
5G_NIDD,HHH,laplacian,StandardScaler,-1,0.001,6880,1800,9,0.966376845285712,99.33333333333333,97.00000000000001,0.375,97.06740461119543,96.98347276598957,99.3634027777778,99.23234375,0.0511171817779541,1.233747959136963,0.34755682945251465,7165.3125,ok
5G_NIDD,HHH,laplacian,StandardScaler,-1,0.1,6880,1800,9,0.9576945514669073,99.1604938271605,96.22222222222221,0.4722222222222222,96.33936508691957,96.20657695921379,99.26541666666667,98.69859375000001,0.05502605438232422,1.3792130947113037,0.345186710357666,7165.3125,ok
5G_NIDD,HHH,laplacian,StandardScaler,-1,1e-05,6880,1800,9,0.966376845285712,99.33333333333333,97.00000000000001,0.375,97.06740461119543,96.98347276598957,99.37032986111112,99.24796875,0.053739070892333984,1.3628058433532715,0.3461952209472656,7165.3125,ok
5G_NIDD,HHH,laplacian,StandardScaler,-1,1e-07,6880,1800,9,0.966376845285712,99.33333333333333,97.00000000000001,0.375,97.06740461119543,96.98347276598957,99.3704861111111,99.24843749999998,0.05642509460449219,1.3391718864440918,0.34592390060424805,7165.3125,ok
5G_NIDD,HHH,laplacian,StandardScaler,-1,1e-09,6880,1800,9,0.966376845285712,99.33333333333333,97.00000000000001,0.375,97.06740461119543,96.98347276598957,99.3704861111111,99.24843749999998,0.051441192626953125,1.2967469692230225,0.35071420669555664,7165.3125,ok
5G_NIDD,HHHv2,laplacian,MinMaxScaler,-1,0.001,6880,1800,9,0.9968767306902709,99.93827160493827,99.72222222222223,0.034722222222222224,99.7235959501848,99.72221944960954,99.82638888888889,100.0,0.0521237850189209,1.450117826461792,0.34700798988342285,7165.3125,ok
5G_NIDD,HHHv2,laplacian,MinMaxScaler,-1,0.1,6880,1800,9,0.993130862248086,99.8641975308642,99.38888888888887,0.0763888888888889,99.39271737875211,99.38845166954184,99.8275,99.99812499999999,0.05945014953613281,1.175278902053833,0.34610986709594727,7165.3125,ok
5G_NIDD,HHHv2,laplacian,MinMaxScaler,-1,1e-05,6880,1800,9,0.9962534592194057,99.92592592592592,99.66666666666666,0.04166666666666667,99.66968251245143,99.66679759081107,99.83194444444443,100.0,0.05922698974609375,1.266502857208252,0.3486959934234619,7165.3125,ok
5G_NIDD,HHHv2,laplacian,MinMaxScaler,-1,1e-07,6880,1800,9,0.9962534592194057,99.92592592592592,99.66666666666666,0.04166666666666667,99.66968251245143,99.66679759081107,99.83204861111112,100.0,0.050950050354003906,1.4124557971954346,0.3478970527648926,7165.3125,ok
5G_NIDD,HHHv2,laplacian,MinMaxScaler,-1,1e-09,6880,1800,9,0.9962534592194057,99.92592592592592,99.66666666666666,0.04166666666666667,99.66968251245143,99.66679759081107,99.83204861111112,100.0,0.051093101501464844,1.2795560359954834,0.35146284103393555,7165.3125,ok
