,Data Type,Poly,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
0,CIC_IoT2023,2,None,QuantileTransformer,KNN,0.7953985857285455,-1,-1,95.13333333333334,77.46666666666667,2.92,77.37665070316059,76.107457383375,-1,"{'0Normal': {'precision': 0.5353535353535354, 'recall': 0.795, 'f1-score': 0.6398390342052315, 'support': 200.0}, 'DDoS/DoS': {'precision': 0.9928571428571429, 'recall': 0.973, 'f1-score': 0.9828282828282828, 'support': 1000.0}, 'Mirai': {'precision': 0.8389830508474576, 'recall': 0.99, 'f1-score': 0.9082568807339448, 'support': 200.0}, 'Scan': {'precision': 0.9207920792079208, 'recall': 0.93, 'f1-score': 0.9253731343283582, 'support': 200.0}, 'Spoofing': {'precision': 0.6609195402298851, 'recall': 0.575, 'f1-score': 0.6149732620320855, 'support': 200.0}, 'Web': {'precision': 0.6936936936936937, 'recall': 0.385, 'f1-score': 0.49517684887459806, 'support': 200.0}, 'accuracy': 0.854, 'macro avg': {'precision': 0.7737665070316059, 'recall': 0.7746666666666666, 'f1-score': 0.7610745738337501, 'support': 2000.0}, 'weighted avg': {'precision': 0.8614027613618207, 'recall': 0.854, 'f1-score': 0.8497760574315634, 'support': 2000.0}}","[[159   0   0   4  17  20]
 [  2 973  22   3   0   0]
 [  0   1 198   1   0   0]
 [  1   2   8 186   1   2]
 [ 67   1   2   3 115  12]
 [ 68   3   6   5  41  77]]",0.0025217533111572266,0.05631518363952637
1,CIC_IoT2023,2,None,QuantileTransformer,LDA,0.8855607839924646,-1,-1,97.31666666666666,87.51666666666668,1.6099999999999999,86.95654579689437,87.14896303548785,-1,"{'0Normal': {'precision': 0.7219730941704036, 'recall': 0.805, 'f1-score': 0.7612293144208038, 'support': 200.0}, 'DDoS/DoS': {'precision': 0.9969666329625885, 'recall': 0.986, 'f1-score': 0.9914529914529915, 'support': 1000.0}, 'Mirai': {'precision': 1.0, 'recall': 0.98, 'f1-score': 0.98989898989899, 'support': 200.0}, 'Scan': {'precision': 0.961352657004831, 'recall': 0.995, 'f1-score': 0.977886977886978, 'support': 200.0}, 'Spoofing': {'precision': 0.7303370786516854, 'recall': 0.65, 'f1-score': 0.6878306878306878, 'support': 200.0}, 'Web': {'precision': 0.8067632850241546, 'recall': 0.835, 'f1-score': 0.8206388206388205, 'support': 200.0}, 'accuracy': 0.9195, 'macro avg': {'precision': 0.8695654579689438, 'recall': 0.8751666666666668, 'f1-score': 0.8714896303548786, 'support': 2000.0}, 'weighted avg': {'precision': 0.9205259279664015, 'recall': 0.9195, 'f1-score': 0.9194749747941237, 'support': 2000.0}}","[[161   0   0   0  25  14]
 [  3 986   0   6   0   5]
 [  0   0 196   2   0   2]
 [  0   1   0 199   0   0]
 [ 51   0   0   0 130  19]
 [  8   2   0   0  23 167]]",0.6542596817016602,0.004975795745849609
2,CIC_IoT2023,2,None,QuantileTransformer,MLP,0.8869186618480275,-1,-1,97.33333333333334,86.86666666666666,1.6,88.1070112400958,86.83276418829404,-1,"{'0Normal': {'precision': 0.7453703703703703, 'recall': 0.805, 'f1-score': 0.7740384615384616, 'support': 200.0}, 'DDoS/DoS': {'precision': 1.0, 'recall': 0.997, 'f1-score': 0.99849774661993, 'support': 1000.0}, 'Mirai': {'precision': 0.9900497512437811, 'recall': 0.995, 'f1-score': 0.9925187032418954, 'support': 200.0}, 'Scan': {'precision': 0.9850746268656716, 'recall': 0.99, 'f1-score': 0.9875311720698254, 'support': 200.0}, 'Spoofing': {'precision': 0.64, 'recall': 0.8, 'f1-score': 0.7111111111111111, 'support': 200.0}, 'Web': {'precision': 0.9259259259259259, 'recall': 0.625, 'f1-score': 0.7462686567164178, 'support': 200.0}, 'accuracy': 0.92, 'macro avg': {'precision': 0.881070112400958, 'recall': 0.8686666666666666, 'f1-score': 0.8683276418829403, 'support': 2000.0}, 'weighted avg': {'precision': 0.9286420674405749, 'recall': 0.92, 'f1-score': 0.9203956837777362, 'support': 2000.0}}","[[161   0   0   0  35   4]
 [  0 997   0   1   2   0]
 [  0   0 199   1   0   0]
 [  0   0   2 198   0   0]
 [ 33   0   0   1 160   6]
 [ 22   0   0   0  53 125]]",2.4201743602752686,0.003973960876464844
3,CIC_IoT2023,2,None,QuantileTransformer,LGBM,0.9614444323977172,-1,-1,99.1,95.56666666666666,0.54,95.51369384787023,95.5375943410963,-1,"{'0Normal': {'precision': 0.9068627450980392, 'recall': 0.925, 'f1-score': 0.9158415841584158, 'support': 200.0}, 'DDoS/DoS': {'precision': 1.0, 'recall': 0.999, 'f1-score': 0.9994997498749374, 'support': 1000.0}, 'Mirai': {'precision': 1.0, 'recall': 0.995, 'f1-score': 0.9974937343358395, 'support': 200.0}, 'Scan': {'precision': 0.9950248756218906, 'recall': 1.0, 'f1-score': 0.9975062344139651, 'support': 200.0}, 'Spoofing': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 200.0}, 'Web': {'precision': 0.9289340101522843, 'recall': 0.915, 'f1-score': 0.9219143576826196, 'support': 200.0}, 'accuracy': 0.973, 'macro avg': {'precision': 0.9551369384787023, 'recall': 0.9556666666666667, 'f1-score': 0.9553759434109629, 'support': 2000.0}, 'weighted avg': {'precision': 0.9730821630872215, 'recall': 0.973, 'f1-score': 0.9730254659965527, 'support': 2000.0}}","[[185   0   0   0   9   6]
 [  0 999   0   0   1   0]
 [  0   0 199   1   0   0]
 [  0   0   0 200   0   0]
 [ 12   0   0   0 180   8]
 [  7   0   0   0  10 183]]",3.9741744995117188,0.03295326232910156
4,CIC_IoT2023,2,None,QuantileTransformer,RF,0.962275522842165,-1,-1,99.11666666666666,95.65,0.53,95.77266628274539,95.6327124233041,-1,"{'0Normal': {'precision': 0.8909952606635071, 'recall': 0.94, 'f1-score': 0.9148418491484186, 'support': 200.0}, 'DDoS/DoS': {'precision': 0.999, 'recall': 0.999, 'f1-score': 0.999, 'support': 1000.0}, 'Mirai': {'precision': 0.995, 'recall': 0.995, 'f1-score': 0.995, 'support': 200.0}, 'Scan': {'precision': 0.9900497512437811, 'recall': 0.995, 'f1-score': 0.9925187032418954, 'support': 200.0}, 'Spoofing': {'precision': 0.9661016949152542, 'recall': 0.855, 'f1-score': 0.9071618037135277, 'support': 200.0}, 'Web': {'precision': 0.9052132701421801, 'recall': 0.955, 'f1-score': 0.9294403892944039, 'support': 200.0}, 'accuracy': 0.9735, 'macro avg': {'precision': 0.9577266628274539, 'recall': 0.9565000000000001, 'f1-score': 0.956327124233041, 'support': 2000.0}, 'weighted avg': {'precision': 0.9742359976964723, 'recall': 0.9735, 'f1-score': 0.9733962745398245, 'support': 2000.0}}","[[188   0   0   0   5   7]
 [  0 999   0   1   0   0]
 [  0   0 199   1   0   0]
 [  0   1   0 199   0   0]
 [ 15   0   1   0 171  13]
 [  8   0   0   0   1 191]]",0.6348800659179688,0.014896392822265625
5,CIC_IoT2023,2,None,QuantileTransformer,NuSVC,0.90709879189319,-1,-1,97.83333333333334,89.43333333333334,1.3,89.95733231465098,89.62476795621339,-1,"{'0Normal': {'precision': 0.7625570776255708, 'recall': 0.835, 'f1-score': 0.7971360381861575, 'support': 200.0}, 'DDoS/DoS': {'precision': 0.9890764647467726, 'recall': 0.996, 'f1-score': 0.992526158445441, 'support': 1000.0}, 'Mirai': {'precision': 0.9949748743718593, 'recall': 0.99, 'f1-score': 0.9924812030075189, 'support': 200.0}, 'Scan': {'precision': 0.9655172413793104, 'recall': 0.98, 'f1-score': 0.9727047146401985, 'support': 200.0}, 'Spoofing': {'precision': 0.7958115183246073, 'recall': 0.76, 'f1-score': 0.7774936061381074, 'support': 200.0}, 'Web': {'precision': 0.8895027624309392, 'recall': 0.805, 'f1-score': 0.8451443569553806, 'support': 200.0}, 'accuracy': 0.935, 'macro avg': {'precision': 0.8995733231465098, 'recall': 0.8943333333333333, 'f1-score': 0.8962476795621339, 'support': 2000.0}, 'weighted avg': {'precision': 0.935374579786615, 'recall': 0.935, 'f1-score': 0.9347590711154566, 'support': 2000.0}}","[[167   3   0   0  22   8]
 [  0 996   0   4   0   0]
 [  0   1 198   1   0   0]
 [  0   3   0 196   0   1]
 [ 35   1   1   0 152  11]
 [ 17   3   0   2  17 161]]",0.31696557998657227,0.5018348693847656
6,CIC_IoT2023,2,None,QuantileTransformer,SGD,0.8422752172240012,-1,-1,96.18333333333334,80.91666666666666,2.29,83.68101311643629,77.78018796698278,-1,"{'0Normal': {'precision': 0.8055555555555556, 'recall': 0.145, 'f1-score': 0.24576271186440676, 'support': 200.0}, 'DDoS/DoS': {'precision': 0.9960159362549801, 'recall': 1.0, 'f1-score': 0.998003992015968, 'support': 1000.0}, 'Mirai': {'precision': 0.995, 'recall': 0.995, 'f1-score': 0.995, 'support': 200.0}, 'Scan': {'precision': 0.9949748743718593, 'recall': 0.99, 'f1-score': 0.9924812030075189, 'support': 200.0}, 'Spoofing': {'precision': 0.5555555555555556, 'recall': 0.775, 'f1-score': 0.6471816283924843, 'support': 200.0}, 'Web': {'precision': 0.6737588652482269, 'recall': 0.95, 'f1-score': 0.7883817427385891, 'support': 200.0}, 'accuracy': 0.8855, 'macro avg': {'precision': 0.8368101311643629, 'recall': 0.8091666666666666, 'f1-score': 0.7778018796698278, 'support': 2000.0}, 'weighted avg': {'precision': 0.9004924532006097, 'recall': 0.8855, 'f1-score': 0.865882724608284, 'support': 2000.0}}","[[  29    1    0    0  121   49]
 [   0 1000    0    0    0    0]
 [   0    0  199    1    0    0]
 [   0    1    0  198    0    1]
 [   2    0    1    0  155   42]
 [   5    2    0    0    3  190]]",0.29775452613830566,0.002173900604248047
7,CIC_IoT2023,2,None,QuantileTransformer,HHHv2,0.88001623327054,-1,-1,97.18333333333334,86.33393375654059,1.69,86.85,86.43565322141828,-1,"{'0Normal': {'precision': 0.815, 'recall': 0.6965811965811965, 'f1-score': 0.7511520737327188, 'support': 234.0}, 'DDoS/DoS': {'precision': 0.986, 'recall': 0.9969666329625885, 'f1-score': 0.9914529914529915, 'support': 989.0}, 'Mirai': {'precision': 0.98, 'recall': 0.9949238578680203, 'f1-score': 0.9874055415617129, 'support': 197.0}, 'Scan': {'precision': 0.985, 'recall': 0.9380952380952381, 'f1-score': 0.9609756097560974, 'support': 210.0}, 'Spoofing': {'precision': 0.615, 'recall': 0.7192982456140351, 'f1-score': 0.6630727762803235, 'support': 171.0}, 'Web': {'precision': 0.83, 'recall': 0.8341708542713567, 'f1-score': 0.8320802005012531, 'support': 199.0}, 'accuracy': 0.9155, 'macro avg': {'precision': 0.8684999999999999, 'recall': 0.8633393375654058, 'f1-score': 0.8643565322141828, 'support': 2000.0}, 'weighted avg': {'precision': 0.9180545, 'recall': 0.9155, 'f1-score': 0.9158048840902936, 'support': 2000.0}}","[[163   1   0   2  55  13]
 [  1 986   1   0   1   0]
 [  0   1 196   0   0   0]
 [  0   9   3 197   1   0]
 [ 23   3   0   1 123  21]
 [ 13   0   0   0  20 166]]",3.1502513885498047,0.09528088569641113
8,CIC_IoT2023,2,None,QuantileTransformer,KNN,0.867606100005614,-1,-1,96.89999999999999,84.76666666666667,1.8599999999999999,85.20038517689488,84.70592724042535,-1,"{'0Normal': {'precision': 0.6680327868852459, 'recall': 0.815, 'f1-score': 0.7342342342342342, 'support': 200.0}, 'DDoS/DoS': {'precision': 0.9930209371884346, 'recall': 0.996, 'f1-score': 0.9945082376435346, 'support': 1000.0}, 'Mirai': {'precision': 0.9383886255924171, 'recall': 0.99, 'f1-score': 0.9635036496350365, 'support': 200.0}, 'Scan': {'precision': 0.9447236180904522, 'recall': 0.94, 'f1-score': 0.9423558897243106, 'support': 200.0}, 'Spoofing': {'precision': 0.7678571428571429, 'recall': 0.645, 'f1-score': 0.7010869565217392, 'support': 200.0}, 'Web': {'precision': 0.8, 'recall': 0.7, 'f1-score': 0.7466666666666666, 'support': 200.0}, 'accuracy': 0.907, 'macro avg': {'precision': 0.8520038517689489, 'recall': 0.8476666666666667, 'f1-score': 0.8470592724042536, 'support': 2000.0}, 'weighted avg': {'precision': 0.9084106859367431, 'recall': 0.907, 'f1-score': 0.9060388584999659, 'support': 2000.0}}","[[163   0   0   2  18  17]
 [  0 996   1   3   0   0]
 [  0   1 198   1   0   0]
 [  1   1   7 188   0   3]
 [ 50   1   2   3 129  15]
 [ 30   4   3   2  21 140]]",0.0029571056365966797,0.27170753479003906
9,CIC_IoT2023,2,None,QuantileTransformer,LDA,0.9211850314667324,-1,-1,98.15,91.41666666666667,1.11,90.8282214779706,90.99830751160987,-1,"{'0Normal': {'precision': 0.8073394495412844, 'recall': 0.88, 'f1-score': 0.8421052631578948, 'support': 200.0}, 'DDoS/DoS': {'precision': 1.0, 'recall': 0.99, 'f1-score': 0.9949748743718593, 'support': 1000.0}, 'Mirai': {'precision': 1.0, 'recall': 0.98, 'f1-score': 0.98989898989899, 'support': 200.0}, 'Scan': {'precision': 0.9259259259259259, 'recall': 1.0, 'f1-score': 0.9615384615384615, 'support': 200.0}, 'Spoofing': {'precision': 0.8323699421965318, 'recall': 0.72, 'f1-score': 0.772117962466488, 'support': 200.0}, 'Web': {'precision': 0.8840579710144928, 'recall': 0.915, 'f1-score': 0.8992628992628994, 'support': 200.0}, 'accuracy': 0.9445, 'macro avg': {'precision': 0.9082822147797059, 'recall': 0.9141666666666667, 'f1-score': 0.9099830751160987, 'support': 2000.0}, 'weighted avg': {'precision': 0.9449693288678235, 'recall': 0.9445, 'f1-score': 0.943979794818403, 'support': 2000.0}}","[[176   0   0   0  17   7]
 [  0 990   0  10   0   0]
 [  0   0 196   4   0   0]
 [  0   0   0 200   0   0]
 [ 39   0   0   0 144  17]
 [  3   0   0   2  12 183]]",0.8145830631256104,0.0019850730895996094
