,Data Type,Poly,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
0,IoTID20,2,None,QuantileTransformer,KNN,0.7092752798632731,-1,-1,90.68,76.7,5.825,76.27252869966438,76.3795467471043,-1,"{'0Normal': {'precision': 0.8065934065934066, 'recall': 0.9175, 'f1-score': 0.8584795321637427, 'support': 400.0}, 'DoS': {'precision': 1.0, 'recall': 0.9925, 'f1-score': 0.9962358845671266, 'support': 400.0}, 'MITM ARP Spoofing': {'precision': 0.6277777777777778, 'recall': 0.565, 'f1-score': 0.5947368421052631, 'support': 400.0}, 'Mirai': {'precision': 0.7613065326633166, 'recall': 0.7575, 'f1-score': 0.7593984962406015, 'support': 400.0}, 'Scan': {'precision': 0.617948717948718, 'recall': 0.6025, 'f1-score': 0.610126582278481, 'support': 400.0}, 'accuracy': 0.767, 'macro avg': {'precision': 0.7627252869966438, 'recall': 0.767, 'f1-score': 0.763795467471043, 'support': 2000.0}, 'weighted avg': {'precision': 0.7627252869966438, 'recall': 0.767, 'f1-score': 0.7637954674710429, 'support': 2000.0}}","[[367   0   7   6  20]
 [  1 397   0   2   0]
 [ 32   0 226  53  89]
 [ 12   0  45 303  40]
 [ 43   0  82  34 241]]",0.0048885345458984375,0.20164203643798828
1,IoTID20,2,None,QuantileTransformer,LDA,0.761410848413469,-1,-1,92.34,80.85,4.7875,81.31068419180762,80.93119814707104,-1,"{'0Normal': {'precision': 0.9267015706806283, 'recall': 0.885, 'f1-score': 0.9053708439897699, 'support': 400.0}, 'DoS': {'precision': 0.9900497512437811, 'recall': 0.995, 'f1-score': 0.9925187032418954, 'support': 400.0}, 'MITM ARP Spoofing': {'precision': 0.6708229426433915, 'recall': 0.6725, 'f1-score': 0.6716604244694132, 'support': 400.0}, 'Mirai': {'precision': 0.7954545454545454, 'recall': 0.7, 'f1-score': 0.7446808510638298, 'support': 400.0}, 'Scan': {'precision': 0.6825053995680346, 'recall': 0.79, 'f1-score': 0.7323290845886442, 'support': 400.0}, 'accuracy': 0.8085, 'macro avg': {'precision': 0.8131068419180763, 'recall': 0.8084999999999999, 'f1-score': 0.8093119814707105, 'support': 2000.0}, 'weighted avg': {'precision': 0.8131068419180763, 'recall': 0.8085, 'f1-score': 0.8093119814707105, 'support': 2000.0}}","[[354   0  15   9  22]
 [  0 398   1   1   0]
 [ 10   0 269  46  75]
 [ 12   2  56 280  50]
 [  6   2  60  16 316]]",6.367990732192993,0.0050048828125
2,IoTID20,2,None,QuantileTransformer,MLP,0.7402487791754337,-1,-1,91.46,78.64999999999999,5.3374999999999995,81.32327792184049,78.959899624886,-1,"{'0Normal': {'precision': 0.9857954545454546, 'recall': 0.8675, 'f1-score': 0.9228723404255319, 'support': 400.0}, 'DoS': {'precision': 0.9974937343358395, 'recall': 0.995, 'f1-score': 0.9962453066332916, 'support': 400.0}, 'MITM ARP Spoofing': {'precision': 0.6321070234113713, 'recall': 0.4725, 'f1-score': 0.5407725321888412, 'support': 400.0}, 'Mirai': {'precision': 0.908284023668639, 'recall': 0.7675, 'f1-score': 0.8319783197831978, 'support': 400.0}, 'Scan': {'precision': 0.5424836601307189, 'recall': 0.83, 'f1-score': 0.6561264822134386, 'support': 400.0}, 'accuracy': 0.7865, 'macro avg': {'precision': 0.8132327792184049, 'recall': 0.7865, 'f1-score': 0.7895989962488601, 'support': 2000.0}, 'weighted avg': {'precision': 0.8132327792184046, 'recall': 0.7865, 'f1-score': 0.7895989962488602, 'support': 2000.0}}","[[347   0   8  11  34]
 [  2 398   0   0   0]
 [  1   0 189  15 195]
 [  1   0  41 307  51]
 [  1   1  61   5 332]]",6.600862503051758,0.010609865188598633
3,IoTID20,2,None,QuantileTransformer,LGBM,0.9306491390251005,-1,-1,97.78,94.45,1.3875,94.47123412560548,94.45585968352191,-1,"{'0Normal': {'precision': 0.9924242424242424, 'recall': 0.9825, 'f1-score': 0.9874371859296482, 'support': 400.0}, 'DoS': {'precision': 0.9975062344139651, 'recall': 1.0, 'f1-score': 0.9987515605493134, 'support': 400.0}, 'MITM ARP Spoofing': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 400.0}, 'Mirai': {'precision': 0.9287531806615776, 'recall': 0.9125, 'f1-score': 0.9205548549810845, 'support': 400.0}, 'Scan': {'precision': 0.9048780487804878, 'recall': 0.9275, 'f1-score': 0.9160493827160494, 'support': 400.0}, 'accuracy': 0.9445, 'macro avg': {'precision': 0.9447123412560547, 'recall': 0.9445, 'f1-score': 0.944558596835219, 'support': 2000.0}, 'weighted avg': {'precision': 0.9447123412560546, 'recall': 0.9445, 'f1-score': 0.944558596835219, 'support': 2000.0}}","[[393   1   0   6   0]
 [  0 400   0   0   0]
 [  2   0 360  14  24]
 [  1   0  19 365  15]
 [  0   0  21   8 371]]",12.207103490829468,0.012113332748413086
4,IoTID20,2,None,QuantileTransformer,RF,0.8713842579801019,-1,-1,95.88,89.69999999999999,2.5749999999999997,89.76663646374327,89.70600464130773,-1,"{'0Normal': {'precision': 0.9577114427860697, 'recall': 0.9625, 'f1-score': 0.9600997506234414, 'support': 400.0}, 'DoS': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 400.0}, 'MITM ARP Spoofing': {'precision': 0.8019559902200489, 'recall': 0.82, 'f1-score': 0.8108776266996292, 'support': 400.0}, 'Mirai': {'precision': 0.8877005347593583, 'recall': 0.83, 'f1-score': 0.8578811369509043, 'support': 400.0}, 'Scan': {'precision': 0.8409638554216867, 'recall': 0.8725, 'f1-score': 0.8564417177914111, 'support': 400.0}, 'accuracy': 0.897, 'macro avg': {'precision': 0.8976663646374327, 'recall': 0.8969999999999999, 'f1-score': 0.8970600464130772, 'support': 2000.0}, 'weighted avg': {'precision': 0.8976663646374327, 'recall': 0.897, 'f1-score': 0.8970600464130772, 'support': 2000.0}}","[[385   0   3   4   8]
 [  0 400   0   0   0]
 [  9   0 328  26  37]
 [  6   0  41 332  21]
 [  2   0  37  12 349]]",2.0434656143188477,0.028096675872802734
5,IoTID20,2,None,QuantileTransformer,NuSVC,0.7806191596695456,-1,-1,92.9,82.25,4.4375,83.64069863152712,82.54782652779899,-1,"{'0Normal': {'precision': 0.9502617801047121, 'recall': 0.9075, 'f1-score': 0.9283887468030692, 'support': 400.0}, 'DoS': {'precision': 0.9974874371859297, 'recall': 0.9925, 'f1-score': 0.9949874686716792, 'support': 400.0}, 'MITM ARP Spoofing': {'precision': 0.6091954022988506, 'recall': 0.795, 'f1-score': 0.6898047722342734, 'support': 400.0}, 'Mirai': {'precision': 0.8908045977011494, 'recall': 0.775, 'f1-score': 0.8288770053475936, 'support': 400.0}, 'Scan': {'precision': 0.7342857142857143, 'recall': 0.6425, 'f1-score': 0.6853333333333333, 'support': 400.0}, 'accuracy': 0.8225, 'macro avg': {'precision': 0.8364069863152711, 'recall': 0.8225, 'f1-score': 0.8254782652779898, 'support': 2000.0}, 'weighted avg': {'precision': 0.8364069863152713, 'recall': 0.8225, 'f1-score': 0.8254782652779897, 'support': 2000.0}}","[[363   1  10   4  22]
 [  3 397   0   0   0]
 [  7   0 318  23  52]
 [  7   0  64 310  19]
 [  2   0 130  11 257]]",7.4597320556640625,6.028990745544434
6,IoTID20,2,None,QuantileTransformer,SGD,0.6568536974570912,-1,-1,88.42,71.05000000000001,7.2375,76.59715893862236,66.22420072931632,-1,"{'0Normal': {'precision': 0.6515679442508711, 'recall': 0.935, 'f1-score': 0.7679671457905545, 'support': 400.0}, 'DoS': {'precision': 1.0, 'recall': 0.9925, 'f1-score': 0.9962358845671266, 'support': 400.0}, 'MITM ARP Spoofing': {'precision': 0.5459662288930581, 'recall': 0.7275, 'f1-score': 0.6237942122186494, 'support': 400.0}, 'Mirai': {'precision': 0.7054945054945055, 'recall': 0.8025, 'f1-score': 0.7508771929824563, 'support': 400.0}, 'Scan': {'precision': 0.926829268292683, 'recall': 0.095, 'f1-score': 0.17233560090702948, 'support': 400.0}, 'accuracy': 0.7105, 'macro avg': {'precision': 0.7659715893862236, 'recall': 0.7105000000000001, 'f1-score': 0.6622420072931632, 'support': 2000.0}, 'weighted avg': {'precision': 0.7659715893862236, 'recall': 0.7105, 'f1-score': 0.6622420072931633, 'support': 2000.0}}","[[374   0  12  13   1]
 [  2 397   0   1   0]
 [ 38   0 291  71   0]
 [ 25   0  52 321   2]
 [135   0 178  49  38]]",3.3711652755737305,0.0048596858978271484
7,IoTID20,2,None,QuantileTransformer,HHHv2,0.7181958996592127,-1,-1,90.94,77.31661546625256,5.6625000000000005,77.35,77.0354439732194,-1,"{'0Normal': {'precision': 0.8725, 'recall': 0.8596059113300493, 'f1-score': 0.8660049627791564, 'support': 406.0}, 'DoS': {'precision': 1.0, 'recall': 0.9195402298850575, 'f1-score': 0.9580838323353293, 'support': 435.0}, 'MITM ARP Spoofing': {'precision': 0.7175, 'recall': 0.6420581655480985, 'f1-score': 0.6776859504132231, 'support': 447.0}, 'Mirai': {'precision': 0.585, 'recall': 0.7572815533980582, 'f1-score': 0.6600846262341326, 'support': 309.0}, 'Scan': {'precision': 0.6925, 'recall': 0.6873449131513648, 'f1-score': 0.6899128268991283, 'support': 403.0}, 'accuracy': 0.7735, 'macro avg': {'precision': 0.7735, 'recall': 0.7731661546625256, 'f1-score': 0.770354439732194, 'support': 2000.0}, 'weighted avg': {'precision': 0.7848999999999998, 'recall': 0.7735, 'f1-score': 0.7766455602678061, 'support': 2000.0}}","[[349   0  13  18  26]
 [  9 400   1  21   4]
 [ 13   0 287  67  80]
 [ 11   0  51 234  13]
 [ 18   0  48  60 277]]",26.481916904449463,0.1057436466217041
8,IoTID20,2,None,QuantileTransformer,KNN,0.755175598742435,-1,-1,92.16,80.4,4.9,80.35565525838523,80.3390329693839,-1,"{'0Normal': {'precision': 0.8758782201405152, 'recall': 0.935, 'f1-score': 0.9044740024183796, 'support': 400.0}, 'DoS': {'precision': 1.0, 'recall': 0.9875, 'f1-score': 0.9937106918238994, 'support': 400.0}, 'MITM ARP Spoofing': {'precision': 0.6372795969773299, 'recall': 0.6325, 'f1-score': 0.6348808030112922, 'support': 400.0}, 'Mirai': {'precision': 0.7994652406417112, 'recall': 0.7475, 'f1-score': 0.7726098191214471, 'support': 400.0}, 'Scan': {'precision': 0.7051597051597052, 'recall': 0.7175, 'f1-score': 0.7112763320941761, 'support': 400.0}, 'accuracy': 0.804, 'macro avg': {'precision': 0.8035565525838523, 'recall': 0.804, 'f1-score': 0.803390329693839, 'support': 2000.0}, 'weighted avg': {'precision': 0.8035565525838523, 'recall': 0.804, 'f1-score': 0.8033903296938388, 'support': 2000.0}}","[[374   0  11   5  10]
 [  3 395   0   2   0]
 [ 15   0 253  52  80]
 [ 19   0  52 299  30]
 [ 16   0  81  16 287]]",0.00909113883972168,0.4214649200439453
9,IoTID20,2,None,QuantileTransformer,LDA,0.7947359731106757,-1,-1,93.38,83.44999999999999,4.1375,84.19552362032145,83.46946887986229,-1,"{'0Normal': {'precision': 0.928388746803069, 'recall': 0.9075, 'f1-score': 0.9178255372945638, 'support': 400.0}, 'DoS': {'precision': 0.9827160493827161, 'recall': 0.995, 'f1-score': 0.9888198757763975, 'support': 400.0}, 'MITM ARP Spoofing': {'precision': 0.7064017660044151, 'recall': 0.8, 'f1-score': 0.750293083235639, 'support': 400.0}, 'Mirai': {'precision': 0.8705501618122977, 'recall': 0.6725, 'f1-score': 0.7588152327221438, 'support': 400.0}, 'Scan': {'precision': 0.7217194570135747, 'recall': 0.7975, 'f1-score': 0.7577197149643705, 'support': 400.0}, 'accuracy': 0.8345, 'macro avg': {'precision': 0.8419552362032146, 'recall': 0.8344999999999999, 'f1-score': 0.834694688798623, 'support': 2000.0}, 'weighted avg': {'precision': 0.8419552362032146, 'recall': 0.8345, 'f1-score': 0.8346946887986231, 'support': 2000.0}}","[[363   1  12   8  16]
 [  0 398   0   0   2]
 [  8   0 320  23  49]
 [ 19   2  54 269  56]
 [  1   4  67   9 319]]",7.5270302295684814,0.004918813705444336
