Data Type,Drop Cls,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
ToN_IoT,*,rbf,QuantileTransformer,KNN,0.9602396050519175,-1,-1,99.0531561461794,96.45238095238096,0.5523255813953488,96.57231385495238,96.50345712623427,-1,"{'BruteForce': {'precision': 0.943089430894309, 'recall': 0.9666666666666667, 'f1-score': 0.9547325102880659, 'support': 120.0}, 'DDoS': {'precision': 0.9696969696969697, 'recall': 0.96, 'f1-score': 0.964824120603015, 'support': 200.0}, 'DoS': {'precision': 0.9747474747474747, 'recall': 0.965, 'f1-score': 0.9698492462311558, 'support': 200.0}, 'MITM': {'precision': 0.9595959595959596, 'recall': 0.95, 'f1-score': 0.9547738693467336, 'support': 200.0}, 'Malware': {'precision': 0.9612590799031477, 'recall': 0.9925, 'f1-score': 0.976629766297663, 'support': 400.0}, 'Scan': {'precision': 0.9795918367346939, 'recall': 0.96, 'f1-score': 0.9696969696969697, 'support': 200.0}, 'WebAttack': {'precision': 0.9720812182741116, 'recall': 0.9575, 'f1-score': 0.964735516372796, 'support': 400.0}, 'accuracy': 0.9668604651162791, 'macro avg': {'precision': 0.9657231385495239, 'recall': 0.9645238095238096, 'f1-score': 0.9650345712623427, 'support': 1720.0}, 'weighted avg': {'precision': 0.9669961041472327, 'recall': 0.9668604651162791, 'f1-score': 0.9668272415571664, 'support': 1720.0}}","[[116   1   0   0   2   0   1]
 [  0 192   0   1   2   2   3]
 [  0   0 193   2   5   0   0]
 [  0   1   3 190   0   0   6]
 [  0   1   0   1 397   1   0]
 [  1   2   1   0   3 192   1]
 [  6   1   1   4   4   1 383]]",0.0005314350128173828,0.007923126220703125
ToN_IoT,*,rbf,QuantileTransformer,LDA,0.7659828581404325,-1,-1,94.43521594684385,76.76190476190477,3.246124031007752,78.46701142686946,77.26384091510965,-1,"{'BruteForce': {'precision': 0.6597938144329897, 'recall': 0.5333333333333333, 'f1-score': 0.5898617511520737, 'support': 120.0}, 'DDoS': {'precision': 0.8151658767772512, 'recall': 0.86, 'f1-score': 0.8369829683698298, 'support': 200.0}, 'DoS': {'precision': 0.8687782805429864, 'recall': 0.96, 'f1-score': 0.9121140142517815, 'support': 200.0}, 'MITM': {'precision': 0.7115384615384616, 'recall': 0.555, 'f1-score': 0.6235955056179776, 'support': 200.0}, 'Malware': {'precision': 0.9095477386934674, 'recall': 0.905, 'f1-score': 0.9072681704260652, 'support': 400.0}, 'Scan': {'precision': 0.7734806629834254, 'recall': 0.7, 'f1-score': 0.7349081364829396, 'support': 200.0}, 'WebAttack': {'precision': 0.7543859649122807, 'recall': 0.86, 'f1-score': 0.8037383177570094, 'support': 400.0}, 'accuracy': 0.8052325581395349, 'macro avg': {'precision': 0.7846701142686946, 'recall': 0.7676190476190478, 'f1-score': 0.7726384091510966, 'support': 1720.0}, 'weighted avg': {'precision': 0.8014775555480714, 'recall': 0.8052325581395349, 'f1-score': 0.8004105409046421, 'support': 1720.0}}","[[ 64  19   0   0   2   2  33]
 [  6 172   1   1   4   5  11]
 [  0   1 192   4   0   2   1]
 [ 21   1   0 111   1   1  65]
 [  1   9   1   0 362  27   0]
 [  0   2  27   0  29 140   2]
 [  5   7   0  40   0   4 344]]",0.0042362213134765625,0.00017833709716796875
ToN_IoT,*,rbf,QuantileTransformer,MLP,0.9560726928937763,-1,-1,98.95348837209302,96.26190476190476,0.6104651162790697,96.12538721826684,96.18153913097007,-1,"{'BruteForce': {'precision': 0.9672131147540983, 'recall': 0.9833333333333333, 'f1-score': 0.9752066115702478, 'support': 120.0}, 'DDoS': {'precision': 0.945273631840796, 'recall': 0.95, 'f1-score': 0.9476309226932668, 'support': 200.0}, 'DoS': {'precision': 0.9947916666666666, 'recall': 0.955, 'f1-score': 0.9744897959183673, 'support': 200.0}, 'MITM': {'precision': 0.9253731343283582, 'recall': 0.93, 'f1-score': 0.9276807980049875, 'support': 200.0}, 'Malware': {'precision': 0.9778325123152709, 'recall': 0.9925, 'f1-score': 0.9851116625310173, 'support': 400.0}, 'Scan': {'precision': 0.9514563106796117, 'recall': 0.98, 'f1-score': 0.9655172413793104, 'support': 200.0}, 'WebAttack': {'precision': 0.9668367346938775, 'recall': 0.9475, 'f1-score': 0.9570707070707071, 'support': 400.0}, 'accuracy': 0.9633720930232558, 'macro avg': {'precision': 0.9612538721826684, 'recall': 0.9626190476190476, 'f1-score': 0.9618153913097006, 'support': 1720.0}, 'weighted avg': {'precision': 0.9635536170216499, 'recall': 0.9633720930232558, 'f1-score': 0.9633497051327361, 'support': 1720.0}}","[[118   0   0   0   2   0   0]
 [  0 190   0   1   4   2   3]
 [  0   0 191   7   0   2   0]
 [  0   4   1 186   0   0   9]
 [  0   1   0   1 397   1   0]
 [  0   1   0   0   2 196   1]
 [  4   5   0   6   1   5 379]]",1.9894795417785645,0.0006127357482910156
ToN_IoT,*,rbf,QuantileTransformer,LGBM,0.9756450796057815,-1,-1,99.4186046511628,98.10714285714285,0.3391472868217054,97.9009864361358,97.98415768944538,-1,"{'BruteForce': {'precision': 0.9917355371900827, 'recall': 1.0, 'f1-score': 0.995850622406639, 'support': 120.0}, 'DDoS': {'precision': 0.9748743718592965, 'recall': 0.97, 'f1-score': 0.9724310776942355, 'support': 200.0}, 'DoS': {'precision': 0.9948453608247423, 'recall': 0.965, 'f1-score': 0.9796954314720813, 'support': 200.0}, 'MITM': {'precision': 0.9342723004694836, 'recall': 0.995, 'f1-score': 0.963680387409201, 'support': 200.0}, 'Malware': {'precision': 0.9826732673267327, 'recall': 0.9925, 'f1-score': 0.9875621890547265, 'support': 400.0}, 'Scan': {'precision': 0.9849246231155779, 'recall': 0.98, 'f1-score': 0.9824561403508771, 'support': 200.0}, 'WebAttack': {'precision': 0.9897435897435898, 'recall': 0.965, 'f1-score': 0.9772151898734178, 'support': 400.0}, 'accuracy': 0.9796511627906976, 'macro avg': {'precision': 0.979009864361358, 'recall': 0.9810714285714285, 'f1-score': 0.9798415768944538, 'support': 1720.0}, 'weighted avg': {'precision': 0.9800920572934644, 'recall': 0.9796511627906976, 'f1-score': 0.9796893218868217, 'support': 1720.0}}","[[120   0   0   0   0   0   0]
 [  0 194   0   0   4   0   2]
 [  0   0 193   7   0   0   0]
 [  0   0   0 199   0   0   1]
 [  0   1   0   1 397   1   0]
 [  0   1   1   0   1 196   1]
 [  1   3   0   6   2   2 386]]",1.091923475265503,0.011666059494018555
ToN_IoT,*,rbf,QuantileTransformer,NuSVC,0.8773227035117916,-1,-1,97.07641196013289,87.60714285714285,1.7054263565891472,88.68138163412506,87.97844406206534,-1,"{'BruteForce': {'precision': 0.8571428571428571, 'recall': 0.8, 'f1-score': 0.8275862068965518, 'support': 120.0}, 'DDoS': {'precision': 0.855072463768116, 'recall': 0.885, 'f1-score': 0.8697788697788698, 'support': 200.0}, 'DoS': {'precision': 0.8715596330275229, 'recall': 0.95, 'f1-score': 0.9090909090909091, 'support': 200.0}, 'MITM': {'precision': 0.9119170984455959, 'recall': 0.88, 'f1-score': 0.8956743002544529, 'support': 200.0}, 'Malware': {'precision': 0.9044289044289044, 'recall': 0.97, 'f1-score': 0.9360675512665863, 'support': 400.0}, 'Scan': {'precision': 0.8606060606060606, 'recall': 0.71, 'f1-score': 0.7780821917808219, 'support': 200.0}, 'WebAttack': {'precision': 0.946969696969697, 'recall': 0.9375, 'f1-score': 0.9422110552763819, 'support': 400.0}, 'accuracy': 0.8976744186046511, 'macro avg': {'precision': 0.8868138163412506, 'recall': 0.8760714285714285, 'f1-score': 0.8797844406206534, 'support': 1720.0}, 'weighted avg': {'precision': 0.8972369968523503, 'recall': 0.8976744186046511, 'f1-score': 0.896015721875456, 'support': 1720.0}}","[[ 96  14   0   0   7   3   0]
 [  7 177   0   7   4   1   4]
 [  0   0 190   4   0   5   1]
 [  0   8   1 176   0   0  15]
 [  0   1   1   0 388  10   0]
 [  1   1  26   0  29 142   1]
 [  8   6   0   6   1   4 375]]",0.4909663200378418,0.1710810661315918
ToN_IoT,*,rbf,QuantileTransformer,SGD,0.7554663889493508,-1,-1,94.13621262458472,71.05952380952381,3.4205426356589146,75.97103987446306,70.69505805170266,-1,"{'BruteForce': {'precision': 0.3333333333333333, 'recall': 0.016666666666666666, 'f1-score': 0.031746031746031744, 'support': 120.0}, 'DDoS': {'precision': 0.8627450980392157, 'recall': 0.88, 'f1-score': 0.8712871287128714, 'support': 200.0}, 'DoS': {'precision': 0.9313725490196079, 'recall': 0.95, 'f1-score': 0.9405940594059405, 'support': 200.0}, 'MITM': {'precision': 0.7098765432098766, 'recall': 0.575, 'f1-score': 0.6353591160220994, 'support': 200.0}, 'Malware': {'precision': 0.8668122270742358, 'recall': 0.9925, 'f1-score': 0.9254079254079254, 'support': 400.0}, 'Scan': {'precision': 0.9716312056737588, 'recall': 0.685, 'f1-score': 0.8035190615835777, 'support': 200.0}, 'WebAttack': {'precision': 0.6422018348623854, 'recall': 0.875, 'f1-score': 0.7407407407407407, 'support': 400.0}, 'accuracy': 0.7947674418604651, 'macro avg': {'precision': 0.7597103987446305, 'recall': 0.7105952380952382, 'f1-score': 0.7069505805170266, 'support': 1720.0}, 'weighted avg': {'precision': 0.7783318046297328, 'recall': 0.7947674418604651, 'f1-score': 0.7676865484964466, 'support': 1720.0}}","[[  2  14   0   0   9   0  95]
 [  0 176   0   1   6   0  17]
 [  0   0 190   9   0   0   1]
 [  1   2   1 115   1   0  80]
 [  1   1   0   0 397   1   0]
 [  2   3  12   0  44 137   2]
 [  0   8   1  37   1   3 350]]",0.07650327682495117,0.0005388259887695312
ToN_IoT,['*'],rbf,QuantileTransformer,KNN_FTSP,0.9651207203323519,-1,-1,99.16943521594685,96.97619047619045,0.4844961240310077,97.06857768864776,97.01025228954622,-1,"{'BruteForce': {'precision': 0.959349593495935, 'recall': 0.9833333333333333, 'f1-score': 0.97119341563786, 'support': 120.0}, 'DDoS': {'precision': 0.9646464646464646, 'recall': 0.955, 'f1-score': 0.9597989949748743, 'support': 200.0}, 'DoS': {'precision': 1.0, 'recall': 0.955, 'f1-score': 0.9769820971867007, 'support': 200.0}, 'MITM': {'precision': 0.96, 'recall': 0.96, 'f1-score': 0.96, 'support': 200.0}, 'Malware': {'precision': 0.9682151589242054, 'recall': 0.99, 'f1-score': 0.9789864029666255, 'support': 400.0}, 'Scan': {'precision': 0.9702970297029703, 'recall': 0.98, 'f1-score': 0.9751243781094527, 'support': 200.0}, 'WebAttack': {'precision': 0.9722921914357683, 'recall': 0.965, 'f1-score': 0.9686323713927226, 'support': 400.0}, 'accuracy': 0.9709302325581395, 'macro avg': {'precision': 0.9706857768864776, 'recall': 0.9697619047619046, 'f1-score': 0.9701025228954622, 'support': 1720.0}, 'weighted avg': {'precision': 0.9711125524612725, 'recall': 0.9709302325581395, 'f1-score': 0.970913845159586, 'support': 1720.0}}","[[118   1   0   0   0   0   1]
 [  1 191   0   0   4   0   4]
 [  0   0 191   2   5   2   0]
 [  1   2   0 192   0   0   5]
 [  0   1   0   1 396   2   0]
 [  0   0   0   1   2 196   1]
 [  3   3   0   4   2   2 386]]",0.0027446746826171875,0.03167557716369629
ToN_IoT,['*'],rbf,QuantileTransformer,LDA_FTSP,0.9603614920188663,-1,-1,99.0531561461794,96.69047619047618,0.5523255813953488,96.37905035204965,96.50327151906494,-1,"{'BruteForce': {'precision': 0.944, 'recall': 0.9833333333333333, 'f1-score': 0.9632653061224489, 'support': 120.0}, 'DDoS': {'precision': 0.910377358490566, 'recall': 0.965, 'f1-score': 0.9368932038834951, 'support': 200.0}, 'DoS': {'precision': 0.9948453608247423, 'recall': 0.965, 'f1-score': 0.9796954314720813, 'support': 200.0}, 'MITM': {'precision': 0.9593908629441624, 'recall': 0.945, 'f1-score': 0.9521410579345088, 'support': 200.0}, 'Malware': {'precision': 0.9635922330097088, 'recall': 0.9925, 'f1-score': 0.977832512315271, 'support': 400.0}, 'Scan': {'precision': 0.9847715736040609, 'recall': 0.97, 'f1-score': 0.9773299748110831, 'support': 200.0}, 'WebAttack': {'precision': 0.9895561357702349, 'recall': 0.9475, 'f1-score': 0.9680715197956576, 'support': 400.0}, 'accuracy': 0.9668604651162791, 'macro avg': {'precision': 0.9637905035204964, 'recall': 0.9669047619047618, 'f1-score': 0.9650327151906494, 'support': 1720.0}, 'weighted avg': {'precision': 0.9676839410957464, 'recall': 0.9668604651162791, 'f1-score': 0.9669566181391273, 'support': 1720.0}}","[[118   2   0   0   0   0   0]
 [  0 193   0   1   5   0   1]
 [  0   0 193   2   5   0   0]
 [  2   5   1 189   0   0   3]
 [  0   3   0   0 397   0   0]
 [  0   1   0   1   4 194   0]
 [  5   8   0   4   1   3 379]]",0.002843618392944336,0.0001595020294189453
ToN_IoT,['*'],rbf,QuantileTransformer,MLP_FTSP,0.9644302497985447,-1,-1,99.15282392026577,96.86904761904762,0.4941860465116279,97.02561965073838,96.93156713061946,-1,"{'BruteForce': {'precision': 0.9516129032258065, 'recall': 0.9833333333333333, 'f1-score': 0.9672131147540983, 'support': 120.0}, 'DDoS': {'precision': 0.9693877551020408, 'recall': 0.95, 'f1-score': 0.9595959595959594, 'support': 200.0}, 'DoS': {'precision': 1.0, 'recall': 0.955, 'f1-score': 0.9769820971867007, 'support': 200.0}, 'MITM': {'precision': 0.955, 'recall': 0.955, 'f1-score': 0.955, 'support': 200.0}, 'Malware': {'precision': 0.9660194174757282, 'recall': 0.995, 'f1-score': 0.9802955665024631, 'support': 400.0}, 'Scan': {'precision': 0.98, 'recall': 0.98, 'f1-score': 0.98, 'support': 200.0}, 'WebAttack': {'precision': 0.9697732997481109, 'recall': 0.9625, 'f1-score': 0.9661229611041406, 'support': 400.0}, 'accuracy': 0.9703488372093023, 'macro avg': {'precision': 0.9702561965073837, 'recall': 0.9686904761904762, 'f1-score': 0.9693156713061946, 'support': 1720.0}, 'weighted avg': {'precision': 0.9705745269168841, 'recall': 0.9703488372093023, 'f1-score': 0.9703189512614334, 'support': 1720.0}}","[[118   1   0   0   0   0   1]
 [  1 190   0   1   4   0   4]
 [  0   0 191   2   5   2   0]
 [  1   2   0 191   0   0   6]
 [  0   1   0   1 398   0   0]
 [  0   0   0   0   3 196   1]
 [  4   2   0   5   2   2 385]]",0.611114501953125,0.0005841255187988281
ToN_IoT,['*'],rbf,QuantileTransformer,LGBM_FTSP,0.9623646043231799,-1,-1,99.1029900332226,96.76190476190476,0.5232558139534884,96.38685905466167,96.54727472343848,-1,"{'BruteForce': {'precision': 0.9147286821705426, 'recall': 0.9833333333333333, 'f1-score': 0.9477911646586346, 'support': 120.0}, 'DDoS': {'precision': 0.9744897959183674, 'recall': 0.955, 'f1-score': 0.9646464646464646, 'support': 200.0}, 'DoS': {'precision': 0.9947916666666666, 'recall': 0.955, 'f1-score': 0.9744897959183673, 'support': 200.0}, 'MITM': {'precision': 0.9402985074626866, 'recall': 0.945, 'f1-score': 0.942643391521197, 'support': 200.0}, 'Malware': {'precision': 0.980246913580247, 'recall': 0.9925, 'f1-score': 0.9863354037267081, 'support': 400.0}, 'Scan': {'precision': 0.9704433497536946, 'recall': 0.985, 'f1-score': 0.977667493796526, 'support': 200.0}, 'WebAttack': {'precision': 0.9720812182741116, 'recall': 0.9575, 'f1-score': 0.964735516372796, 'support': 400.0}, 'accuracy': 0.9686046511627907, 'macro avg': {'precision': 0.9638685905466167, 'recall': 0.9676190476190476, 'f1-score': 0.9654727472343848, 'support': 1720.0}, 'weighted avg': {'precision': 0.9690135805595881, 'recall': 0.9686046511627907, 'f1-score': 0.9686353121949701, 'support': 1720.0}}","[[118   1   0   0   0   0   1]
 [  1 191   0   0   4   0   4]
 [  5   0 191   2   0   2   0]
 [  2   1   1 189   1   1   5]
 [  0   1   0   1 397   1   0]
 [  0   0   0   1   1 197   1]
 [  3   2   0   8   2   2 383]]",0.7984240055084229,0.011825799942016602
