Data Type,Drop Cls,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
BoT_IoT,['*'],None,QuantileTransformer,LDA_FTSP,0.9495989644447458,-1,-1,98.61660079051383,95.28869047619048,0.8300395256916997,95.27386471418285,95.25918571693613,-1,"{'0Normal': {'precision': 0.9128205128205128, 'recall': 0.89, 'f1-score': 0.9012658227848102, 'support': 200.0}, 'HTTP': {'precision': 0.9693877551020408, 'recall': 0.95, 'f1-score': 0.9595959595959594, 'support': 400.0}, 'TCP': {'precision': 0.9589371980676329, 'recall': 0.9925, 'f1-score': 0.9754299754299756, 'support': 400.0}, 'UDP': {'precision': 0.9706601466992665, 'recall': 0.9925, 'f1-score': 0.9814585908529048, 'support': 400.0}, 'scan': {'precision': 0.9738903394255874, 'recall': 0.9325, 'f1-score': 0.9527458492975734, 'support': 400.0}, 'theft': {'precision': 0.9307359307359307, 'recall': 0.9598214285714286, 'f1-score': 0.9450549450549451, 'support': 224.0}, 'accuracy': 0.958498023715415, 'macro avg': {'precision': 0.9527386471418285, 'recall': 0.9528869047619049, 'f1-score': 0.9525918571693613, 'support': 2024.0}, 'weighted avg': {'precision': 0.9585964065053172, 'recall': 0.958498023715415, 'f1-score': 0.9583189833596022, 'support': 2024.0}}","[[178   4   1   9   8   0]
 [ 11 380   5   0   1   3]
 [  0   2 397   0   1   0]
 [  0   0   3 397   0   0]
 [  2   2   7   3 373  13]
 [  4   4   1   0   0 215]]",0.003232240676879883,0.00018548965454101562
BoT_IoT,['*'],None,QuantileTransformer,MLP_FTSP,0.9837707680267587,-1,-1,99.55533596837944,98.2559523809524,0.26679841897233203,98.44226352874642,98.34462337165402,-1,"{'0Normal': {'precision': 0.9601990049751243, 'recall': 0.965, 'f1-score': 0.9625935162094762, 'support': 200.0}, 'HTTP': {'precision': 0.9925, 'recall': 0.9925, 'f1-score': 0.9925, 'support': 400.0}, 'TCP': {'precision': 0.9900497512437811, 'recall': 0.995, 'f1-score': 0.9925187032418954, 'support': 400.0}, 'UDP': {'precision': 0.9950248756218906, 'recall': 1.0, 'f1-score': 0.9975062344139651, 'support': 400.0}, 'scan': {'precision': 0.9825870646766169, 'recall': 0.9875, 'f1-score': 0.9850374064837906, 'support': 400.0}, 'theft': {'precision': 0.9861751152073732, 'recall': 0.9553571428571429, 'f1-score': 0.9705215419501135, 'support': 224.0}, 'accuracy': 0.9866600790513834, 'macro avg': {'precision': 0.9844226352874642, 'recall': 0.9825595238095239, 'f1-score': 0.9834462337165402, 'support': 2024.0}, 'weighted avg': {'precision': 0.9866638850881383, 'recall': 0.9866600790513834, 'f1-score': 0.986630665165307, 'support': 2024.0}}","[[193   1   1   2   3   0]
 [  2 397   1   0   0   0]
 [  0   2 398   0   0   0]
 [  0   0   0 400   0   0]
 [  0   0   2   0 395   3]
 [  6   0   0   0   4 214]]",2.312368631362915,0.0034286975860595703
BoT_IoT,['*'],None,QuantileTransformer,LGBM_FTSP,0.9795765899671044,-1,-1,99.44005270092227,97.91666666666666,0.3359683794466403,98.15327806583524,98.0206600738093,-1,"{'0Normal': {'precision': 0.9558823529411765, 'recall': 0.975, 'f1-score': 0.9653465346534653, 'support': 200.0}, 'HTTP': {'precision': 0.9851116625310173, 'recall': 0.9925, 'f1-score': 0.9887920298879203, 'support': 400.0}, 'TCP': {'precision': 0.9875621890547264, 'recall': 0.9925, 'f1-score': 0.9900249376558605, 'support': 400.0}, 'UDP': {'precision': 0.9900744416873449, 'recall': 0.9975, 'f1-score': 0.9937733499377336, 'support': 400.0}, 'scan': {'precision': 0.98, 'recall': 0.98, 'f1-score': 0.98, 'support': 400.0}, 'theft': {'precision': 0.9905660377358491, 'recall': 0.9375, 'f1-score': 0.963302752293578, 'support': 224.0}, 'accuracy': 0.983201581027668, 'macro avg': {'precision': 0.9815327806583524, 'recall': 0.9791666666666666, 'f1-score': 0.980206600738093, 'support': 2024.0}, 'weighted avg': {'precision': 0.983281907287698, 'recall': 0.983201581027668, 'f1-score': 0.9831448865795752, 'support': 2024.0}}","[[195   1   1   2   1   0]
 [  2 397   1   0   0   0]
 [  0   3 397   0   0   0]
 [  0   1   0 399   0   0]
 [  0   1   3   2 392   2]
 [  7   0   0   0   7 210]]",0.7244646549224854,0.010514020919799805
BoT_IoT,['*'],None,QuantileTransformer,NuSVC_FTSP,0.9611155405399405,-1,-1,98.92951251646905,96.70535714285715,0.6422924901185771,96.1362470561129,96.37056820157471,-1,"{'0Normal': {'precision': 0.8812785388127854, 'recall': 0.965, 'f1-score': 0.9212410501193317, 'support': 200.0}, 'HTTP': {'precision': 0.979381443298969, 'recall': 0.95, 'f1-score': 0.9644670050761421, 'support': 400.0}, 'TCP': {'precision': 0.9612590799031477, 'recall': 0.9925, 'f1-score': 0.976629766297663, 'support': 400.0}, 'UDP': {'precision': 0.9900249376558603, 'recall': 0.9925, 'f1-score': 0.9912609238451936, 'support': 400.0}, 'scan': {'precision': 0.9921052631578947, 'recall': 0.9425, 'f1-score': 0.9666666666666667, 'support': 400.0}, 'theft': {'precision': 0.9641255605381166, 'recall': 0.9598214285714286, 'f1-score': 0.9619686800894854, 'support': 224.0}, 'accuracy': 0.9678853754940712, 'macro avg': {'precision': 0.961362470561129, 'recall': 0.9670535714285715, 'f1-score': 0.9637056820157471, 'support': 2024.0}, 'weighted avg': {'precision': 0.969035633858421, 'recall': 0.9678853754940712, 'f1-score': 0.9680528355326963, 'support': 2024.0}}","[[193   1   1   2   3   0]
 [ 13 380   5   0   0   2]
 [  0   2 397   0   0   1]
 [  2   0   1 397   0   0]
 [  5   2   9   2 377   5]
 [  6   3   0   0   0 215]]",0.6127386093139648,0.1505451202392578
BoT_IoT,['*'],None,QuantileTransformer,SGD_FTSP,0.9610816309880537,-1,-1,98.92951251646905,96.44642857142857,0.6422924901185771,95.91429692791715,96.13920608687859,-1,"{'0Normal': {'precision': 0.8532110091743119, 'recall': 0.93, 'f1-score': 0.8899521531100477, 'support': 200.0}, 'HTTP': {'precision': 0.9821428571428571, 'recall': 0.9625, 'f1-score': 0.9722222222222222, 'support': 400.0}, 'TCP': {'precision': 0.9777227722772277, 'recall': 0.9875, 'f1-score': 0.9825870646766169, 'support': 400.0}, 'UDP': {'precision': 0.9827586206896551, 'recall': 0.9975, 'f1-score': 0.9900744416873448, 'support': 400.0}, 'scan': {'precision': 0.9947368421052631, 'recall': 0.945, 'f1-score': 0.9692307692307691, 'support': 400.0}, 'theft': {'precision': 0.9642857142857143, 'recall': 0.9642857142857143, 'f1-score': 0.9642857142857143, 'support': 224.0}, 'accuracy': 0.9678853754940712, 'macro avg': {'precision': 0.9591429692791715, 'recall': 0.9644642857142857, 'f1-score': 0.9613920608687859, 'support': 2024.0}, 'weighted avg': {'precision': 0.9691633590518102, 'recall': 0.9678853754940712, 'f1-score': 0.9681997182553315, 'support': 2024.0}}","[[186   3   4   5   2   0]
 [ 12 385   1   0   0   2]
 [  2   2 395   0   0   1]
 [  0   0   1 399   0   0]
 [ 12   0   3   2 378   5]
 [  6   2   0   0   0 216]]",0.009276628494262695,0.00047016143798828125
BoT_IoT,['*'],rbf,QuantileTransformer,LDA_FTSP,0.9837880646687195,-1,-1,99.55533596837944,98.42261904761905,0.26679841897233203,98.27808252341953,98.33946843297605,-1,"{'0Normal': {'precision': 0.9425837320574163, 'recall': 0.985, 'f1-score': 0.9633251833740831, 'support': 200.0}, 'HTTP': {'precision': 0.99, 'recall': 0.99, 'f1-score': 0.99, 'support': 400.0}, 'TCP': {'precision': 0.9974874371859297, 'recall': 0.9925, 'f1-score': 0.9949874686716792, 'support': 400.0}, 'UDP': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 400.0}, 'scan': {'precision': 0.9849624060150376, 'recall': 0.9825, 'f1-score': 0.983729662077597, 'support': 400.0}, 'theft': {'precision': 0.981651376146789, 'recall': 0.9553571428571429, 'f1-score': 0.9683257918552036, 'support': 224.0}, 'accuracy': 0.9866600790513834, 'macro avg': {'precision': 0.9827808252341953, 'recall': 0.9842261904761905, 'f1-score': 0.9833946843297605, 'support': 2024.0}, 'weighted avg': {'precision': 0.9868510829786319, 'recall': 0.9866600790513834, 'f1-score': 0.9866881750741564, 'support': 2024.0}}","[[197   1   0   0   2   0]
 [  4 396   0   0   0   0]
 [  0   3 397   0   0   0]
 [  0   0   0 400   0   0]
 [  2   0   1   0 393   4]
 [  6   0   0   0   4 214]]",0.0036602020263671875,0.0002009868621826172
BoT_IoT,['*'],rbf,QuantileTransformer,MLP_FTSP,0.9855899546401992,-1,-1,99.60474308300395,98.61309523809526,0.23715415019762848,98.50660811971412,98.55019184074699,-1,"{'0Normal': {'precision': 0.9471153846153846, 'recall': 0.985, 'f1-score': 0.965686274509804, 'support': 200.0}, 'HTTP': {'precision': 0.9900249376558603, 'recall': 0.9925, 'f1-score': 0.9912609238451936, 'support': 400.0}, 'TCP': {'precision': 0.9925, 'recall': 0.9925, 'f1-score': 0.9925, 'support': 400.0}, 'UDP': {'precision': 0.9975062344139651, 'recall': 1.0, 'f1-score': 0.9987515605493134, 'support': 400.0}, 'scan': {'precision': 0.9924242424242424, 'recall': 0.9825, 'f1-score': 0.9874371859296482, 'support': 400.0}, 'theft': {'precision': 0.9908256880733946, 'recall': 0.9642857142857143, 'f1-score': 0.9773755656108598, 'support': 224.0}, 'accuracy': 0.9881422924901185, 'macro avg': {'precision': 0.9850660811971412, 'recall': 0.9861309523809525, 'f1-score': 0.9855019184074699, 'support': 2024.0}, 'weighted avg': {'precision': 0.9883153146487869, 'recall': 0.9881422924901185, 'f1-score': 0.9881666253599087, 'support': 2024.0}}","[[197   1   0   1   1   0]
 [  3 397   0   0   0   0]
 [  0   3 397   0   0   0]
 [  0   0   0 400   0   0]
 [  2   0   3   0 393   2]
 [  6   0   0   0   2 216]]",0.463029146194458,0.0006237030029296875
BoT_IoT,['*'],rbf,QuantileTransformer,LGBM_FTSP,0.9496548646328676,-1,-1,98.61660079051383,94.97619047619047,0.8300395256916997,95.62408140542905,95.25481849676734,-1,"{'0Normal': {'precision': 0.8979591836734694, 'recall': 0.88, 'f1-score': 0.888888888888889, 'support': 200.0}, 'HTTP': {'precision': 0.9191685912240185, 'recall': 0.995, 'f1-score': 0.9555822328931572, 'support': 400.0}, 'TCP': {'precision': 0.9897172236503856, 'recall': 0.9625, 'f1-score': 0.9759188846641318, 'support': 400.0}, 'UDP': {'precision': 0.9796437659033079, 'recall': 0.9625, 'f1-score': 0.9709962168978562, 'support': 400.0}, 'scan': {'precision': 0.9651741293532339, 'recall': 0.97, 'f1-score': 0.9675810473815462, 'support': 400.0}, 'theft': {'precision': 0.985781990521327, 'recall': 0.9285714285714286, 'f1-score': 0.9563218390804598, 'support': 224.0}, 'accuracy': 0.958498023715415, 'macro avg': {'precision': 0.9562408140542905, 'recall': 0.9497619047619047, 'f1-score': 0.9525481849676734, 'support': 2024.0}, 'weighted avg': {'precision': 0.9594310704860916, 'recall': 0.958498023715415, 'f1-score': 0.9585104854083386, 'support': 2024.0}}","[[176  13   2   5   4   0]
 [  1 398   0   0   1   0]
 [  0  12 385   2   1   0]
 [ 15   0   0 385   0   0]
 [  2   4   2   1 388   3]
 [  2   6   0   0   8 208]]",0.6938467025756836,0.008734941482543945
BoT_IoT,['*'],rbf,QuantileTransformer,NuSVC_FTSP,0.9867871759781054,-1,-1,99.63768115942028,98.69642857142858,0.21739130434782608,98.59121853220995,98.63671931157077,-1,"{'0Normal': {'precision': 0.9516908212560387, 'recall': 0.985, 'f1-score': 0.968058968058968, 'support': 200.0}, 'HTTP': {'precision': 0.9900249376558603, 'recall': 0.9925, 'f1-score': 0.9912609238451936, 'support': 400.0}, 'TCP': {'precision': 0.9974874371859297, 'recall': 0.9925, 'f1-score': 0.9949874686716792, 'support': 400.0}, 'UDP': {'precision': 0.9975062344139651, 'recall': 1.0, 'f1-score': 0.9987515605493134, 'support': 400.0}, 'scan': {'precision': 0.992462311557789, 'recall': 0.9875, 'f1-score': 0.9899749373433584, 'support': 400.0}, 'theft': {'precision': 0.9863013698630136, 'recall': 0.9642857142857143, 'f1-score': 0.9751693002257336, 'support': 224.0}, 'accuracy': 0.9891304347826086, 'macro avg': {'precision': 0.9859121853220995, 'recall': 0.9869642857142858, 'f1-score': 0.9863671931157078, 'support': 2024.0}, 'weighted avg': {'precision': 0.9892599009021446, 'recall': 0.9891304347826086, 'f1-score': 0.9891500360801263, 'support': 2024.0}}","[[197   1   0   1   1   0]
 [  3 397   0   0   0   0]
 [  0   3 397   0   0   0]
 [  0   0   0 400   0   0]
 [  1   0   1   0 395   3]
 [  6   0   0   0   2 216]]",0.8132574558258057,0.1137542724609375
BoT_IoT,['*'],rbf,QuantileTransformer,SGD_FTSP,0.9832048310257329,-1,-1,99.53886693017128,98.34821428571429,0.2766798418972332,98.20632839157771,98.25649783076426,-1,"{'0Normal': {'precision': 0.9292452830188679, 'recall': 0.985, 'f1-score': 0.9563106796116505, 'support': 200.0}, 'HTTP': {'precision': 0.99, 'recall': 0.99, 'f1-score': 0.99, 'support': 400.0}, 'TCP': {'precision': 0.9974874371859297, 'recall': 0.9925, 'f1-score': 0.9949874686716792, 'support': 400.0}, 'UDP': {'precision': 0.9950248756218906, 'recall': 1.0, 'f1-score': 0.9975062344139651, 'support': 400.0}, 'scan': {'precision': 0.9899244332493703, 'recall': 0.9825, 'f1-score': 0.986198243412798, 'support': 400.0}, 'theft': {'precision': 0.9906976744186047, 'recall': 0.9508928571428571, 'f1-score': 0.9703872437357631, 'support': 224.0}, 'accuracy': 0.9861660079051383, 'macro avg': {'precision': 0.9820632839157771, 'recall': 0.9834821428571429, 'f1-score': 0.9825649783076426, 'support': 2024.0}, 'weighted avg': {'precision': 0.9865316373994155, 'recall': 0.9861660079051383, 'f1-score': 0.9862182100387935, 'support': 2024.0}}","[[197   1   0   1   1   0]
 [  4 396   0   0   0   0]
 [  0   3 397   0   0   0]
 [  0   0   0 400   0   0]
 [  3   0   1   1 393   2]
 [  8   0   0   0   3 213]]",0.006333112716674805,0.0004703998565673828
