Data Type,Drop Cls,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
IoTID20,['*'],None,StandardScaler,HHH,0.35434789866116456,-1,-1,82.13333333333334,40.72290548217941,10.72,38.666666666666664,34.190591548462756,-1,"{'0Normal': {'precision': 0.29, 'recall': 0.9747899159663865, 'f1-score': 0.44701348747591524, 'support': 119.0}, 'DoS': {'precision': 0.96, 'recall': 0.6678260869565218, 'f1-score': 0.7876923076923078, 'support': 575.0}, 'MITM ARP Spoofing': {'precision': 0.3175, 'recall': 0.28475336322869954, 'f1-score': 0.30023640661938533, 'support': 446.0}, 'Mirai': {'precision': 0.7375, 'recall': 0.36600496277915634, 'f1-score': 0.48922056384742957, 'support': 806.0}, 'Scan': {'precision': 0.015, 'recall': 0.15, 'f1-score': 0.027272727272727275, 'support': 40.0}, 'micro avg': {'precision': 0.464, 'recall': 0.46727089627391744, 'f1-score': 0.46562970396387354, 'support': 1986.0}, 'macro avg': {'precision': 0.46399999999999997, 'recall': 0.4886748657861529, 'f1-score': 0.4102870985815531, 'support': 1986.0}, 'weighted avg': {'precision': 0.6662336354481369, 'recall': 0.46727089627391744, 'f1-score': 0.521362438487862, 'support': 1986.0}}","[[  0   4   8   0   2   0]
 [  0 116   1   0   0   2]
 [  0 149 384   5   7  30]
 [  0 113   4 127  81 121]
 [  0  18   2 250 295 241]
 [  0   0   1  18  15   6]]",26.011091470718384,0.016890525817871094
IoTID20,['*'],None,QuantileTransformer,HHH,0.35679495746223594,-1,-1,82.39999999999999,41.91549377844277,10.56,39.333333333333336,36.77487841716263,-1,"{'0Normal': {'precision': 0.39, 'recall': 0.9285714285714286, 'f1-score': 0.5492957746478874, 'support': 168.0}, 'DoS': {'precision': 0.9475, 'recall': 0.6804308797127468, 'f1-score': 0.7920585161964473, 'support': 557.0}, 'MITM ARP Spoofing': {'precision': 0.3925, 'recall': 0.33547008547008544, 'f1-score': 0.36175115207373265, 'support': 468.0}, 'Mirai': {'precision': 0.5775, 'recall': 0.326271186440678, 'f1-score': 0.4169675090252708, 'support': 708.0}, 'Scan': {'precision': 0.0525, 'recall': 0.2441860465116279, 'f1-score': 0.08641975308641975, 'support': 86.0}, 'micro avg': {'precision': 0.472, 'recall': 0.4750880724710619, 'f1-score': 0.473539001755706, 'support': 1987.0}, 'macro avg': {'precision': 0.4720000000000001, 'recall': 0.5029859253413134, 'f1-score': 0.4412985410059516, 'support': 1987.0}, 'weighted avg': {'precision': 0.599070206341218, 'recall': 0.4750880724710619, 'f1-score': 0.5059903965717649, 'support': 1987.0}}","[[  0   3   2   0   8   0]
 [  0 156  12   0   0   0]
 [  0 159 379   4   7   8]
 [  0  67   6 157 110 128]
 [  0  14   1 219 231 243]
 [  0   1   0  20  44  21]]",24.278589248657227,0.01697373390197754
IoTID20,['*'],None,MinMaxScaler,HHH,0.34803489408230653,-1,-1,82.0,41.09155132677797,10.8,38.333333333333336,34.00689365982221,-1,"{'0Normal': {'precision': 0.29, 'recall': 0.9354838709677419, 'f1-score': 0.4427480916030534, 'support': 124.0}, 'DoS': {'precision': 0.95, 'recall': 0.6631762652705061, 'f1-score': 0.7810894141829393, 'support': 573.0}, 'MITM ARP Spoofing': {'precision': 0.3175, 'recall': 0.26963906581740976, 'f1-score': 0.29161882893226176, 'support': 471.0}, 'Mirai': {'precision': 0.7225, 'recall': 0.36862244897959184, 'f1-score': 0.4881756756756757, 'support': 784.0}, 'Scan': {'precision': 0.02, 'recall': 0.22857142857142856, 'f1-score': 0.036781609195402305, 'support': 35.0}, 'micro avg': {'precision': 0.46, 'recall': 0.463009562154001, 'f1-score': 0.46149987459242536, 'support': 1987.0}, 'macro avg': {'precision': 0.4600000000000001, 'recall': 0.49309861592133564, 'f1-score': 0.40808272391786654, 'support': 1987.0}, 'weighted avg': {'precision': 0.6527390538500252, 'recall': 0.463009562154001, 'f1-score': 0.5152665083866468, 'support': 1987.0}}","[[  0   5   7   0   1   0]
 [  0 116   8   0   0   0]
 [  0 141 380  14   7  31]
 [  0 114   1 127  88 141]
 [  0  24   2 249 289 220]
 [  0   0   2  10  15   8]]",24.538071393966675,0.01685047149658203
IoTID20,['*'],None,Normalizer,HHH,0.3124258661995834,-1,-1,80.93333333333334,31.332753712638766,11.44,35.666666666666664,28.372413401272684,-1,"{'0Normal': {'precision': 0.0175, 'recall': 0.3684210526315789, 'f1-score': 0.0334128878281623, 'support': 19.0}, 'DoS': {'precision': 0.94, 'recall': 0.6924493554327809, 'f1-score': 0.7974549310710498, 'support': 543.0}, 'MITM ARP Spoofing': {'precision': 0.5625, 'recall': 0.27439024390243905, 'f1-score': 0.36885245901639346, 'support': 820.0}, 'Mirai': {'precision': 0.615, 'recall': 0.411371237458194, 'f1-score': 0.49298597194388777, 'support': 598.0}, 'Scan': {'precision': 0.005, 'recall': 0.13333333333333333, 'f1-score': 0.009638554216867469, 'support': 15.0}, 'micro avg': {'precision': 0.428, 'recall': 0.42907268170426066, 'f1-score': 0.4285356695869837, 'support': 1995.0}, 'macro avg': {'precision': 0.42799999999999994, 'recall': 0.3759930445516652, 'f1-score': 0.34046896081527217, 'support': 1995.0}, 'weighted avg': {'precision': 0.6716027568922306, 'recall': 0.42907268170426066, 'f1-score': 0.5168230969270455, 'support': 1995.0}}","[[  0   1   4   0   0   0]
 [  0   7  12   0   0   0]
 [  0 167 376   0   0   0]
 [  0 214   4 225 150 227]
 [  0  11   3 167 246 171]
 [  0   0   1   8   4   2]]",25.885170698165894,0.016851425170898438
IoTID20,['*'],rbf,StandardScaler,KNFST,0.43046415507164737,-1,-1,80.80000000000001,52.0,12.0,51.43041259666246,45.31373129243231,-1,"{'0Normal': {'precision': 0.5184590690208668, 'recall': 0.8075, 'f1-score': 0.6314760508308895, 'support': 400.0}, 'DoS': {'precision': 0.9949622166246851, 'recall': 0.9875, 'f1-score': 0.9912170639899623, 'support': 400.0}, 'MITM ARP Spoofing': {'precision': 0.3377885783718105, 'recall': 0.695, 'f1-score': 0.45461978740801307, 'support': 400.0}, 'Mirai': {'precision': 0.5882352941176471, 'recall': 0.075, 'f1-score': 0.1330376940133038, 'support': 400.0}, 'Scan': {'precision': 0.1320754716981132, 'recall': 0.035, 'f1-score': 0.05533596837944664, 'support': 400.0}, 'accuracy': 0.52, 'macro avg': {'precision': 0.5143041259666246, 'recall': 0.52, 'f1-score': 0.4531373129243231, 'support': 2000.0}, 'weighted avg': {'precision': 0.5143041259666246, 'recall': 0.52, 'f1-score': 0.4531373129243231, 'support': 2000.0}}","[[323   0  53   8  16]
 [  1 395   1   0   3]
 [ 95   0 278   3  24]
 [122   0 199  30  49]
 [ 82   2 292  10  14]]",373.0584533214569,0.6820943355560303
IoTID20,['*'],rbf,StandardScaler,HHH,0.6098141620819636,-1,-1,89.06666666666668,62.38379492132208,6.5600000000000005,55.99999999999999,56.03205407482588,-1,"{'0Normal': {'precision': 0.8175, 'recall': 0.9533527696793003, 'f1-score': 0.8802153432032301, 'support': 343.0}, 'DoS': {'precision': 0.96, 'recall': 0.8868360277136259, 'f1-score': 0.921968787515006, 'support': 433.0}, 'MITM ARP Spoofing': {'precision': 0.5375, 'recall': 0.6574923547400612, 'f1-score': 0.5914718019257221, 'support': 327.0}, 'Mirai': {'precision': 0.7775, 'recall': 0.4468390804597701, 'f1-score': 0.5675182481751825, 'support': 696.0}, 'Scan': {'precision': 0.2675, 'recall': 0.7985074626865671, 'f1-score': 0.40074906367041196, 'support': 134.0}, 'micro avg': {'precision': 0.672, 'recall': 0.6952922917744438, 'f1-score': 0.6834477498093059, 'support': 1933.0}, 'macro avg': {'precision': 0.6719999999999999, 'recall': 0.748605539055865, 'f1-score': 0.6723846488979105, 'support': 1933.0}, 'weighted avg': {'precision': 0.7495240558717021, 'recall': 0.6952922917744438, 'f1-score': 0.6948943105039725, 'support': 1933.0}}","[[  0  14  10  17  22   4]
 [  0 327   3   7   4   2]
 [  0  33 384   6   6   4]
 [  0  13   2 215  44  53]
 [  0  13   1 141 311 230]
 [  0   0   0  14  13 107]]",24.68616557121277,0.2782559394836426
IoTID20,['*'],rbf,QuantileTransformer,KNFST,0.5018270617362685,-1,-1,83.89999999999999,59.75,10.0625,58.24618176416527,58.05379437132592,-1,"{'0Normal': {'precision': 0.5826377295492488, 'recall': 0.8725, 'f1-score': 0.6986986986986987, 'support': 400.0}, 'DoS': {'precision': 1.0, 'recall': 0.9925, 'f1-score': 0.9962358845671266, 'support': 400.0}, 'MITM ARP Spoofing': {'precision': 0.4055727554179567, 'recall': 0.3275, 'f1-score': 0.36237897648686035, 'support': 400.0}, 'Mirai': {'precision': 0.43866171003717475, 'recall': 0.295, 'f1-score': 0.35276532137518685, 'support': 400.0}, 'Scan': {'precision': 0.4854368932038835, 'recall': 0.5, 'f1-score': 0.49261083743842365, 'support': 400.0}, 'accuracy': 0.5975, 'macro avg': {'precision': 0.5824618176416527, 'recall': 0.5975, 'f1-score': 0.5805379437132592, 'support': 2000.0}, 'weighted avg': {'precision': 0.5824618176416527, 'recall': 0.5975, 'f1-score': 0.5805379437132592, 'support': 2000.0}}","[[349   0  14  20  17]
 [  3 397   0   0   0]
 [ 89   0 131  69 111]
 [ 99   0  99 118  84]
 [ 59   0  79  62 200]]",493.8921523094177,0.7355828285217285
IoTID20,['*'],rbf,QuantileTransformer,HHH,0.6901569879602671,-1,-1,91.5,66.10231355237744,5.1,62.083333333333336,63.025980912883725,-1,"{'0Normal': {'precision': 0.8725, 'recall': 0.953551912568306, 'f1-score': 0.9112271540469975, 'support': 366.0}, 'DoS': {'precision': 0.99, 'recall': 0.8703296703296703, 'f1-score': 0.9263157894736842, 'support': 455.0}, 'MITM ARP Spoofing': {'precision': 0.555, 'recall': 0.7025316455696202, 'f1-score': 0.6201117318435755, 'support': 316.0}, 'Mirai': {'precision': 0.7475, 'recall': 0.5578358208955224, 'f1-score': 0.6388888888888888, 'support': 536.0}, 'Scan': {'precision': 0.56, 'recall': 0.8818897637795275, 'f1-score': 0.6850152905198776, 'support': 254.0}, 'micro avg': {'precision': 0.745, 'recall': 0.7732226258432797, 'f1-score': 0.7588489941431118, 'support': 1927.0}, 'macro avg': {'precision': 0.745, 'recall': 0.7932277626285293, 'f1-score': 0.7563117709546047, 'support': 1927.0}, 'weighted avg': {'precision': 0.7722184743124028, 'recall': 0.7732226258432797, 'f1-score': 0.7614823342453506, 'support': 1927.0}}","[[  0  16   0  20  17  20]
 [  0 349   4   4   5   4]
 [  0  19 396  15  13  12]
 [  0   6   0 222  53  35]
 [  0   5   0 127 299 105]
 [  0   5   0  12  13 224]]",26.69946551322937,0.2907106876373291
IoTID20,['*'],rbf,MinMaxScaler,KNFST,0.35137860798733694,-1,-1,77.53999999999999,43.85,14.0375,39.74367588932806,36.49656015624502,-1,"{'0Normal': {'precision': 0.29583333333333334, 'recall': 0.8875, 'f1-score': 0.4437499999999999, 'support': 400.0}, 'DoS': {'precision': 0.995, 'recall': 0.995, 'f1-score': 0.995, 'support': 400.0}, 'MITM ARP Spoofing': {'precision': 0.33666666666666667, 'recall': 0.2525, 'f1-score': 0.2885714285714286, 'support': 400.0}, 'Mirai': {'precision': 0.2727272727272727, 'recall': 0.0525, 'f1-score': 0.0880503144654088, 'support': 400.0}, 'Scan': {'precision': 0.08695652173913043, 'recall': 0.005, 'f1-score': 0.009456264775413711, 'support': 400.0}, 'accuracy': 0.4385, 'macro avg': {'precision': 0.3974367588932806, 'recall': 0.4385, 'f1-score': 0.36496560156245017, 'support': 2000.0}, 'weighted avg': {'precision': 0.3974367588932806, 'recall': 0.4385, 'f1-score': 0.3649656015624502, 'support': 2000.0}}","[[355   0  18  21   6]
 [  1 398   0   1   0]
 [271   0 101  22   6]
 [278   0  92  21   9]
 [295   2  89  12   2]]",239.56871509552002,0.7170619964599609
IoTID20,['*'],rbf,MinMaxScaler,HHH,0.5261106718111561,-1,-1,86.71666666666667,57.65248412537972,7.969999999999999,50.12500000000001,48.94489749322241,-1,"{'0Normal': {'precision': 0.625, 'recall': 0.9505703422053232, 'f1-score': 0.7541478129713425, 'support': 263.0}, 'DoS': {'precision': 0.9575, 'recall': 0.7995824634655533, 'f1-score': 0.8714448236632537, 'support': 479.0}, 'MITM ARP Spoofing': {'precision': 0.46, 'recall': 0.5183098591549296, 'f1-score': 0.48741721854304637, 'support': 355.0}, 'Mirai': {'precision': 0.7825, 'recall': 0.39720812182741116, 'f1-score': 0.526936026936027, 'support': 788.0}, 'Scan': {'precision': 0.1825, 'recall': 0.7934782608695652, 'f1-score': 0.2967479674796748, 'support': 92.0}, 'micro avg': {'precision': 0.6015, 'recall': 0.6084977238239757, 'f1-score': 0.6049786271058587, 'support': 1977.0}, 'macro avg': {'precision': 0.6015, 'recall': 0.6918298095045566, 'f1-score': 0.587338769918669, 'support': 1977.0}, 'weighted avg': {'precision': 0.7181170966110266, 'recall': 0.6084977238239757, 'f1-score': 0.6228237026619435, 'support': 1977.0}}","[[  0  10   8   1   3   1]
 [  0 250   5   6   1   1]
 [  0  83 383   4   7   2]
 [  0  44   4 184  64  59]
 [  0  13   0 198 313 264]
 [  0   0   0   7  12  73]]",26.19997215270996,0.3014085292816162
