Column1,Data Type,Poly,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
0,BoT_IoT,-1,rbf,QuantileTransformer,HHH,0.974216416,-1,-1,99.39299831,83.9671148,0.354084321,83.56377551,83.75259904,-1,"{'0Normal': {'precision': 0.965, 'recall': 0.9414634146341463, 'f1-score': 0.9530864197530864, 'support': 205.0}, 'HTTP': {'precision': 0.9925, 'recall': 0.9875621890547264, 'f1-score': 0.9900249376558603, 'support': 402.0}, 'TCP': {'precision': 0.99, 'recall': 0.99, 'f1-score': 0.99, 'support': 400.0}, 'UDP': {'precision': 0.9925, 'recall': 0.9778325123152709, 'f1-score': 0.9851116625310173, 'support': 406.0}, 'scan': {'precision': 0.9675, 'recall': 0.9948586118251928, 'f1-score': 0.9809885931558935, 'support': 389.0}, 'theft': {'precision': 0.9419642857142857, 'recall': 0.985981308411215, 'f1-score': 0.9634703196347032, 'support': 214.0}, 'micro avg': {'precision': 0.9787549407114624, 'recall': 0.9826388888888888, 'f1-score': 0.9806930693069307, 'support': 2016.0}, 'macro avg': {'precision': 0.9749107142857142, 'recall': 0.9796163393734251, 'f1-score': 0.9771136554550935, 'support': 2016.0}, 'weighted avg': {'precision': 0.9790192743764172, 'recall': 0.9826388888888888, 'f1-score': 0.9807119479732642, 'support': 2016.0}}","[[  0   5   0   0   0   2   1]
 [  0 193   3   2   0   2   5]
 [  0   1 397   2   0   0   2]
 [  0   0   0 396   3   1   0]
 [  0   1   0   0 397   5   3]
 [  0   0   0   0   0 387   2]
 [  0   0   0   0   0   3 211]]",17.8696754,0.149497271
10,BoT_IoT,2,rbf,QuantileTransformer,HHH,0.971203824,-1,-1,99.32241671,83.63151776,0.395256917,83.41326531,83.5048679,-1,"{'0Normal': {'precision': 0.965, 'recall': 0.919047619047619, 'f1-score': 0.9414634146341463, 'support': 210.0}, 'HTTP': {'precision': 0.98, 'recall': 0.9849246231155779, 'f1-score': 0.9824561403508771, 'support': 398.0}, 'TCP': {'precision': 0.9875, 'recall': 0.9825870646766169, 'f1-score': 0.9850374064837906, 'support': 402.0}, 'UDP': {'precision': 0.985, 'recall': 0.985, 'f1-score': 0.985, 'support': 400.0}, 'scan': {'precision': 0.975, 'recall': 0.9873417721518988, 'f1-score': 0.9811320754716981, 'support': 395.0}, 'theft': {'precision': 0.9464285714285714, 'recall': 0.9953051643192489, 'f1-score': 0.9702517162471396, 'support': 213.0}, 'micro avg': {'precision': 0.9762845849802372, 'recall': 0.979187314172448, 'f1-score': 0.9777337951509154, 'support': 2018.0}, 'macro avg': {'precision': 0.9731547619047619, 'recall': 0.975701040551827, 'f1-score': 0.9742234588646085, 'support': 2018.0}, 'weighted avg': {'precision': 0.976402024635424, 'recall': 0.979187314172448, 'f1-score': 0.9776613893514694, 'support': 2018.0}}","[[  0   4   0   0   0   2   0]
 [  0 193   7   1   0   1   8]
 [  0   2 392   4   0   0   0]
 [  0   1   1 395   4   1   0]
 [  0   0   0   0 394   5   1]
 [  0   0   0   0   2 390   3]
 [  0   0   0   0   0   1 212]]",18.05757093,0.194181919
5,BoT_IoT,0,rbf,QuantileTransformer,HHH,0.969402486,-1,-1,99.28006776,83.60945634,0.419960474,83.21428571,83.39956398,-1,"{'0Normal': {'precision': 0.96, 'recall': 0.9411764705882353, 'f1-score': 0.9504950495049505, 'support': 204.0}, 'HTTP': {'precision': 0.99, 'recall': 0.9801980198019802, 'f1-score': 0.9850746268656716, 'support': 404.0}, 'TCP': {'precision': 0.985, 'recall': 0.985, 'f1-score': 0.985, 'support': 400.0}, 'UDP': {'precision': 0.9925, 'recall': 0.9778325123152709, 'f1-score': 0.9851116625310173, 'support': 406.0}, 'scan': {'precision': 0.96, 'recall': 0.987146529562982, 'f1-score': 0.973384030418251, 'support': 389.0}, 'theft': {'precision': 0.9375, 'recall': 0.9813084112149533, 'f1-score': 0.958904109589041, 'support': 214.0}, 'micro avg': {'precision': 0.974802371541502, 'recall': 0.9781854238968766, 'f1-score': 0.9764909675822816, 'support': 2017.0}, 'macro avg': {'precision': 0.9708333333333333, 'recall': 0.9754436572472369, 'f1-score': 0.9729949131514887, 'support': 2017.0}, 'weighted avg': {'precision': 0.9751214675260288, 'recall': 0.9781854238968766, 'f1-score': 0.9765385927739656, 'support': 2017.0}}","[[  0   5   0   0   0   2   0]
 [  0 192   3   1   0   2   6]
 [  0   2 396   4   0   0   2]
 [  0   0   1 394   3   2   0]
 [  0   1   0   1 397   6   1]
 [  0   0   0   0   0 384   5]
 [  0   0   0   0   0   4 210]]",10.11599708,0.139844418
15,BoT_IoT,3,rbf,QuantileTransformer,HHH,0.968228775,-1,-1,99.25183512,83.52876217,0.436429513,83.16326531,83.32998007,-1,"{'0Normal': {'precision': 0.955, 'recall': 0.9138755980861244, 'f1-score': 0.9339853300733496, 'support': 209.0}, 'HTTP': {'precision': 0.985, 'recall': 0.985, 'f1-score': 0.985, 'support': 400.0}, 'TCP': {'precision': 0.9775, 'recall': 0.972636815920398, 'f1-score': 0.9750623441396509, 'support': 402.0}, 'UDP': {'precision': 0.9875, 'recall': 0.9899749373433584, 'f1-score': 0.9887359198998749, 'support': 399.0}, 'scan': {'precision': 0.97, 'recall': 0.9948717948717949, 'f1-score': 0.9822784810126582, 'support': 390.0}, 'theft': {'precision': 0.9464285714285714, 'recall': 0.9906542056074766, 'f1-score': 0.9680365296803652, 'support': 214.0}, 'micro avg': {'precision': 0.9738142292490118, 'recall': 0.9786494538232373, 'f1-score': 0.9762258543833581, 'support': 2014.0}, 'macro avg': {'precision': 0.9702380952380952, 'recall': 0.9745022253048589, 'f1-score': 0.972183100800983, 'support': 2014.0}, 'weighted avg': {'precision': 0.9738819336076039, 'recall': 0.9786494538232373, 'f1-score': 0.9761330949930758, 'support': 2014.0}}","[[  0   4   2   0   0   2   2]
 [  0 191   3   7   0   1   7]
 [  0   4 394   2   0   0   0]
 [  0   1   1 391   5   3   1]
 [  0   0   0   0 395   4   0]
 [  0   0   0   0   0 388   2]
 [  0   0   0   0   0   2 212]]",17.01568723,0.50777626
11,BoT_IoT,2,poly,QuantileTransformer,HHH,0.964725558,-1,-1,99.16713721,84.07042064,0.485836627,82.49744898,83.24462579,-1,"{'0Normal': {'precision': 0.88, 'recall': 0.9723756906077348, 'f1-score': 0.9238845144356955, 'support': 181.0}, 'HTTP': {'precision': 0.99, 'recall': 0.9682151589242054, 'f1-score': 0.9789864029666254, 'support': 409.0}, 'TCP': {'precision': 0.985, 'recall': 0.9800995024875622, 'f1-score': 0.9825436408977556, 'support': 402.0}, 'UDP': {'precision': 0.99, 'recall': 0.9850746268656716, 'f1-score': 0.9875311720698254, 'support': 402.0}, 'scan': {'precision': 0.97, 'recall': 0.9974293059125964, 'f1-score': 0.9835234474017744, 'support': 389.0}, 'theft': {'precision': 0.9598214285714286, 'recall': 0.9817351598173516, 'f1-score': 0.9706546275395034, 'support': 219.0}, 'micro avg': {'precision': 0.9708498023715415, 'recall': 0.9815184815184815, 'f1-score': 0.9761549925484352, 'support': 2002.0}, 'macro avg': {'precision': 0.962470238095238, 'recall': 0.9808215741025204, 'f1-score': 0.9711873008851967, 'support': 2002.0}, 'weighted avg': {'precision': 0.9718635828457256, 'recall': 0.9815184815184815, 'f1-score': 0.9764048927120977, 'support': 2002.0}}","[[  0  12   1   0   0   3   6]
 [  0 176   1   2   0   1   1]
 [  0   9 396   3   1   0   0]
 [  0   2   2 394   3   0   1]
 [  0   0   0   1 396   5   0]
 [  0   0   0   0   0 388   1]
 [  0   1   0   0   0   3 215]]",17.54622006,0.254407644
16,BoT_IoT,3,poly,QuantileTransformer,HHH,0.959928557,-1,-1,99.05420666,83.72910764,0.55171278,82.40561224,83.0458002,-1,"{'0Normal': {'precision': 0.915, 'recall': 0.9682539682539683, 'f1-score': 0.9408740359897172, 'support': 189.0}, 'HTTP': {'precision': 0.9875, 'recall': 0.9657701711491442, 'f1-score': 0.9765142150803461, 'support': 409.0}, 'TCP': {'precision': 0.9725, 'recall': 0.9798488664987406, 'f1-score': 0.9761606022584692, 'support': 397.0}, 'UDP': {'precision': 0.9875, 'recall': 0.9753086419753086, 'f1-score': 0.9813664596273292, 'support': 405.0}, 'scan': {'precision': 0.955, 'recall': 0.9947916666666666, 'f1-score': 0.9744897959183674, 'support': 384.0}, 'theft': {'precision': 0.9508928571428571, 'recall': 0.9770642201834863, 'f1-score': 0.9638009049773756, 'support': 218.0}, 'micro avg': {'precision': 0.966897233201581, 'recall': 0.9775224775224776, 'f1-score': 0.972180824639841, 'support': 2002.0}, 'macro avg': {'precision': 0.9613988095238094, 'recall': 0.976839589121219, 'f1-score': 0.9688676689752674, 'support': 2002.0}, 'weighted avg': {'precision': 0.9674611103182532, 'recall': 0.9775224775224776, 'f1-score': 0.9722883920745852, 'support': 2002.0}}","[[  0   7   3   3   0   4   5]
 [  0 183   1   3   0   0   2]
 [  0   7 395   4   3   0   0]
 [  0   1   1 389   2   3   1]
 [  0   2   0   1 395   6   1]
 [  0   0   0   0   0 382   2]
 [  0   0   0   0   0   5 213]]",17.59926581,0.645575285
1,BoT_IoT,-1,poly,QuantileTransformer,HHH,0.944659713,-1,-1,98.68718238,83.48519697,0.765810277,80.75765306,82.04974296,-1,"{'0Normal': {'precision': 0.83, 'recall': 0.9485714285714286, 'f1-score': 0.8853333333333333, 'support': 175.0}, 'HTTP': {'precision': 0.955, 'recall': 0.9695431472081218, 'f1-score': 0.9622166246851386, 'support': 394.0}, 'TCP': {'precision': 0.9775, 'recall': 0.9702233250620348, 'f1-score': 0.9738480697384807, 'support': 403.0}, 'UDP': {'precision': 0.9875, 'recall': 0.9753086419753086, 'f1-score': 0.9813664596273292, 'support': 405.0}, 'scan': {'precision': 0.97, 'recall': 0.9897959183673469, 'f1-score': 0.9797979797979798, 'support': 392.0}, 'theft': {'precision': 0.9330357142857143, 'recall': 0.990521327014218, 'f1-score': 0.960919540229885, 'support': 211.0}, 'micro avg': {'precision': 0.9540513833992095, 'recall': 0.9752525252525253, 'f1-score': 0.9645354645354646, 'support': 1980.0}, 'macro avg': {'precision': 0.9421726190476191, 'recall': 0.973993964699743, 'f1-score': 0.9572470012353578, 'support': 1980.0}, 'weighted avg': {'precision': 0.9558083513708513, 'recall': 0.9752525252525253, 'f1-score': 0.9650483347385191, 'support': 1980.0}}","[[  0  16   2   5   1   8  12]
 [  0 166   7   1   1   0   0]
 [  0  12 382   0   0   0   0]
 [  0   4   6 391   2   0   0]
 [  0   2   2   2 395   3   1]
 [  0   0   1   1   0 388   2]
 [  0   0   0   0   1   1 209]]",17.16960049,0.20712328
6,BoT_IoT,0,poly,QuantileTransformer,HHH,0.941826569,-1,-1,98.61660079,83.67818874,0.806982872,80.56377551,82.02511749,-1,"{'0Normal': {'precision': 0.82, 'recall': 0.9647058823529412, 'f1-score': 0.8864864864864865, 'support': 170.0}, 'HTTP': {'precision': 0.9525, 'recall': 0.9694656488549618, 'f1-score': 0.9609079445145019, 'support': 393.0}, 'TCP': {'precision': 0.975, 'recall': 0.9701492537313433, 'f1-score': 0.972568578553616, 'support': 402.0}, 'UDP': {'precision': 0.9825, 'recall': 0.9727722772277227, 'f1-score': 0.9776119402985075, 'support': 404.0}, 'scan': {'precision': 0.9675, 'recall': 0.989769820971867, 'f1-score': 0.9785082174462706, 'support': 391.0}, 'theft': {'precision': 0.9419642857142857, 'recall': 0.9906103286384976, 'f1-score': 0.965675057208238, 'support': 213.0}, 'micro avg': {'precision': 0.9515810276679841, 'recall': 0.9761784085149519, 'f1-score': 0.9637227920940705, 'support': 1973.0}, 'macro avg': {'precision': 0.9399107142857143, 'recall': 0.9762455352962224, 'f1-score': 0.9569597040846035, 'support': 1973.0}, 'weighted avg': {'precision': 0.9536459162986025, 'recall': 0.9761784085149519, 'f1-score': 0.964294382951292, 'support': 1973.0}}","[[  0  20   3   7   3   8  10]
 [  0 164   6   0   0   0   0]
 [  0  10 381   0   1   0   1]
 [  0   4   7 390   1   0   0]
 [  0   2   3   2 393   4   0]
 [  0   0   0   1   1 387   2]
 [  0   0   0   0   1   1 211]]",3.621547699,0.133376122
20,BoT_IoT,-1,rbf,StandardScaler,HHH,0.937021942,-1,-1,98.50367024,82.73550992,0.872859025,81.03571429,81.84534237,-1,"{'0Normal': {'precision': 0.93, 'recall': 0.9489795918367347, 'f1-score': 0.9393939393939394, 'support': 196.0}, 'HTTP': {'precision': 0.9475, 'recall': 0.9768041237113402, 'f1-score': 0.9619289340101523, 'support': 388.0}, 'TCP': {'precision': 0.975, 'recall': 0.9582309582309583, 'f1-score': 0.966542750929368, 'support': 407.0}, 'UDP': {'precision': 0.98, 'recall': 0.9584352078239609, 'f1-score': 0.969097651421508, 'support': 409.0}, 'scan': {'precision': 0.9025, 'recall': 0.9944903581267218, 'f1-score': 0.9462647444298821, 'support': 363.0}, 'theft': {'precision': 0.9375, 'recall': 0.9545454545454546, 'f1-score': 0.9459459459459459, 'support': 220.0}, 'micro avg': {'precision': 0.9476284584980237, 'recall': 0.9672213817448311, 'f1-score': 0.957324681806838, 'support': 1983.0}, 'macro avg': {'precision': 0.9454166666666667, 'recall': 0.9652476157125284, 'f1-score': 0.9548623276884659, 'support': 1983.0}, 'weighted avg': {'precision': 0.9487708018154312, 'recall': 0.9672213817448311, 'f1-score': 0.957486479028218, 'support': 1983.0}}","[[  0   9   5   2   7  10   8]
 [  0 186   3   1   0   3   3]
 [  0   1 379   5   0   3   0]
 [  0   1  13 390   0   3   0]
 [  0   1   0   2 392  12   2]
 [  0   0   0   0   1 361   1]
 [  0   2   0   0   0   8 210]]",16.53300524,0.152610779
30,BoT_IoT,2,rbf,StandardScaler,HHH,0.933245475,-1,-1,98.41897233,82.13809068,0.92226614,80.30612245,81.16842353,-1,"{'0Normal': {'precision': 0.85, 'recall': 0.9392265193370166, 'f1-score': 0.8923884514435696, 'support': 181.0}, 'HTTP': {'precision': 0.9575, 'recall': 0.9671717171717171, 'f1-score': 0.9623115577889447, 'support': 396.0}, 'TCP': {'precision': 0.9775, 'recall': 0.9583333333333334, 'f1-score': 0.9678217821782178, 'support': 408.0}, 'UDP': {'precision': 0.9775, 'recall': 0.9630541871921182, 'f1-score': 0.9702233250620348, 'support': 406.0}, 'scan': {'precision': 0.9125, 'recall': 0.9838274932614556, 'f1-score': 0.9468223086900129, 'support': 371.0}, 'theft': {'precision': 0.9464285714285714, 'recall': 0.9380530973451328, 'f1-score': 0.9422222222222222, 'support': 226.0}, 'micro avg': {'precision': 0.9446640316205533, 'recall': 0.9617706237424547, 'f1-score': 0.9531405782652044, 'support': 1988.0}, 'macro avg': {'precision': 0.9369047619047618, 'recall': 0.9582777246067957, 'f1-score': 0.9469649412308336, 'support': 1988.0}, 'weighted avg': {'precision': 0.9462451494682379, 'recall': 0.9617706237424547, 'f1-score': 0.9535175766830102, 'support': 1988.0}}","[[  0  18   3   0   2   9   4]
 [  0 170   3   1   1   3   3]
 [  0   7 383   4   1   0   1]
 [  0   2   9 391   2   3   1]
 [  0   1   1   3 391   9   1]
 [  0   1   1   0   2 365   2]
 [  0   1   0   1   1  11 212]]",3.707738876,0.128611803
