dataset,model,seed,n_train,n_test,n_classes,MCC,ACC,TPR_macro,TPR_weighted,FPR,PPV_macro,PPV_weighted,F1_macro,F1_weighted,AUROC_OvR_macro,AUROC_OvR_weighted,AUROC_OvO_macro,AUROC_binary,t_preprocess_s,t_fit_s,t_predict_s,peak_rss_mb,status
5G_NIDD,FTTransformer,42,6880,1800,9,0.99189049841012,99.8395061728395,99.27777777777779,99.27777777777777,0.09027777777777778,99.29115149551397,99.29115149551396,99.27837457501971,99.2783745750197,99.8698611111111,99.8698611111111,99.86986111111109,99.92562500000001,0.11851811408996582,76.74266695976257,0.33933019638061523,4692.4375,ok
5G_NIDD,FTTransformer,43,6880,1800,9,0.9906525185077208,99.81481481481481,99.16666666666667,99.16666666666667,0.10416666666666667,99.19555974168262,99.19555974168263,99.17047606839094,99.17047606839093,99.91375000000001,99.91375000000001,99.91375000000001,99.9725,0.11650419235229492,75.86863374710083,0.3639349937438965,4692.4375,ok
5G_NIDD,FTTransformer,44,6880,1800,9,0.9943877752027865,99.8888888888889,99.5,99.5,0.0625,99.51108524367388,99.51108524367386,99.50049228675911,99.50049228675911,99.93430555555557,99.93430555555555,99.93430555555557,99.95625,0.11286211013793945,75.470951795578,0.3374762535095215,4692.4375,ok
5G_NIDD,FTTransformer,45,6880,1800,9,0.9931346555227544,99.8641975308642,99.3888888888889,99.3888888888889,0.0763888888888889,99.3988684668573,99.39886846685731,99.3900886355171,99.3900886355171,99.91192708333334,99.91192708333332,99.91192708333332,99.90515624999999,0.11790895462036133,75.6005790233612,0.3421487808227539,4692.4375,ok
5G_NIDD,FTTransformer,46,6880,1800,9,0.9826074785710245,99.65432098765432,98.44444444444443,98.44444444444444,0.19444444444444445,98.53784320230966,98.53784320230966,98.4492025933749,98.44920259337489,99.85878472222223,99.85878472222223,99.85878472222223,99.925,0.10918712615966797,76.06216382980347,0.3378419876098633,4692.4375,ok
5G_NIDD,GauNB,42,6880,1800,9,0.8571289267310971,97.11111111111111,87.0,87.0,1.625,88.54031291919492,88.5403129191949,86.33867452371798,86.338674523718,98.10178819444444,98.10178819444445,98.10178819444447,70.84375,0.12798810005187988,0.001798868179321289,0.0025110244750976562,4692.4375,ok
5G_NIDD,GauNB,43,6880,1800,9,0.8638457754820584,97.23456790123457,87.55555555555556,87.55555555555556,1.5555555555555556,89.58183124058482,89.58183124058482,86.88730573242654,86.88730573242654,98.4474826388889,98.44748263888889,98.4474826388889,72.0,0.1299741268157959,0.0018699169158935547,0.0027430057525634766,4692.4375,ok
5G_NIDD,GauNB,44,6880,1800,9,0.8572021789843483,97.12345679012346,87.05555555555556,87.05555555555556,1.6180555555555556,88.40011682049463,88.40011682049465,86.50297339217704,86.50297339217704,98.32423611111112,98.3242361111111,98.32423611111112,72.59374999999999,0.1282331943511963,0.001958131790161133,0.002756834030151367,4692.4375,ok
5G_NIDD,GauNB,45,6880,1800,9,0.8571340263454215,97.11111111111111,87.0,87.0,1.625,88.79030177186476,88.79030177186473,86.35162308893818,86.3516230889382,98.24206597222222,98.24206597222222,98.24206597222224,71.53125,0.1269991397857666,0.0020360946655273438,0.0027937889099121094,4692.4375,ok
5G_NIDD,GauNB,46,6880,1800,9,0.8517124087929697,97.0,86.5,86.5,1.6875,88.11988255210171,88.11988255210171,85.78928999626993,85.78928999626993,98.043125,98.043125,98.043125,69.0625,0.12923407554626465,0.0018570423126220703,0.002830982208251953,4692.4375,ok
5G_NIDD,KNFST,42,6880,1800,9,0.9200539908634783,98.41975308641975,92.88888888888889,92.88888888888889,0.8888888888888888,93.02744972453227,93.02744972453226,92.93766711492718,92.9376671149272,97.99802083333334,97.99802083333333,97.99802083333334,94.4784375,0.17309904098510742,84.52541327476501,0.15807485580444336,9422.203125,ok
5G_NIDD,KNFST,43,6880,1800,9,0.9250211986453729,98.51851851851852,93.33333333333333,93.33333333333333,0.8333333333333334,93.37591264096461,93.37591264096463,93.34647935510871,93.3464793551087,98.0076736111111,98.00767361111113,98.0076736111111,93.82875,0.10116291046142578,94.20516514778137,0.17377781867980957,9422.203125,ok
5G_NIDD,KNFST,44,6880,1800,9,0.9119433983199071,98.25925925925925,92.16666666666666,92.16666666666666,0.9791666666666667,92.28304695887346,92.28304695887346,92.20130717420629,92.2013071742063,97.84465277777777,97.84465277777777,97.84465277777777,92.5346875,0.14713287353515625,78.19635891914368,0.1505579948425293,9422.203125,ok
5G_NIDD,KNFST,45,6880,1800,9,0.9135209448827694,98.28395061728395,92.27777777777777,92.27777777777779,0.9652777777777778,92.63417492624588,92.63417492624588,92.31234543300069,92.31234543300069,97.95243055555557,97.95243055555557,97.95243055555557,94.31093750000001,0.1022031307220459,81.10083198547363,0.1524960994720459,9422.203125,ok
5G_NIDD,KNFST,46,6880,1800,9,0.8964498558917972,97.95061728395062,90.77777777777779,90.77777777777779,1.1527777777777777,91.01867011338656,91.01867011338656,90.81726562340174,90.81726562340172,97.93124999999999,97.93124999999999,97.93124999999999,93.581875,0.10319375991821289,67.42744994163513,0.1512432098388672,9422.203125,ok
5G_NIDD,KNN,42,6880,1800,9,0.9843910648463801,99.69135802469135,98.61111111111111,98.61111111111111,0.1736111111111111,98.62622476703932,98.62622476703932,98.61233638906913,98.61233638906911,99.4048611111111,99.4048611111111,99.4048611111111,99.40234374999999,0.12008500099182129,0.00044608116149902344,0.024851083755493164,4692.4375,ok
5G_NIDD,KNN,43,6880,1800,9,0.9869099536798419,99.74074074074075,98.83333333333333,98.83333333333333,0.14583333333333334,98.8644600944819,98.86446009448191,98.83517728168563,98.83517728168565,99.49671874999999,99.49671875,99.49671875000001,99.6525,0.12303519248962402,0.0005238056182861328,0.029033184051513672,4692.4375,ok
5G_NIDD,KNN,44,6880,1800,9,0.9843907230329487,99.69135802469135,98.61111111111111,98.61111111111111,0.1736111111111111,98.62585454139811,98.62585454139811,98.61233481495553,98.61233481495555,99.53241319444443,99.53241319444444,99.53241319444443,99.11734375,0.13004803657531738,0.00049591064453125,0.02486705780029297,4692.4375,ok
5G_NIDD,KNN,45,6880,1800,9,0.9868893922419143,99.74074074074075,98.83333333333333,98.83333333333333,0.14583333333333334,98.84628206100723,98.84628206100726,98.83415020300522,98.83415020300521,99.61951388888889,99.61951388888887,99.61951388888889,99.9359375,0.12749409675598145,0.0005431175231933594,0.026541709899902344,4692.4375,ok
5G_NIDD,KNN,46,6880,1800,9,0.9843951666353309,99.69135802469135,98.61111111111111,98.61111111111111,0.1736111111111111,98.63017346638036,98.63017346638036,98.61280485611069,98.61280485611069,99.46276041666668,99.46276041666667,99.46276041666668,99.86953125,0.126664400100708,0.0004940032958984375,0.02266716957092285,4692.4375,ok
5G_NIDD,LDA,42,6880,1800,9,0.908881028722923,98.1358024691358,91.61111111111111,91.61111111111111,1.0486111111111112,93.50627482918692,93.50627482918694,91.20096346111514,91.20096346111514,99.65798611111113,99.65798611111111,99.65798611111111,99.3521875,0.12867212295532227,0.014882087707519531,0.0008878707885742188,4692.4375,ok
5G_NIDD,LDA,43,6880,1800,9,0.9119853704452718,98.19753086419753,91.88888888888889,91.88888888888889,1.0138888888888888,93.69140592819498,93.69140592819498,91.42986179103248,91.42986179103247,99.66722222222224,99.66722222222222,99.66722222222224,98.47437500000001,0.15357708930969238,0.007953166961669922,0.00039505958557128906,4692.4375,ok
5G_NIDD,LDA,44,6880,1800,9,0.906590694293155,98.09876543209877,91.44444444444443,91.44444444444444,1.0694444444444444,93.00516802798592,93.00516802798592,91.04879708666564,91.04879708666563,99.55097222222223,99.55097222222223,99.55097222222223,98.09203125,0.16295385360717773,0.009685993194580078,0.0004210472106933594,4692.4375,ok
5G_NIDD,LDA,45,6880,1800,9,0.9015271718841288,97.98765432098764,90.94444444444446,90.94444444444446,1.1319444444444444,92.84332517679016,92.84332517679015,90.45530597003474,90.45530597003474,99.60770833333333,99.60770833333335,99.60770833333333,98.46718750000001,0.18415093421936035,0.008697032928466797,0.0004107952117919922,4692.4375,ok
5G_NIDD,LDA,46,6880,1800,9,0.9007995247249972,97.96296296296296,90.83333333333331,90.83333333333333,1.1458333333333333,92.92916537881246,92.92916537881244,90.28395838865202,90.28395838865202,99.6446701388889,99.6446701388889,99.6446701388889,99.27656250000001,0.16323089599609375,0.008085966110229492,0.0003840923309326172,4692.4375,ok
5G_NIDD,LGBM,42,6880,1800,9,0.9893904593467044,99.79012345679013,99.05555555555554,99.05555555555556,0.11805555555555555,99.06322638326299,99.063226383263,99.053087517736,99.05308751773602,99.97722222222224,99.97722222222222,99.9772222222222,99.989375,0.1282961368560791,4.39398193359375,0.017787933349609375,4692.4375,ok
5G_NIDD,LGBM,43,6880,1800,9,0.9918877430841121,99.8395061728395,99.27777777777779,99.27777777777777,0.09027777777777778,99.28781779323226,99.28781779323225,99.27770224004094,99.27770224004094,99.9886111111111,99.98861111111111,99.98861111111113,99.96499999999999,0.12224793434143066,4.413769006729126,0.019530057907104492,4692.4375,ok
5G_NIDD,LGBM,44,6880,1800,9,0.9925206777295146,99.85185185185185,99.33333333333336,99.33333333333333,0.08333333333333334,99.34896078114552,99.34896078114554,99.33290166096657,99.33290166096657,99.99437499999999,99.99437499999999,99.99437500000002,99.97375,0.11992692947387695,4.4362099170684814,0.016083955764770508,4692.4375,ok
5G_NIDD,LGBM,45,6880,1800,9,0.9950058733158923,99.90123456790123,99.55555555555556,99.55555555555556,0.05555555555555555,99.55938400333018,99.5593840033302,99.55511728406627,99.55511728406627,99.999375,99.999375,99.999375,100.0,0.12562012672424316,4.282049894332886,0.017594099044799805,4692.4375,ok
5G_NIDD,LGBM,46,6880,1800,9,0.9918887763286742,99.8395061728395,99.27777777777779,99.27777777777777,0.09027777777777778,99.2867530242953,99.2867530242953,99.27671936082416,99.27671936082416,99.98701388888888,99.98701388888888,99.98701388888888,99.9784375,0.12002706527709961,4.358155012130737,0.020292043685913086,4692.4375,ok
5G_NIDD,MLP,42,6880,1800,9,0.9862613009754858,99.72839506172839,98.77777777777777,98.77777777777777,0.1527777777777778,98.78623170650862,98.78623170650862,98.77755646745929,98.77755646745928,99.896875,99.896875,99.89687500000001,99.94875,0.12101197242736816,1.286613941192627,0.0009157657623291016,4692.4375,ok
5G_NIDD,MLP,43,6880,1800,9,0.9887808998859396,99.77777777777777,99.0,99.0,0.125,99.02538148551697,99.02538148551697,99.00042938437188,99.0004293843719,99.92756944444446,99.92756944444444,99.92756944444446,99.883125,0.11430096626281738,0.8257319927215576,0.0009331703186035156,4692.4375,ok
5G_NIDD,MLP,44,6880,1800,9,0.9906439187277083,99.81481481481481,99.16666666666667,99.16666666666667,0.10416666666666667,99.18305087914312,99.18305087914314,99.16738356033825,99.16738356033824,99.94673611111112,99.94673611111111,99.94673611111112,99.56812500000001,0.11889910697937012,0.8947939872741699,0.0009491443634033203,4692.4375,ok
5G_NIDD,MLP,45,6880,1800,9,0.9875438918150315,99.75308641975309,98.88888888888889,98.88888888888889,0.1388888888888889,98.9233575723652,98.92335757236522,98.88894332378736,98.88894332378737,99.97972222222222,99.97972222222222,99.97972222222222,99.98625,0.12093424797058105,0.7803668975830078,0.0009551048278808594,4692.4375,ok
5G_NIDD,MLP,46,6880,1800,9,0.9850136808405738,99.70370370370371,98.66666666666666,98.66666666666667,0.16666666666666669,98.68057780562422,98.68057780562422,98.66822398421998,98.66822398421998,99.96861111111112,99.96861111111112,99.96861111111109,99.965,0.1182100772857666,0.8032498359680176,0.0009038448333740234,4692.4375,ok
5G_NIDD,NC,42,6880,1800,9,0.7514072307660093,94.85185185185185,76.83333333333333,76.83333333333333,2.895833333333333,83.0765828079144,83.07658280791443,72.90574134908813,72.90574134908812,98.54487847222224,98.54487847222222,98.54487847222225,94.845625,0.12828588485717773,0.0015451908111572266,0.0026040077209472656,4692.4375,ok
5G_NIDD,NC,43,6880,1800,9,0.7489652558146501,94.79012345679013,76.55555555555556,76.55555555555556,2.930555555555556,83.24658231655637,83.2465823165564,72.59516638618486,72.59516638618486,98.43,98.43000000000002,98.43,92.58609375,0.13106417655944824,0.0019140243530273438,0.0030078887939453125,4692.4375,ok
5G_NIDD,NC,44,6880,1800,9,0.75123887106923,94.85185185185185,76.83333333333334,76.83333333333333,2.895833333333333,82.99220414486679,82.9922041448668,72.84452356400243,72.84452356400244,98.18618055555555,98.18618055555555,98.18618055555555,90.25890625000001,0.12712907791137695,0.0015249252319335938,0.0029561519622802734,4692.4375,ok
5G_NIDD,NC,45,6880,1800,9,0.746544679349495,94.74074074074073,76.33333333333333,76.33333333333333,2.9583333333333335,82.94692901750085,82.94692901750085,72.53332060303636,72.53332060303634,98.44267361111112,98.4426736111111,98.4426736111111,92.8321875,0.1270740032196045,0.0018630027770996094,0.003282785415649414,4692.4375,ok
5G_NIDD,NC,46,6880,1800,9,0.7474153036796273,94.77777777777779,76.5,76.5,2.9375,82.83782598156283,82.83782598156284,72.61758139975548,72.61758139975548,98.43369791666667,98.43369791666667,98.43369791666667,92.88093749999999,0.1313490867614746,0.0015060901641845703,0.002593994140625,4692.4375,ok
