,Data Type,Poly,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
0,IoTID20,-1,rbf,QuantileTransformer,HHH,0.6968709382807524,-1,-1,90.12,76.88043960601985,6.175,75.3,74.80830266767904,-1,"{'0Normal': {'precision': 0.9125, 'recall': 0.8314350797266514, 'f1-score': 0.8700834326579261, 'support': 439.0}, 'DoS': {'precision': 0.99, 'recall': 0.8703296703296703, 'f1-score': 0.9263157894736842, 'support': 455.0}, 'MITM ARP Spoofing': {'precision': 0.555, 'recall': 0.7025316455696202, 'f1-score': 0.6201117318435754, 'support': 316.0}, 'Mirai': {'precision': 0.7475, 'recall': 0.5578358208955224, 'f1-score': 0.6388888888888888, 'support': 536.0}, 'Scan': {'precision': 0.56, 'recall': 0.8818897637795275, 'f1-score': 0.6850152905198776, 'support': 254.0}, 'accuracy': 0.753, 'macro avg': {'precision': 0.753, 'recall': 0.7688043960601985, 'f1-score': 0.7480830266767905, 'support': 2000.0}, 'weighted avg': {'precision': 0.7846587500000001, 'recall': 0.753, 'f1-score': 0.7579169733232095, 'support': 2000.0}}","[[365   4  24  22  24]
 [ 19 396  15  13  12]
 [  6   0 222  53  35]
 [  5   0 127 299 105]
 [  5   0  12  13 224]]",14.240726470947266,0.1517961025238037
1,IoTID20,-1,poly,QuantileTransformer,HHH,0.6358985948452656,-1,-1,88.18,71.98077507478462,7.387499999999999,70.45,69.94788515556726,-1,"{'0Normal': {'precision': 0.8975, 'recall': 0.6825095057034221, 'f1-score': 0.775377969762419, 'support': 526.0}, 'DoS': {'precision': 0.93, 'recall': 0.8857142857142857, 'f1-score': 0.9073170731707317, 'support': 420.0}, 'MITM ARP Spoofing': {'precision': 0.5225, 'recall': 0.6741935483870968, 'f1-score': 0.5887323943661972, 'support': 310.0}, 'Mirai': {'precision': 0.64, 'recall': 0.5245901639344263, 'f1-score': 0.5765765765765766, 'support': 488.0}, 'Scan': {'precision': 0.5325, 'recall': 0.83203125, 'f1-score': 0.649390243902439, 'support': 256.0}, 'accuracy': 0.7045, 'macro avg': {'precision': 0.7045, 'recall': 0.7198077507478462, 'f1-score': 0.6994788515556727, 'support': 2000.0}, 'weighted avg': {'precision': 0.7366499999999999, 'recall': 0.7045, 'f1-score': 0.7095211484443273, 'support': 2000.0}}","[[359  19  46  57  45]
 [ 25 372  11  10   2]
 [  9   7 209  50  35]
 [  3   2 122 256 105]
 [  4   0  12  27 213]]",14.451458215713501,0.20328569412231445
2,IoTID20,-1,linear,QuantileTransformer,HHH,0.3573221695796534,-1,-1,78.94,49.29622473618342,13.1625,47.35,44.09058232536546,-1,"{'0Normal': {'precision': 0.3975, 'recall': 0.8784530386740331, 'f1-score': 0.5473321858864028, 'support': 181.0}, 'DoS': {'precision': 0.9475, 'recall': 0.6804308797127468, 'f1-score': 0.7920585161964472, 'support': 557.0}, 'MITM ARP Spoofing': {'precision': 0.3925, 'recall': 0.33547008547008544, 'f1-score': 0.3617511520737327, 'support': 468.0}, 'Mirai': {'precision': 0.5775, 'recall': 0.326271186440678, 'f1-score': 0.41696750902527074, 'support': 708.0}, 'Scan': {'precision': 0.0525, 'recall': 0.2441860465116279, 'f1-score': 0.08641975308641975, 'support': 86.0}, 'accuracy': 0.4735, 'macro avg': {'precision': 0.47350000000000003, 'recall': 0.4929622473618342, 'f1-score': 0.4409058232536546, 'support': 2000.0}, 'weighted avg': {'precision': 0.59839, 'recall': 0.4735, 'f1-score': 0.5060941767463454, 'support': 2000.0}}","[[159  14   0   8   0]
 [159 379   4   7   8]
 [ 67   6 157 110 128]
 [ 14   1 219 231 243]
 [  1   0  20  44  21]]",13.88175344467163,0.0670936107635498
3,IoTID20,-1,sigmoid,QuantileTransformer,HHH,0.30971911400351493,-1,-1,77.5,43.18687027264829,14.0625,43.75,40.01344537660228,-1,"{'0Normal': {'precision': 0.3125, 'recall': 0.5707762557077626, 'f1-score': 0.40387722132471726, 'support': 219.0}, 'DoS': {'precision': 0.88, 'recall': 0.7082494969818913, 'f1-score': 0.7848383500557413, 'support': 497.0}, 'MITM ARP Spoofing': {'precision': 0.3875, 'recall': 0.2609427609427609, 'f1-score': 0.3118712273641851, 'support': 594.0}, 'Mirai': {'precision': 0.575, 'recall': 0.359375, 'f1-score': 0.4423076923076923, 'support': 640.0}, 'Scan': {'precision': 0.0325, 'recall': 0.26, 'f1-score': 0.057777777777777775, 'support': 50.0}, 'accuracy': 0.4375, 'macro avg': {'precision': 0.4375, 'recall': 0.4318687027264829, 'f1-score': 0.4001344537660228, 'support': 2000.0}, 'weighted avg': {'precision': 0.55279875, 'recall': 0.4375, 'f1-score': 0.4748655462339773, 'support': 2000.0}}","[[125  22  12  44  16]
 [ 98 352  12  11  24]
 [138  17 155  95 189]
 [ 38   4 210 230 158]
 [  1   5  11  20  13]]",14.152079105377197,0.15772604942321777
4,IoTID20,-1,None,QuantileTransformer,HHH,0.35805156729783527,-1,-1,78.96,49.37268532064515,13.15,47.400000000000006,44.12269485413368,-1,"{'0Normal': {'precision': 0.3975, 'recall': 0.8784530386740331, 'f1-score': 0.5473321858864028, 'support': 181.0}, 'DoS': {'precision': 0.9475, 'recall': 0.6804308797127468, 'f1-score': 0.7920585161964472, 'support': 557.0}, 'MITM ARP Spoofing': {'precision': 0.3925, 'recall': 0.33547008547008544, 'f1-score': 0.3617511520737327, 'support': 468.0}, 'Mirai': {'precision': 0.58, 'recall': 0.32722143864598024, 'f1-score': 0.41839495040577096, 'support': 709.0}, 'Scan': {'precision': 0.0525, 'recall': 0.24705882352941178, 'f1-score': 0.0865979381443299, 'support': 85.0}, 'accuracy': 0.474, 'macro avg': {'precision': 0.47400000000000003, 'recall': 0.4937268532064515, 'f1-score': 0.44122694854133676, 'support': 2000.0}, 'weighted avg': {'precision': 0.59953875, 'recall': 0.474, 'f1-score': 0.5067730514586632, 'support': 2000.0}}","[[159  14   0   8   0]
 [159 379   4   7   8]
 [ 67   6 157 110 128]
 [ 14   1 219 232 243]
 [  1   0  20  43  21]]",13.477123022079468,0.007947921752929688
5,IoTID20,0,rbf,QuantileTransformer,HHH,0.6465632173817906,-1,-1,88.34,73.4742729725166,7.2875,70.85,69.80233135433338,-1,"{'0Normal': {'precision': 0.8925, 'recall': 0.8095238095238095, 'f1-score': 0.8489892984542212, 'support': 441.0}, 'DoS': {'precision': 0.995, 'recall': 0.8414376321353065, 'f1-score': 0.9117983963344788, 'support': 473.0}, 'MITM ARP Spoofing': {'precision': 0.395, 'recall': 0.6694915254237288, 'f1-score': 0.4968553459119497, 'support': 236.0}, 'Mirai': {'precision': 0.7525, 'recall': 0.4894308943089431, 'f1-score': 0.593103448275862, 'support': 615.0}, 'Scan': {'precision': 0.5075, 'recall': 0.8638297872340426, 'f1-score': 0.6393700787401575, 'support': 235.0}, 'accuracy': 0.7085, 'macro avg': {'precision': 0.7084999999999999, 'recall': 0.7347427297251661, 'f1-score': 0.6980233135433338, 'support': 2000.0}, 'weighted avg': {'precision': 0.76974875, 'recall': 0.7085, 'f1-score': 0.7189766864566661, 'support': 2000.0}}","[[357   2  28  28  26]
 [ 28 398  19  17  11]
 [  3   0 158  42  33]
 [  8   0 179 301 127]
 [  4   0  16  12 203]]",7.232036590576172,0.12687444686889648
6,IoTID20,0,poly,QuantileTransformer,HHH,0.5445558470325349,-1,-1,85.2,64.57070620515431,9.25,62.999999999999986,61.98031994788018,-1,"{'0Normal': {'precision': 0.845, 'recall': 0.6259259259259259, 'f1-score': 0.7191489361702128, 'support': 540.0}, 'DoS': {'precision': 0.935, 'recall': 0.82560706401766, 'f1-score': 0.876905041031653, 'support': 453.0}, 'MITM ARP Spoofing': {'precision': 0.4125, 'recall': 0.632183908045977, 'f1-score': 0.49924357034795763, 'support': 261.0}, 'Mirai': {'precision': 0.5325, 'recall': 0.4152046783625731, 'f1-score': 0.4665936473165389, 'support': 513.0}, 'Scan': {'precision': 0.425, 'recall': 0.7296137339055794, 'f1-score': 0.5371248025276462, 'support': 233.0}, 'accuracy': 0.63, 'macro avg': {'precision': 0.6299999999999999, 'recall': 0.645707062051543, 'f1-score': 0.6198031994788018, 'support': 2000.0}, 'weighted avg': {'precision': 0.6798575000000001, 'recall': 0.63, 'f1-score': 0.6401968005211983, 'support': 2000.0}}","[[338  19  48  79  56]
 [ 45 374  11  16   7]
 [ 10   2 165  52  32]
 [  6   3 156 213 135]
 [  1   2  20  40 170]]",7.687018394470215,0.17104315757751465
7,IoTID20,0,linear,QuantileTransformer,HHH,0.2820013215619191,-1,-1,76.25999999999999,44.20932836949173,14.8375,40.650000000000006,34.18824666443722,-1,"{'0Normal': {'precision': 0.065, 'recall': 0.7027027027027027, 'f1-score': 0.11899313501144165, 'support': 37.0}, 'DoS': {'precision': 0.825, 'recall': 0.6560636182902585, 'f1-score': 0.7308970099667774, 'support': 503.0}, 'MITM ARP Spoofing': {'precision': 0.53, 'recall': 0.24537037037037038, 'f1-score': 0.33544303797468356, 'support': 864.0}, 'Mirai': {'precision': 0.5975, 'recall': 0.42451154529307283, 'f1-score': 0.4963655244029076, 'support': 563.0}, 'Scan': {'precision': 0.015, 'recall': 0.18181818181818182, 'f1-score': 0.02771362586605081, 'support': 33.0}, 'accuracy': 0.4065, 'macro avg': {'precision': 0.40650000000000003, 'recall': 0.4420932836949173, 'f1-score': 0.3418824666443722, 'support': 2000.0}, 'weighted avg': {'precision': 0.60609375, 'recall': 0.4065, 'f1-score': 0.47111753335562784, 'support': 2000.0}}","[[ 26   5   0   5   1]
 [163 330   6   1   3]
 [203  64 212 129 256]
 [  8   1 181 239 134]
 [  0   0   1  26   6]]",0.00452423095703125,0.008559226989746094
8,IoTID20,0,sigmoid,QuantileTransformer,HHH,-0.025817952700871095,-1,-1,67.2,18.916379476399257,20.5,18.000000000000004,16.746796525205585,-1,"{'0Normal': {'precision': 0.2975, 'recall': 0.17761194029850746, 'f1-score': 0.22242990654205608, 'support': 670.0}, 'DoS': {'precision': 0.005, 'recall': 0.006211180124223602, 'f1-score': 0.00554016620498615, 'support': 322.0}, 'MITM ARP Spoofing': {'precision': 0.2475, 'recall': 0.17870036101083034, 'f1-score': 0.20754716981132076, 'support': 554.0}, 'Mirai': {'precision': 0.29, 'recall': 0.31955922865013775, 'f1-score': 0.3040629095674967, 'support': 363.0}, 'Scan': {'precision': 0.06, 'recall': 0.26373626373626374, 'f1-score': 0.09775967413441955, 'support': 91.0}, 'accuracy': 0.18, 'macro avg': {'precision': 0.18000000000000002, 'recall': 0.1891637947639926, 'f1-score': 0.16746796525205584, 'support': 2000.0}, 'weighted avg': {'precision': 0.22438999999999998, 'recall': 0.18, 'f1-score': 0.19253203474794414, 'support': 2000.0}}","[[119 392  34  82  43]
 [ 95   2  81  35 109]
 [163   3  99 146 143]
 [ 20   1 145 116  81]
 [  3   2  41  21  24]]",0.10715937614440918,0.027140140533447266
9,IoTID20,0,None,QuantileTransformer,HHH,0.23382733558075064,-1,-1,74.98,41.976363054275865,15.6375,37.45,32.86397122789933,-1,"{'0Normal': {'precision': 0.1175, 'recall': 0.8392857142857143, 'f1-score': 0.20614035087719298, 'support': 56.0}, 'DoS': {'precision': 0.855, 'recall': 0.6895161290322581, 'f1-score': 0.7633928571428571, 'support': 496.0}, 'MITM ARP Spoofing': {'precision': 0.4275, 'recall': 0.22323759791122716, 'f1-score': 0.2933104631217839, 'support': 766.0}, 'Mirai': {'precision': 0.465, 'recall': 0.30392156862745096, 'f1-score': 0.3675889328063241, 'support': 612.0}, 'Scan': {'precision': 0.0075, 'recall': 0.04285714285714286, 'f1-score': 0.01276595744680851, 'support': 70.0}, 'accuracy': 0.3745, 'macro avg': {'precision': 0.3745, 'recall': 0.41976363054275867, 'f1-score': 0.3286397122789933, 'support': 2000.0}, 'weighted avg': {'precision': 0.521615, 'recall': 0.3745, 'f1-score': 0.4203602877210067, 'support': 2000.0}}","[[ 47   4   0   4   1]
 [127 342   8  14   5]
 [195  52 171 131 217]
 [ 31   2 219 186 174]
 [  0   0   2  65   3]]",0.003779888153076172,0.007308244705200195
