Column1,Data Type,Poly,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
58,ToN_IoT,2,None,QuantileTransformer,LGBM,0.970791541,-1,-1,99.375,97.44791667,0.357142857,97.37891938,97.40386626,-1,"{'0Normal': {'precision': 0.9238095238095239, 'recall': 0.97, 'f1-score': 0.9463414634146342, 'support': 200.0}, 'BruteForce': {'precision': 0.9915966386554622, 'recall': 0.9833333333333333, 'f1-score': 0.9874476987447698, 'support': 120.0}, 'DDoS': {'precision': 0.97, 'recall': 0.97, 'f1-score': 0.97, 'support': 200.0}, 'DoS': {'precision': 0.9948717948717949, 'recall': 0.97, 'f1-score': 0.9822784810126582, 'support': 200.0}, 'MITM': {'precision': 0.9601990049751243, 'recall': 0.965, 'f1-score': 0.9625935162094762, 'support': 200.0}, 'Malware': {'precision': 0.9949622166246851, 'recall': 0.9875, 'f1-score': 0.9912170639899623, 'support': 400.0}, 'Scan': {'precision': 0.98, 'recall': 0.98, 'f1-score': 0.98, 'support': 200.0}, 'WebAttack': {'precision': 0.9748743718592965, 'recall': 0.97, 'f1-score': 0.9724310776942355, 'support': 400.0}, 'accuracy': 0.975, 'macro avg': {'precision': 0.9737891938494858, 'recall': 0.9744791666666666, 'f1-score': 0.9740386626332171, 'support': 1920.0}, 'weighted avg': {'precision': 0.975365779564342, 'recall': 0.975, 'f1-score': 0.9751019128387528, 'support': 1920.0}}","[[194   0   1   1   2   0   2   0]
 [  1 118   0   0   0   0   0   1]
 [  2   0 194   0   2   0   0   2]
 [  6   0   0 194   0   0   0   0]
 [  2   0   0   0 193   0   0   5]
 [  3   0   0   0   0 395   2   0]
 [  0   0   0   0   1   1 196   2]
 [  2   1   5   0   3   1   0 388]]",2.624518394,0.012068748
118,ToN_IoT,-1,None,QuantileTransformer,LGBM,0.969607019,-1,-1,99.34895833,97.45833333,0.37202381,97.18431229,97.30670461,-1,"{'0Normal': {'precision': 0.919431279620853, 'recall': 0.97, 'f1-score': 0.9440389294403893, 'support': 200.0}, 'BruteForce': {'precision': 0.9916666666666667, 'recall': 0.9916666666666667, 'f1-score': 0.9916666666666667, 'support': 120.0}, 'DDoS': {'precision': 0.9601990049751243, 'recall': 0.965, 'f1-score': 0.9625935162094762, 'support': 200.0}, 'DoS': {'precision': 1.0, 'recall': 0.97, 'f1-score': 0.9847715736040609, 'support': 200.0}, 'MITM': {'precision': 0.946078431372549, 'recall': 0.965, 'f1-score': 0.9554455445544553, 'support': 200.0}, 'Malware': {'precision': 0.9849624060150376, 'recall': 0.9825, 'f1-score': 0.983729662077597, 'support': 400.0}, 'Scan': {'precision': 0.9800995024875622, 'recall': 0.985, 'f1-score': 0.9825436408977556, 'support': 200.0}, 'WebAttack': {'precision': 0.9923076923076923, 'recall': 0.9675, 'f1-score': 0.979746835443038, 'support': 400.0}, 'accuracy': 0.9739583333333334, 'macro avg': {'precision': 0.9718431229306856, 'recall': 0.9745833333333334, 'f1-score': 0.9730670461116799, 'support': 1920.0}, 'weighted avg': {'precision': 0.9745154599064113, 'recall': 0.9739583333333334, 'f1-score': 0.9740985624736883, 'support': 1920.0}}","[[194   0   2   0   3   0   1   0]
 [  1 119   0   0   0   0   0   0]
 [  2   0 193   0   0   4   0   1]
 [  6   0   0 194   0   0   0   0]
 [  5   0   1   0 193   0   0   1]
 [  3   0   0   0   2 393   2   0]
 [  0   0   0   0   1   1 197   1]
 [  0   1   5   0   5   1   1 387]]",1.77563715,0.012334585
126,ToN_IoT,-1,None,QuantileTransformer,LGBM,0.969607019,-1,-1,99.34895833,97.45833333,0.37202381,97.18431229,97.30670461,-1,"{'0Normal': {'precision': 0.919431279620853, 'recall': 0.97, 'f1-score': 0.9440389294403893, 'support': 200.0}, 'BruteForce': {'precision': 0.9916666666666667, 'recall': 0.9916666666666667, 'f1-score': 0.9916666666666667, 'support': 120.0}, 'DDoS': {'precision': 0.9601990049751243, 'recall': 0.965, 'f1-score': 0.9625935162094762, 'support': 200.0}, 'DoS': {'precision': 1.0, 'recall': 0.97, 'f1-score': 0.9847715736040609, 'support': 200.0}, 'MITM': {'precision': 0.946078431372549, 'recall': 0.965, 'f1-score': 0.9554455445544553, 'support': 200.0}, 'Malware': {'precision': 0.9849624060150376, 'recall': 0.9825, 'f1-score': 0.983729662077597, 'support': 400.0}, 'Scan': {'precision': 0.9800995024875622, 'recall': 0.985, 'f1-score': 0.9825436408977556, 'support': 200.0}, 'WebAttack': {'precision': 0.9923076923076923, 'recall': 0.9675, 'f1-score': 0.979746835443038, 'support': 400.0}, 'accuracy': 0.9739583333333334, 'macro avg': {'precision': 0.9718431229306856, 'recall': 0.9745833333333334, 'f1-score': 0.9730670461116799, 'support': 1920.0}, 'weighted avg': {'precision': 0.9745154599064113, 'recall': 0.9739583333333334, 'f1-score': 0.9740985624736883, 'support': 1920.0}}","[[194   0   2   0   3   0   1   0]
 [  1 119   0   0   0   0   0   0]
 [  2   0 193   0   0   4   0   1]
 [  6   0   0 194   0   0   0   0]
 [  5   0   1   0 193   0   0   1]
 [  3   0   0   0   2 393   2   0]
 [  0   0   0   0   1   1 197   1]
 [  0   1   5   0   5   1   1 387]]",1.735472679,0.011420727
134,ToN_IoT,-1,None,QuantileTransformer,LGBM,0.969607019,-1,-1,99.34895833,97.45833333,0.37202381,97.18431229,97.30670461,-1,"{'0Normal': {'precision': 0.919431279620853, 'recall': 0.97, 'f1-score': 0.9440389294403893, 'support': 200.0}, 'BruteForce': {'precision': 0.9916666666666667, 'recall': 0.9916666666666667, 'f1-score': 0.9916666666666667, 'support': 120.0}, 'DDoS': {'precision': 0.9601990049751243, 'recall': 0.965, 'f1-score': 0.9625935162094762, 'support': 200.0}, 'DoS': {'precision': 1.0, 'recall': 0.97, 'f1-score': 0.9847715736040609, 'support': 200.0}, 'MITM': {'precision': 0.946078431372549, 'recall': 0.965, 'f1-score': 0.9554455445544553, 'support': 200.0}, 'Malware': {'precision': 0.9849624060150376, 'recall': 0.9825, 'f1-score': 0.983729662077597, 'support': 400.0}, 'Scan': {'precision': 0.9800995024875622, 'recall': 0.985, 'f1-score': 0.9825436408977556, 'support': 200.0}, 'WebAttack': {'precision': 0.9923076923076923, 'recall': 0.9675, 'f1-score': 0.979746835443038, 'support': 400.0}, 'accuracy': 0.9739583333333334, 'macro avg': {'precision': 0.9718431229306856, 'recall': 0.9745833333333334, 'f1-score': 0.9730670461116799, 'support': 1920.0}, 'weighted avg': {'precision': 0.9745154599064113, 'recall': 0.9739583333333334, 'f1-score': 0.9740985624736883, 'support': 1920.0}}","[[194   0   2   0   3   0   1   0]
 [  1 119   0   0   0   0   0   0]
 [  2   0 193   0   0   4   0   1]
 [  6   0   0 194   0   0   0   0]
 [  5   0   1   0 193   0   0   1]
 [  3   0   0   0   2 393   2   0]
 [  0   0   0   0   1   1 197   1]
 [  0   1   5   0   5   1   1 387]]",1.786009073,0.013130426
142,ToN_IoT,-1,None,QuantileTransformer,LGBM,0.969607019,-1,-1,99.34895833,97.45833333,0.37202381,97.18431229,97.30670461,-1,"{'0Normal': {'precision': 0.919431279620853, 'recall': 0.97, 'f1-score': 0.9440389294403893, 'support': 200.0}, 'BruteForce': {'precision': 0.9916666666666667, 'recall': 0.9916666666666667, 'f1-score': 0.9916666666666667, 'support': 120.0}, 'DDoS': {'precision': 0.9601990049751243, 'recall': 0.965, 'f1-score': 0.9625935162094762, 'support': 200.0}, 'DoS': {'precision': 1.0, 'recall': 0.97, 'f1-score': 0.9847715736040609, 'support': 200.0}, 'MITM': {'precision': 0.946078431372549, 'recall': 0.965, 'f1-score': 0.9554455445544553, 'support': 200.0}, 'Malware': {'precision': 0.9849624060150376, 'recall': 0.9825, 'f1-score': 0.983729662077597, 'support': 400.0}, 'Scan': {'precision': 0.9800995024875622, 'recall': 0.985, 'f1-score': 0.9825436408977556, 'support': 200.0}, 'WebAttack': {'precision': 0.9923076923076923, 'recall': 0.9675, 'f1-score': 0.979746835443038, 'support': 400.0}, 'accuracy': 0.9739583333333334, 'macro avg': {'precision': 0.9718431229306856, 'recall': 0.9745833333333334, 'f1-score': 0.9730670461116799, 'support': 1920.0}, 'weighted avg': {'precision': 0.9745154599064113, 'recall': 0.9739583333333334, 'f1-score': 0.9740985624736883, 'support': 1920.0}}","[[194   0   2   0   3   0   1   0]
 [  1 119   0   0   0   0   0   0]
 [  2   0 193   0   0   4   0   1]
 [  6   0   0 194   0   0   0   0]
 [  5   0   1   0 193   0   0   1]
 [  3   0   0   0   2 393   2   0]
 [  0   0   0   0   1   1 197   1]
 [  0   1   5   0   5   1   1 387]]",1.742114782,0.011871099
150,ToN_IoT,-1,None,QuantileTransformer,LGBM,0.969607019,-1,-1,99.34895833,97.45833333,0.37202381,97.18431229,97.30670461,-1,"{'0Normal': {'precision': 0.919431279620853, 'recall': 0.97, 'f1-score': 0.9440389294403893, 'support': 200.0}, 'BruteForce': {'precision': 0.9916666666666667, 'recall': 0.9916666666666667, 'f1-score': 0.9916666666666667, 'support': 120.0}, 'DDoS': {'precision': 0.9601990049751243, 'recall': 0.965, 'f1-score': 0.9625935162094762, 'support': 200.0}, 'DoS': {'precision': 1.0, 'recall': 0.97, 'f1-score': 0.9847715736040609, 'support': 200.0}, 'MITM': {'precision': 0.946078431372549, 'recall': 0.965, 'f1-score': 0.9554455445544553, 'support': 200.0}, 'Malware': {'precision': 0.9849624060150376, 'recall': 0.9825, 'f1-score': 0.983729662077597, 'support': 400.0}, 'Scan': {'precision': 0.9800995024875622, 'recall': 0.985, 'f1-score': 0.9825436408977556, 'support': 200.0}, 'WebAttack': {'precision': 0.9923076923076923, 'recall': 0.9675, 'f1-score': 0.979746835443038, 'support': 400.0}, 'accuracy': 0.9739583333333334, 'macro avg': {'precision': 0.9718431229306856, 'recall': 0.9745833333333334, 'f1-score': 0.9730670461116799, 'support': 1920.0}, 'weighted avg': {'precision': 0.9745154599064113, 'recall': 0.9739583333333334, 'f1-score': 0.9740985624736883, 'support': 1920.0}}","[[194   0   2   0   3   0   1   0]
 [  1 119   0   0   0   0   0   0]
 [  2   0 193   0   0   4   0   1]
 [  6   0   0 194   0   0   0   0]
 [  5   0   1   0 193   0   0   1]
 [  3   0   0   0   2 393   2   0]
 [  0   0   0   0   1   1 197   1]
 [  0   1   5   0   5   1   1 387]]",1.552872658,0.01167345
119,ToN_IoT,-1,None,QuantileTransformer,RF,0.969567906,-1,-1,99.34895833,96.98958333,0.37202381,97.48454317,97.21470069,-1,"{'0Normal': {'precision': 0.9282296650717703, 'recall': 0.97, 'f1-score': 0.9486552567237163, 'support': 200.0}, 'BruteForce': {'precision': 1.0, 'recall': 0.9416666666666667, 'f1-score': 0.9699570815450643, 'support': 120.0}, 'DDoS': {'precision': 0.9695431472081218, 'recall': 0.955, 'f1-score': 0.9622166246851385, 'support': 200.0}, 'DoS': {'precision': 1.0, 'recall': 0.97, 'f1-score': 0.9847715736040609, 'support': 200.0}, 'MITM': {'precision': 0.9605911330049262, 'recall': 0.975, 'f1-score': 0.9677419354838709, 'support': 200.0}, 'Malware': {'precision': 0.9705882352941176, 'recall': 0.99, 'f1-score': 0.9801980198019802, 'support': 400.0}, 'Scan': {'precision': 0.9849246231155779, 'recall': 0.98, 'f1-score': 0.9824561403508771, 'support': 200.0}, 'WebAttack': {'precision': 0.9848866498740554, 'recall': 0.9775, 'f1-score': 0.9811794228356336, 'support': 400.0}, 'accuracy': 0.9739583333333334, 'macro avg': {'precision': 0.9748454316960712, 'recall': 0.9698958333333333, 'f1-score': 0.9721470068787927, 'support': 1920.0}, 'weighted avg': {'precision': 0.974399826951744, 'recall': 0.9739583333333334, 'f1-score': 0.9740177776093676, 'support': 1920.0}}","[[194   0   2   0   3   0   1   0]
 [  1 113   0   0   0   6   0   0]
 [  2   0 191   0   1   4   0   2]
 [  6   0   0 194   0   0   0   0]
 [  3   0   0   0 195   0   0   2]
 [  2   0   0   0   0 396   2   0]
 [  0   0   0   0   1   1 196   2]
 [  1   0   4   0   3   1   0 391]]",0.394942522,0.014745235
127,ToN_IoT,-1,None,QuantileTransformer,RF,0.969567906,-1,-1,99.34895833,96.98958333,0.37202381,97.48454317,97.21470069,-1,"{'0Normal': {'precision': 0.9282296650717703, 'recall': 0.97, 'f1-score': 0.9486552567237163, 'support': 200.0}, 'BruteForce': {'precision': 1.0, 'recall': 0.9416666666666667, 'f1-score': 0.9699570815450643, 'support': 120.0}, 'DDoS': {'precision': 0.9695431472081218, 'recall': 0.955, 'f1-score': 0.9622166246851385, 'support': 200.0}, 'DoS': {'precision': 1.0, 'recall': 0.97, 'f1-score': 0.9847715736040609, 'support': 200.0}, 'MITM': {'precision': 0.9605911330049262, 'recall': 0.975, 'f1-score': 0.9677419354838709, 'support': 200.0}, 'Malware': {'precision': 0.9705882352941176, 'recall': 0.99, 'f1-score': 0.9801980198019802, 'support': 400.0}, 'Scan': {'precision': 0.9849246231155779, 'recall': 0.98, 'f1-score': 0.9824561403508771, 'support': 200.0}, 'WebAttack': {'precision': 0.9848866498740554, 'recall': 0.9775, 'f1-score': 0.9811794228356336, 'support': 400.0}, 'accuracy': 0.9739583333333334, 'macro avg': {'precision': 0.9748454316960712, 'recall': 0.9698958333333333, 'f1-score': 0.9721470068787927, 'support': 1920.0}, 'weighted avg': {'precision': 0.974399826951744, 'recall': 0.9739583333333334, 'f1-score': 0.9740177776093676, 'support': 1920.0}}","[[194   0   2   0   3   0   1   0]
 [  1 113   0   0   0   6   0   0]
 [  2   0 191   0   1   4   0   2]
 [  6   0   0 194   0   0   0   0]
 [  3   0   0   0 195   0   0   2]
 [  2   0   0   0   0 396   2   0]
 [  0   0   0   0   1   1 196   2]
 [  1   0   4   0   3   1   0 391]]",0.357081175,0.013855696
135,ToN_IoT,-1,None,QuantileTransformer,RF,0.969567906,-1,-1,99.34895833,96.98958333,0.37202381,97.48454317,97.21470069,-1,"{'0Normal': {'precision': 0.9282296650717703, 'recall': 0.97, 'f1-score': 0.9486552567237163, 'support': 200.0}, 'BruteForce': {'precision': 1.0, 'recall': 0.9416666666666667, 'f1-score': 0.9699570815450643, 'support': 120.0}, 'DDoS': {'precision': 0.9695431472081218, 'recall': 0.955, 'f1-score': 0.9622166246851385, 'support': 200.0}, 'DoS': {'precision': 1.0, 'recall': 0.97, 'f1-score': 0.9847715736040609, 'support': 200.0}, 'MITM': {'precision': 0.9605911330049262, 'recall': 0.975, 'f1-score': 0.9677419354838709, 'support': 200.0}, 'Malware': {'precision': 0.9705882352941176, 'recall': 0.99, 'f1-score': 0.9801980198019802, 'support': 400.0}, 'Scan': {'precision': 0.9849246231155779, 'recall': 0.98, 'f1-score': 0.9824561403508771, 'support': 200.0}, 'WebAttack': {'precision': 0.9848866498740554, 'recall': 0.9775, 'f1-score': 0.9811794228356336, 'support': 400.0}, 'accuracy': 0.9739583333333334, 'macro avg': {'precision': 0.9748454316960712, 'recall': 0.9698958333333333, 'f1-score': 0.9721470068787927, 'support': 1920.0}, 'weighted avg': {'precision': 0.974399826951744, 'recall': 0.9739583333333334, 'f1-score': 0.9740177776093676, 'support': 1920.0}}","[[194   0   2   0   3   0   1   0]
 [  1 113   0   0   0   6   0   0]
 [  2   0 191   0   1   4   0   2]
 [  6   0   0 194   0   0   0   0]
 [  3   0   0   0 195   0   0   2]
 [  2   0   0   0   0 396   2   0]
 [  0   0   0   0   1   1 196   2]
 [  1   0   4   0   3   1   0 391]]",0.395204782,0.014283895
143,ToN_IoT,-1,None,QuantileTransformer,RF,0.969567906,-1,-1,99.34895833,96.98958333,0.37202381,97.48454317,97.21470069,-1,"{'0Normal': {'precision': 0.9282296650717703, 'recall': 0.97, 'f1-score': 0.9486552567237163, 'support': 200.0}, 'BruteForce': {'precision': 1.0, 'recall': 0.9416666666666667, 'f1-score': 0.9699570815450643, 'support': 120.0}, 'DDoS': {'precision': 0.9695431472081218, 'recall': 0.955, 'f1-score': 0.9622166246851385, 'support': 200.0}, 'DoS': {'precision': 1.0, 'recall': 0.97, 'f1-score': 0.9847715736040609, 'support': 200.0}, 'MITM': {'precision': 0.9605911330049262, 'recall': 0.975, 'f1-score': 0.9677419354838709, 'support': 200.0}, 'Malware': {'precision': 0.9705882352941176, 'recall': 0.99, 'f1-score': 0.9801980198019802, 'support': 400.0}, 'Scan': {'precision': 0.9849246231155779, 'recall': 0.98, 'f1-score': 0.9824561403508771, 'support': 200.0}, 'WebAttack': {'precision': 0.9848866498740554, 'recall': 0.9775, 'f1-score': 0.9811794228356336, 'support': 400.0}, 'accuracy': 0.9739583333333334, 'macro avg': {'precision': 0.9748454316960712, 'recall': 0.9698958333333333, 'f1-score': 0.9721470068787927, 'support': 1920.0}, 'weighted avg': {'precision': 0.974399826951744, 'recall': 0.9739583333333334, 'f1-score': 0.9740177776093676, 'support': 1920.0}}","[[194   0   2   0   3   0   1   0]
 [  1 113   0   0   0   6   0   0]
 [  2   0 191   0   1   4   0   2]
 [  6   0   0 194   0   0   0   0]
 [  3   0   0   0 195   0   0   2]
 [  2   0   0   0   0 396   2   0]
 [  0   0   0   0   1   1 196   2]
 [  1   0   4   0   3   1   0 391]]",0.406129122,0.016030312
