"Seed","Input Model","Data Type","Poly","Kernel","SCALER","Model","MCC","NDR","AUC_N","ACC","TPR Macro","FPR","PPV Macro","F1 Macro","AUC","CLS Report","CFS Matrix","Training time","Test time"
"42","GauNB","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","GauNB","0.8571289267310971","-1","-1","97.11111111111111","87.0","1.625","88.54031291919492","86.33867452371798","-1.0","","[[ 85   0   0   0   0   0   0 101  14]
 [  2 132   0   0   0  66   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   2   0 198   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  1  13   0   0   0 186   0   0   0]
 [  2   0   0   0   0   0 198   0   0]
 [  0   0   0   0   0   0   0 175  25]
 [  8   0   0   0   0   0   0   0 192]]","0.0040018558502197266","0.0029993057250976562"
"43","GauNB","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","GauNB","0.8638457754820584","-1","-1","97.23456790123457","87.55555555555556","1.5555555555555556","89.58183124058482","86.88730573242654","-1.0","","[[ 89   0   0   0   0   0   0  97  14]
 [  0 126   0   0   0  74   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   0   0 200   0   0   0   0   0]
 [  1   0   0   0 199   0   0   0   0]
 [  0   9   0   0   0 191   0   0   0]
 [  1   0   0   0   0   0 199   0   0]
 [  0   0   0   0   0   0   0 178  22]
 [  6   0   0   0   0   0   0   0 194]]","0.004999637603759766","0.0020003318786621094"
"44","GauNB","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","GauNB","0.8572021789843483","-1","-1","97.12345679012346","87.05555555555556","1.6180555555555556","88.40011682049463","86.50297339217704","-1.0","","[[ 92   0   0   0   0   0   0  90  18]
 [  2 134   0   0   0  64   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  3   0   0 197   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0  16   0   0   0 184   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 168  32]
 [  8   0   0   0   0   0   0   0 192]]","0.003999948501586914","0.002998828887939453"
"42","GauNB","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","GauNB","0.9074447309414985","-1","-1","97.44729907773386","90.3809523809524","1.5316205533596838","90.93901092579813","90.540892509723","-1.0","","[[132   3   1  64   0   0]
 [ 18 382   0   0   0   0]
 [  2   7 390   0   1   0]
 [  9   0   0 391   0   0]
 [ 36   4   0   0 360   0]
 [ 10   0   0   0   0 214]]","0.00400090217590332","0.0020003318786621094"
"43","GauNB","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","GauNB","0.888886489019642","-1","-1","96.92028985507247","89.41369047619047","1.8478260869565217","89.63641281421963","89.25618237288185","-1.0","","[[140  10   0  50   0   0]
 [ 20 380   0   0   0   0]
 [ 32   7 358   0   3   0]
 [  5   0   0 395   0   0]
 [ 41   7   3   0 349   0]
 [  8   1   0   0   0 215]]","0.004998922348022461","0.0019998550415039062"
"44","GauNB","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","GauNB","0.8946938443688289","-1","-1","97.08498023715416","89.72321428571428","1.7490118577075098","90.05583709736534","89.66209093160266","-1.0","","[[139   4   0  57   0   0]
 [ 21 379   0   0   0   0]
 [ 29   7 361   0   3   0]
 [  9   0   0 391   0   0]
 [ 34   2   0   0 364   0]
 [ 10   1   0   0   0 213]]","0.004003047943115234","0.0019960403442382812"
"42","GauNB","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","GauNB","0.7560008422554054","-1","-1","94.0","75.26666666666667","3.5999999999999996","74.95307643123361","72.07641539187257","-1.0","","[[ 30   0   0   0 101  69]
 [  0 921   0   0   2  77]
 [  0   0 196   3   1   0]
 [ 10   1   0 184   3   2]
 [  8   0   0   0 156  36]
 [  7   0   0   0  40 153]]","0.006003141403198242","0.0019960403442382812"
"43","GauNB","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","GauNB","0.7686239900490891","-1","-1","94.35","76.21666666666668","3.39","79.0941275500099","74.63067948460451","-1.0","","[[159   0   0   0   3  38]
 [  0 933   0   3   1  63]
 [  0   0 196   2   2   0]
 [ 17   0   0 182   1   0]
 [102   0   0   0  59  39]
 [ 62   0   0   0   6 132]]","0.006999969482421875","0.0019998550415039062"
"44","GauNB","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","GauNB","0.7853962732106924","-1","-1","94.78333333333333","77.38333333333333","3.1300000000000003","81.17763324110885","76.0489453818006","-1.0","","[[158   0   0   0   1  41]
 [  0 948   0   0   0  52]
 [  0   0 194   4   1   1]
 [ 17   1   0 180   1   1]
 [100   0   0   0  62  38]
 [ 50   0   0   0   5 145]]","0.006000995635986328","0.0030002593994140625"
"42","GauNB","Edge_IIoTset_1000","-1","l05_exponential_kernel","QuantileTransformer","GauNB","0.43807614430844244","-1","-1","92.67555555555556","45.06666666666666","3.923809523809524","42.604598949464254","38.59871255740938","-1.0","","[[ 47 106  12   0   0   0   0   0   0  20   0  15   0   0   0]
 [  0 178   6   0   7   0   0   6   0   3   0   0   0   0   0]
 [  0 130  52   0   0   0   0   0   0   4   0   5   0   9   0]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   2   0   0 198   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [  0   3   0  31  26   0  76  16   0  48   0   0   0   0   0]
 [  0   0   0   0   0   0   0 200   0   0   0   0   0   0   0]
 [  0 107  19   0   0   0   0   0   0   1   0  33   0  40   0]
 [  0   0   0   0 181   0   0   5   0  14   0   0   0   0   0]
 [  0 150  11   0  11   0   0  18   0  10   0   0   0   0   0]
 [  0 124  16   0   0   0   0   0   0   4   0  17   0  39   0]
 [  0 115  34   0  14   0   0   0   0   6   0  17   0  14   0]
 [  0  25   4   0   0   0   0   0   0   1   0   0   0 170   0]
 [  0 100  17   0   0   0   0  12   0   4   0  32   0  35   0]]","0.007001399993896484","0.006999015808105469"
"43","GauNB","Edge_IIoTset_1000","-1","l05_exponential_kernel","QuantileTransformer","GauNB","0.4411371033817792","-1","-1","92.73333333333333","45.5","3.8928571428571432","40.42483972704396","38.13037598468618","-1.0","","[[ 35 110  12   0   0   0   0   1   0  18   0  24   0   0   0]
 [  0 183   7   0   5   0   1   4   0   0   0   0   0   0   0]
 [  0 123  60   0   0   0   0   0   0   2   0   3   0  12   0]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [  0   0   0  31  36   0  95  17   0  21   0   0   0   0   0]
 [  0   0   0   0   0   0   0 200   0   0   0   0   0   0   0]
 [  0 109  16   0   0   0   0   0   0   2   0  40   0  33   0]
 [  0   0   0   0 177   0  17   6   0   0   0   0   0   0   0]
 [  0 149  18   0   6   0   9  18   0   0   0   0   0   0   0]
 [  0 113  13   0   0   0   0   0   0   8   0  19   0  47   0]
 [  0  86  49   0  19   0   0   0   0   7   0  28   0  11   0]
 [  0  20   3   0   0   0   0   0   0   3   0   1   0 173   0]
 [  0 107  14   0   0   0   1  10   0   8   0  31   0  29   0]]","0.007001399993896484","0.00899815559387207"
"44","GauNB","Edge_IIoTset_1000","-1","l05_exponential_kernel","QuantileTransformer","GauNB","0.417772383073369","-1","-1","92.43111111111111","43.23333333333333","4.054761904761905","39.96036530191026","36.146876339350136","-1.0","","[[ 40 113   0   0   0   0   0   1   0  34   0  12   0   0   0]
 [  0 185   0   0   3   0   0   6   0   6   0   0   0   0   0]
 [  0 115   0   0   0   0   0   0   0  69   0   7   0   8   1]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   6   0   0 194   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [  0   3   0  31  30   0  75  19   0  42   0   0   0   0   0]
 [  0   0   0   0   0   0   0 200   0   0   0   0   0   0   0]
 [  0 118   0   0   0   0   0   0   0  18   0  36   0  28   0]
 [  0   0   0   0 184   0   0   7   0   9   0   0   0   0   0]
 [  0 159   0   0  10   0   0  12   0  19   0   0   0   0   0]
 [  0 116   0   0   0   0   0   0   0  17   0  17   0  50   0]
 [  0  93   0   0  21   0   0   0   0  44   0  28   0  14   0]
 [  0  17   0   0   0   0   0   0   0   4   0   2   0 177   0]
 [  0 103   0   0   0   0   0  13   0  22   0  31   0  31   0]]","0.006999492645263672","0.006094455718994141"
"42","GauNB","IoTID20_2000","-1","l05_exponential_kernel","QuantileTransformer","GauNB","0.5369407646022681","-1","-1","82.5","56.25","10.9375","75.08314679631859","53.3760345586795","-1.0","","[[105   0   1   2 292]
 [  1 392   0   6   1]
 [  0   0  21   2 377]
 [  1   0  10 221 168]
 [  0   0   8   6 386]]","0.0060002803802490234","0.008362770080566406"
