"Seed","Input Model","Data Type","Poly","Kernel","SCALER","Model","MCC","NDR","AUC_N","ACC","TPR Macro","FPR","PPV Macro","F1 Macro","AUC","CLS Report","CFS Matrix","Training time","Test time"
"42","KNFST","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","KNFST","0.9894162265350097","-1","-1","99.79012345679013","99.05555555555556","0.11805555555555555","99.09446589219613","99.05895758496838","-1.0","","[[200   0   0   0   0   0   0   0   0]
 [  0 200   0   0   0   0   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  2   0   0 198   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  1   5   0   0   0 194   0   0   0]
 [  1   0   1   0   0   0 198   0   0]
 [  0   0   0   0   0   0   0 200   0]
 [  7   0   0   0   0   0   0   0 193]]","1793.6146574020386","6.549535512924194"
"43","KNFST","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","KNFST","0.9937710488458251","-1","-1","99.87654320987654","99.44444444444446","0.06944444444444445","99.4662519407217","99.44719839317594","-1.0","","[[200   0   0   0   0   0   0   0   0]
 [  0 200   0   0   0   0   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   0   0 200   0   0   0   0   0]
 [  1   0   0   0 199   0   0   0   0]
 [  0   1   0   0   0 199   0   0   0]
 [  1   0   0   0   0   0 199   0   0]
 [  1   0   0   0   0   0   0 199   0]
 [  6   0   0   0   0   0   0   0 194]]","323.1163065433502","6.357893466949463"
"44","KNFST","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","KNFST","0.9937720840694716","-1","-1","99.87654320987654","99.44444444444446","0.06944444444444445","99.4662519407217","99.44677752572602","-1.0","","[[200   0   0   0   0   0   0   0   0]
 [  0 200   0   0   0   0   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  3   0   0 197   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   1   0   0   0 199   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 200   0]
 [  6   0   0   0   0   0   0   0 194]]","320.40299940109253","6.435647487640381"
"42","KNFST","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","KNFST","0.9952026211387462","-1","-1","99.86824769433466","99.5684523809524","0.07905138339920949","99.39483015488653","99.47557133721465","-1.0","","[[200   0   0   0   0   0]
 [  1 399   0   0   0   0]
 [  0   0 400   0   0   0]
 [  0   0   0 400   0   0]
 [  3   0   1   0 396   0]
 [  3   0   0   0   0 221]]","274.3195698261261","2.224846124649048"
"43","KNFST","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","KNFST","0.989836378931998","-1","-1","99.72002635046113","99.1190476190476","0.16798418972332016","98.68427514118349","98.87726160016453","-1.0","","[[199   0   0   0   0   1]
 [  2 398   0   0   0   0]
 [  0   0 400   0   0   0]
 [  0   0   0 400   0   0]
 [ 10   0   0   0 390   0]
 [  4   0   0   0   0 220]]","270.2802383899689","2.210130453109741"
"44","KNFST","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","KNFST","0.997598778403156","-1","-1","99.93412384716733","99.80059523809524","0.039525691699604744","99.67320261437908","99.73506738859894","-1.0","","[[200   0   0   0   0   0]
 [  1 399   0   0   0   0]
 [  0   0 400   0   0   0]
 [  0   0   0 400   0   0]
 [  2   0   0   0 398   0]
 [  1   0   0   0   0 223]]","268.10155034065247","2.2103617191314697"
"42","KNFST","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","KNFST","0.9671970907859692","-1","-1","99.23333333333333","96.16666666666666","0.45999999999999996","96.18308228443038","96.14397350944904","-1.0","","[[ 187    0    0    0    8    5]
 [   0 1000    0    0    0    0]
 [   0    0  199    1    0    0]
 [   0    0    0  200    0    0]
 [  15    0    0    0  174   11]
 [   2    0    0    0    4  194]]","283.51307940483093","4.434816122055054"
"43","KNFST","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","KNFST","0.9614835573446057","-1","-1","99.1","95.56666666666666","0.54","95.51239367401708","95.51476426833014","-1.0","","[[185   0   0   0  11   4]
 [  0 999   0   1   0   0]
 [  0   0 200   0   0   0]
 [  0   0   0 200   0   0]
 [ 15   0   0   0 172  13]
 [  6   0   0   0   4 190]]","279.865754365921","4.3797008991241455"
"44","KNFST","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","KNFST","0.9686534216348274","-1","-1","99.26666666666667","96.33333333333333","0.44","96.39926778069035","96.31926477913218","-1.0","","[[ 193    0    0    0    3    4]
 [   0 1000    0    0    0    0]
 [   0    0  200    0    0    0]
 [   0    0    0  200    0    0]
 [  13    0    0    0  175   12]
 [   7    0    0    0    5  188]]","285.5103762149811","4.490133285522461"
"42","KNFST","Edge_IIoTset_1000","-1","l05_exponential_kernel","QuantileTransformer","KNFST","0.5134632242816652","-1","-1","93.80444444444444","53.53333333333333","3.3190476190476192","51.18996660348174","50.827344091630025","-1.0","","[[ 83  12   0   0   0   0  11  17  69   4   0   0   1   0   3]
 [ 73   2   0   0   0   0  12  19  87   3   0   0   0   0   4]
 [  6   0 162   0   0   0   0  12   7   0   0  11   1   0   1]
 [  0   0   0 199   0   0   0   0   0   1   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [ 16   1   0   0   0   0  22  27  67  59   0   0   3   0   5]
 [ 22   9   0   0   0   0   2 134  30   0   3   0   0   0   0]
 [ 55   5  16   0   0   0   6  17  86   4   0   9   1   0   1]
 [ 65   2   0   0   0   0  24  12  92   0   0   0   0   0   5]
 [ 57   5   0   0   0   0  20  34  73   4   0   0   1   0   6]
 [  1   0  18   0   0   0   0   9  11   0   0 159   2   0   0]
 [  2   2   7   0   0   0   0  12   9   0   0   3 164   0   1]
 [  0   0   3   0   0   0   0   1   3   0   0   1   1 191   0]
 [ 63   1  11   0   0   0   1  34  79   2   0   3   2   0   4]]","1285.2171969413757","9.468088388442993"
