"Seed","Input Model","Data Type","Poly","Kernel","SCALER","Model","MCC","NDR","AUC_N","ACC","TPR Macro","FPR","PPV Macro","F1 Macro","AUC","CLS Report","CFS Matrix","Training time","Test time"
"42","LDA","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","LDA","0.908881028722923","-1","-1","98.1358024691358","91.61111111111111","1.0486111111111112","93.50627482918692","91.20096346111514","-1.0","","[[ 98   1   0   0   0   0   0 100   1]
 [  0 196   0   0   0   4   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   0   0 178  22   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0  14   0   0   0 185   1   0   0]
 [  0   0   1   1   0   0 198   0   0]
 [  0   0   0   0   0   0   0 196   4]
 [  1   0   1   0   0   0   0   0 198]]","0.029171228408813477","0.0"
"43","LDA","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","LDA","0.9119853704452718","-1","-1","98.19753086419753","91.88888888888889","1.0138888888888888","93.69140592819498","91.42986179103248","-1.0","","[[ 96   1   0   2   0   1   0  99   1]
 [  0 200   0   0   0   0   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   0   0 175  25   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   9   0   0   0 191   0   0   0]
 [  1   0   0   0   0   0 199   0   0]
 [  1   0   0   0   0   0   0 194   5]
 [  0   0   1   0   0   0   0   0 199]]","0.02099919319152832","0.0"
"44","LDA","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","LDA","0.906590694293155","-1","-1","98.09876543209877","91.44444444444443","1.0694444444444444","93.00516802798592","91.04879708666564","-1.0","","[[101   0   0   0   0   5   0  94   0]
 [  0 196   0   0   0   4   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  3   0   0 174  23   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0  15   0   0   0 185   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 193   7]
 [  1   0   1   0   1   0   0   0 197]]","0.020999670028686523","0.0009996891021728516"
"42","LDA","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","LDA","0.968151842266374","-1","-1","99.12714097496706","97.00000000000001","0.5237154150197628","97.18867619305871","97.08784078416312","-1.0","","[[181   3   2   6   8   0]
 [ 10 388   1   0   1   0]
 [  0   2 396   0   2   0]
 [  0   0   4 396   0   0]
 [  4   1   7   2 386   0]
 [  0   0   0   0   0 224]]","0.06299948692321777","0.0"
"43","LDA","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","LDA","0.963929127680714","-1","-1","99.01185770750988","96.68452380952381","0.592885375494071","96.98158854732196","96.82580793833421","-1.0","","[[182   5   2   6   4   1]
 [  6 388   1   0   5   0]
 [  0   3 390   0   7   0]
 [  0   0   0 400   0   0]
 [  4   2   9   3 382   0]
 [  1   1   0   0   0 222]]","0.01399993896484375","0.0"
"44","LDA","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","LDA","0.9675542948206349","-1","-1","99.1106719367589","96.95833333333333","0.5335968379446641","97.07719632537885","97.01180210726264","-1.0","","[[181   5   2   3   8   1]
 [ 13 384   2   0   1   0]
 [  0   2 390   0   8   0]
 [  0   0   1 399   0   0]
 [  2   0   5   1 392   0]
 [  0   0   0   0   0 224]]","0.013000249862670898","0.0009996891021728516"
"42","LDA","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","LDA","0.8396691584927405","-1","-1","96.21666666666667","81.35","2.27","83.23460624828928","81.13118775845503","-1.0","","[[155   4   0   6  21  14]
 [  0 996   4   0   0   0]
 [  0   1 198   1   0   0]
 [  0   0   2 197   0   1]
 [ 81  10   3   5  90  11]
 [ 46   0   0  10   7 137]]","0.04599881172180176","0.0"
"43","LDA","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","LDA","0.8510415831313805","-1","-1","96.51666666666667","83.05","2.09","83.39168524894407","82.93412083345713","-1.0","","[[140   3   1   6  31  19]
 [  0 993   4   3   0   0]
 [  0   2 197   1   0   0]
 [  0   1   0 198   0   1]
 [ 49   5   1   5 120  20]
 [ 40   1   0  10   6 143]]","0.021999597549438477","0.0"
"44","LDA","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","LDA","0.8571300203506065","-1","-1","96.66666666666667","83.46666666666665","2.0","83.5338756240242","83.3317997514491","-1.0","","[[133   3   0   7  34  23]
 [  0 998   2   0   0   0]
 [  0   1 198   1   0   0]
 [  0   1   1 198   0   0]
 [ 45   5   2   6 121  21]
 [ 28   0   1  11   8 152]]","0.021000385284423828","0.0009999275207519531"
"42","LDA","Edge_IIoTset_1000","-1","l05_exponential_kernel","QuantileTransformer","LDA","0.5355320834455243","-1","-1","94.14222222222223","56.066666666666656","3.1380952380952385","55.361364752977494","52.97308563691933","-1.0","","[[ 72  38  12   0   0   0   0   0  34   1   6  24   0   0  13]
 [  0 172   6   0   0   0   3   6   0  12   1   0   0   0   0]
 [  4  20 109   0   0   0   0   0  15   0  20  11   0   2  19]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 118   0   0   0   0  82   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [  0   0   0  31   0   0 114  16   0  39   0   0   0   0   0]
 [  0   0   0   0   0   0   0 200   0   0   0   0   0   0   0]
 [  2  23  26   0   0   0   0   0  57   0   6  52   0  20  14]
 [  0   0   0   0   0   0   4   5   0 191   0   0   0   0   0]
 [  0 118  11   0   0   0   6  18   1  18  27   1   0   0   0]
 [  4  16  36   0   0   0   0   0  60   0  11  59   0   0  14]
 [  6  18  52   0   0   0   0   0  31  27   5  51   0   0  10]
 [  1  11   4   0   0   0   0   0  11   0   8  15   0 150   0]
 [  6  23  27   0   0   0   0  12  50   0   1  51   0  17  13]]","0.028999805450439453","0.0"
"43","LDA","Edge_IIoTset_1000","-1","l05_exponential_kernel","QuantileTransformer","LDA","0.5430738666280931","-1","-1","94.24","56.8","3.085714285714286","55.6598097640304","53.57266098513399","-1.0","","[[ 59  37  12   0   0   1   0   0  49   0   3  21   0   0  18]
 [  1 177   7   0   0   0   1   4   0   9   0   0   0   0   1]
 [  2  17 113   0   0   0   0   0   9   0  23  13   0   4  19]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 126   0   0   0   0  74   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [  0   0   0  31   0   0 107  17   0  45   0   0   0   0   0]
 [  0   0   0   0   0   0   0 200   0   0   0   0   0   0   0]
 [  3  20  22   0   0   0   0   0  54   0   8  59   0  19  15]
 [  0   0   0   0   0   0   6   6   0 188   0   0   0   0   0]
 [  0 106  18   0   0   0   7  18   0  10  33   4   0   0   4]
 [  8  16  31   0   0   0   0   0  61   0   7  71   0   0   6]
 [  7  15  65   0   0   0   0   0  28  27   4  49   0   0   5]
 [  5  10   3   0   0   0   0   0   9   0   3  11   0 157   2]
 [ 10  20  34   0   0   0   1  10  41   0   2  45   0  18  19]]","0.052214860916137695","0.001001119613647461"
