"Seed","Input Model","Data Type","Poly","Kernel","SCALER","Model","MCC","NDR","AUC_N","ACC","TPR Macro","FPR","PPV Macro","F1 Macro","AUC","CLS Report","CFS Matrix","Training time","Test time"
"42","MLP","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.9862613009754858","-1","-1","99.72839506172839","98.77777777777777","0.1527777777777778","98.78623170650862","98.77755646745929","-1.0","","[[193   0   0   1   0   0   0   6   0]
 [  1 195   0   0   0   4   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   2   0 198   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   1   0   0   0 198   1   0   0]
 [  0   0   1   0   1   0 198   0   0]
 [  1   0   0   0   0   0   0 199   0]
 [  2   0   0   0   0   0   0   1 197]]","4.055983066558838","0.0010013580322265625"
"43","MLP","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.9887808998859396","-1","-1","99.77777777777777","99.0","0.125","99.02538148551697","99.00042938437188","-1.0","","[[197   0   0   2   0   0   0   1   0]
 [  0 191   0   0   0   9   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   0   0 200   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0]
 [  1   0   0   0   0   0 199   0   0]
 [  2   0   0   0   0   0   0 198   0]
 [  2   0   0   0   0   0   0   1 197]]","2.616358518600464","0.0009996891021728516"
"44","MLP","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.9906439187277083","-1","-1","99.81481481481481","99.16666666666667","0.10416666666666667","99.18305087914312","99.16738356033825","-1.0","","[[198   1   0   0   0   1   0   0   0]
 [  0 200   0   0   0   0   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   0   0 200   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   6   0   0   0 194   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  4   0   0   0   0   0   0 196   0]
 [  1   0   1   0   1   0   0   0 197]]","2.9011762142181396","0.0011682510375976562"
"42","MLP","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.9903913617896635","-1","-1","99.7364953886693","99.07738095238095","0.15810276679841898","98.98017329802872","99.02353926784144","-1.0","","[[197   1   0   1   1   0]
 [  3 397   0   0   0   0]
 [  0   2 398   0   0   0]
 [  0   0   0 400   0   0]
 [  2   0   1   1 396   0]
 [  4   0   0   0   0 220]]","3.268805980682373","0.0020034313201904297"
"43","MLP","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.9891960794775534","-1","-1","99.70355731225297","99.07738095238095","0.17786561264822134","98.91057306342593","98.98835243903977","-1.0","","[[199   0   0   0   0   1]
 [  2 397   0   0   0   1]
 [  0   3 397   0   0   0]
 [  0   0   0 400   0   0]
 [  3   1   1   2 393   0]
 [  2   2   0   0   0 220]]","2.729200601577759","0.0020012855529785156"
"44","MLP","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.994002323965503","-1","-1","99.83530961791831","99.51785714285715","0.09881422924901186","99.24602063107702","99.3762286777574","-1.0","","[[200   0   0   0   0   0]
 [  2 396   0   0   0   2]
 [  0   0 400   0   0   0]
 [  0   0   0 400   0   0]
 [  3   0   0   1 396   0]
 [  2   0   0   0   0 222]]","3.5533087253570557","0.0010004043579101562"
"42","MLP","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.9466521577700587","-1","-1","98.75","93.75","0.75","93.91878872469212","93.69631597007192","-1.0","","[[ 184    0    0    0    8    8]
 [   0 1000    0    0    0    0]
 [   0    0  199    1    0    0]
 [   0    1    0  199    0    0]
 [  27    0    1    0  154   18]
 [   4    0    0    0    7  189]]","5.259810447692871","0.0010008811950683594"
"43","MLP","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.939848449183534","-1","-1","98.58333333333333","92.98333333333333","0.8500000000000001","93.42832037966848","92.88050281503698","-1.0","","[[188   0   0   0   4   8]
 [  0 999   0   1   0   0]
 [  0   1 199   0   0   0]
 [  0   0   0 200   0   0]
 [ 37   0   0   0 145  18]
 [ 10   0   0   0   6 184]]","5.256739139556885","0.0010013580322265625"
"44","MLP","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.9489568511060444","-1","-1","98.8","94.0","0.72","94.26665916195948","93.91285333798703","-1.0","","[[ 191    0    0    0    5    4]
 [   0 1000    0    0    0    0]
 [   0    0  200    0    0    0]
 [   0    0    0  200    0    0]
 [  29    0    0    0  152   19]
 [   9    0    0    0    6  185]]","5.200466871261597","0.0010008811950683594"
"42","MLP","Edge_IIoTset_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.7581728667236779","-1","-1","96.97777777777777","77.33333333333333","1.6190476190476188","77.77414588579929","76.93554126919965","-1.0","","[[181   0   0   0   0   0   1   0   3   0   0   0  14   1   0]
 [  0 160   1   0   0   0   3   6   0   1  19   0  10   0   0]
 [ 10   0 141   0   0   0   0   0   3   0   0  39   2   1   4]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   8   0   0 192   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [  0   4   0  31   0   0 128  16   0  16   0   0   5   0   0]
 [  0   0   0   0   0   0   0 200   0   0   0   0   0   0   0]
 [ 15   0  26   0   0   0   0   0  97   0   0  33  11   0  18]
 [  0   0   0   0   1   0  14   5   0 180   0   0   0   0   0]
 [  0  13   0   0   0   0  11  18   0   0 134   0  24   0   0]
 [  0   0  35   0   0   0   0   0  16   0   0 145   0   0   4]
 [  8   1  30   0   0   0   3   0  21   0   4   9  90   5  29]
 [  0   0   5   0   3   0   0   0   3   0   0   8   2 178   1]
 [ 17   0  27   0   0   0   0  12  20   0   1  29   0   0  94]]","12.704535722732544","0.002000093460083008"
"43","MLP","Edge_IIoTset_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.7630306515222259","-1","-1","97.03555555555555","77.76666666666667","1.588095238095238","78.39347453478939","77.25049799090445","-1.0","","[[173   0   0   0   0   1   0   0   6   0   0   0  13   0   7]
 [  0 154   1   0   0   0   1   4   0   1  29   0  10   0   0]
 [  4   0 163   0   0   0   0   0   2   0   0  19   0   7   5]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [  0   3   0  31   0   0 107  17   0  32   7   0   3   0   0]
 [  0   0   0   0   0   0   0 200   0   0   0   0   0   0   0]
 [ 16   0  31   0   0   0   0   0  90   0   0  14  18   1  30]
 [  0   0   0   0   0   0   6   6   0 188   0   0   0   0   0]
 [  0   0   1   0   0   0   7  18   0   2 150   0  22   0   0]
 [  0   0  32   0   0   0   0   0  25   0   0 124  11   0   8]
 [ 18   0  26   0   0   0   0   0  12   0  17   4 106   5  12]
 [  1   0   6   0   0   0   0   0   6   0   0   3   4 177   3]
 [ 26   1  36   0   0   0   1  10  12   0   0   7   6   0 101]]","12.664875507354736","0.0019996166229248047"
"44","MLP","Edge_IIoTset_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.7629208648511128","-1","-1","97.02222222222223","77.66666666666667","1.5952380952380953","78.98178993137324","76.92524932921962","-1.0","","[[182   0   0   0   0   1   0   0   1   0   0   0  15   0   1]
 [  0 150   0   0   0   0   1   6   2   1  35   0   5   0   0]
 [ 13   0 161   0   0   0   0   0   9   0   0  15   0   1   1]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [  0   3   0  31   0   0 116  19   0  28   1   0   2   0   0]
 [  0   0   0   0   0   0   0 200   0   0   0   0   0   0   0]
 [ 33   0  22   0   0   0   0   0  94   2   0  36   3   0  10]
 [  0   0   0   0   1   0   2   7   0 190   0   0   0   0   0]
 [  0   8   1   0   0   0   8  12   0   2 150   0  19   0   0]
 [ 12   0  28   0   0   0   0   0   8   0   0 148   0   0   4]
 [ 36   0  30   0   0   0  11   0  18   0   2   2  93   2   6]
 [  5   0   3   0   0   0   0   0  11   0   0   6   3 170   2]
 [ 46   0  29   0   0   0   1  13  14   0   0  20   1   0  76]]","12.67492413520813","0.0019998550415039062"
"42","MLP","IoTID20_2000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.8118664914753351","-1","-1","93.96","84.89999999999999","3.775","85.09250463584274","84.87072303323924","-1.0","","[[387   0   5   1   7]
 [  1 399   0   0   0]
 [  8   0 287  26  79]
 [ 15   0  50 301  34]
 [  5   0  50  21 324]]","5.508087158203125","0.0010006427764892578"
"43","MLP","IoTID20_2000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.8085318949949544","-1","-1","93.86","84.65000000000002","3.8375","84.83527373182162","84.66244090655861","-1.0","","[[374   1   2   8  15]
 [  2 398   0   0   0]
 [ 13   0 295  32  60]
 [  7   0  61 297  35]
 [  3   0  46  22 329]]","5.526509761810303","0.0010006427764892578"
"44","MLP","IoTID20_2000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.7812688354922912","-1","-1","92.97999999999999","82.44999999999999","4.387499999999999","82.43382481840001","82.32018748540982","-1.0","","[[375   0   5   5  15]
 [  3 395   0   2   0]
 [  8   0 247  76  69]
 [ 13   0  56 300  31]
 [  2   0  38  28 332]]","5.514834642410278","0.002002716064453125"
"42","MLP","N_BaIoT_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.9943832865619154","-1","-1","99.8888888888889","99.5","0.0625","99.50842796935925","99.50094119853364","-1.0","","[[199   0   0   0   0   0   0   0   1]
 [  0 200   0   0   0   0   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   0   0 199   0   0   0   0   1]
 [  2   0   0   0 198   0   0   0   0]
 [  0   0   0   0   0 198   0   2   0]
 [  0   0   0   0   0   0 197   3   0]
 [  0   0   0   0   0   0   0 200   0]
 [  0   0   0   0   0   0   0   0 200]]","2.55796217918396","0.0010004043579101562"
"43","MLP","N_BaIoT_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.9950044913498547","-1","-1","99.90123456790123","99.55555555555556","0.05555555555555555","99.5588477971391","99.55540520169035","-1.0","","[[198   1   0   0   0   0   0   0   1]
 [  0 200   0   0   0   0   0   0   0]
 [  0   0 199   1   0   0   0   0   0]
 [  0   0   0 199   1   0   0   0   0]
 [  0   0   0   0 199   1   0   0   0]
 [  0   0   0   0   0 200   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   3 197   0]
 [  0   0   0   0   0   0   0   0 200]]","2.840118885040283","0.0010013580322265625"
"44","MLP","N_BaIoT_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.9782313205011736","-1","-1","99.5679012345679","98.05555555555556","0.24305555555555555","98.13892282809857","98.05512314280378","-1.0","","[[197   0   1   0   0   0   0   0   2]
 [  1 197   0   0   0   2   0   0   0]
 [  0   0 196   4   0   0   0   0   0]
 [  0   0   0 199   0   0   0   0   1]
 [  2   0   0   0 194   1   0   0   3]
 [  1   0   0   0   0 198   0   1   0]
 [  0   0   0   0   0   0 184  15   1]
 [  0   0   0   0   0   0   0 200   0]
 [  0   0   0   0   0   0   0   0 200]]","3.2047195434570312","0.0009987354278564453"
"42","MLP","ToN_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.9714142565438924","-1","-1","99.38802083333333","97.20833333333333","0.349702380952381","97.30776096377424","97.24773264348597","-1.0","","[[191   2   0   0   1   1   3   2]
 [  1 113   0   0   0   6   0   0]
 [  5   0 191   0   0   4   0   0]
 [  6   0   0 194   0   0   0   0]
 [  0   0   0   0 200   0   0   0]
 [  1   0   0   0   0 399   0   0]
 [  1   0   0   0   0   0 198   1]
 [  1   4   7   0   0   1   0 387]]","5.20080828666687","0.0010013580322265625"
"43","MLP","ToN_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.9713941766524122","-1","-1","99.38802083333333","97.3125","0.349702380952381","97.74196954712977","97.51050256872134","-1.0","","[[192   0   1   0   0   0   3   4]
 [  0 120   0   0   0   0   0   0]
 [  7   0 184   0   0   6   0   3]
 [  2   0   0 197   0   0   0   1]
 [  1   0   1   0 196   2   0   0]
 [  0   0   0   0   0 400   0   0]
 [  4   0   1   0   0   0 192   3]
 [  2   0   4   0   0   2   0 392]]","5.140794992446899","0.0010001659393310547"
"44","MLP","ToN_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.9689948019499729","-1","-1","99.3359375","97.39583333333333","0.3794642857142857","97.19016826105515","97.27802863440587","-1.0","","[[193   0   2   0   0   0   1   4]
 [  1 119   0   0   0   0   0   0]
 [  3   0 189   0   2   3   0   3]
 [  3   0   1 195   0   0   0   1]
 [  1   1   2   0 196   0   0   0]
 [  0   0   1   0   0 399   0   0]
 [  3   0   0   0   0   0 197   0]
 [  7   2   7   0   0   3   0 381]]","4.450162649154663","0.002504110336303711"
"42","MLP","UNSW_NB15_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.5677492188642723","-1","-1","90.50522648083623","61.81249999999999","5.425584868093579","66.49433959573527","61.60694381583074","-1.0","","[[197   1   0   1   0   0   1   0]
 [  1  39  98  12  50   0   0   0]
 [  2   3 122  13  48   3   7   2]
 [  2   6  36  96  46   5   3   6]
 [  2   3  87  30  64   5   7   2]
 [  1   1  12  11  18 157   0   0]
 [  0   0   0   3   0   1 194   2]
 [  0   0   0  10   0   2   2  21]]","3.6387875080108643","0.0009999275207519531"
"43","MLP","UNSW_NB15_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.5884735482790894","-1","-1","90.69686411149826","61.32142857142857","5.316077650572424","66.38620452397129","60.99847318729861","-1.0","","[[199   0   0   1   0   0   0   0]
 [  0  51 140   2   7   0   0   0]
 [  2  16 143   8  18   6   5   2]
 [  2  13  57 103  11   6   4   4]
 [  2  13 133  25  19   5   2   1]
 [  0   1  19   2   5 173   0   0]
 [  0   0   0   0   0   4 196   0]
 [  1   1   0  10   2   3   1  17]]","3.934407949447632","0.0010008811950683594"
"44","MLP","UNSW_NB15_1000","-1","l05_exponential_kernel","QuantileTransformer","MLP","0.5804941882489425","-1","-1","90.87108013937282","63.419642857142854","5.216525634644102","65.05965087369681","63.58463288280676","-1.0","","[[196   0   0   2   0   0   1   1]
 [  1  72  76  11  37   3   0   0]
 [  1  31 101  13  42   7   4   1]
 [  1   4  41 101  34   5   4  10]
 [  2  14  81  40  54   6   3   0]
 [  0   2  16   3  11 168   0   0]
 [  0   0   1   1   0   1 197   0]
 [  0   0   2   7   0   1   3  22]]","3.946884870529175","0.0010039806365966797"
