"Seed","Input Model","Data Type","Poly","Kernel","SCALER","Model","MCC","NDR","AUC_N","ACC","TPR Macro","FPR","PPV Macro","F1 Macro","AUC","CLS Report","CFS Matrix","Training time","Test time"
"42","NC","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","NC","0.7514072307660093","-1","-1","94.85185185185185","76.83333333333333","2.895833333333333","83.0765828079144","72.90574134908813","-1.0","","[[  1   0   3   2   0  18  13  58 105]
 [  0 122   0   0   0  78   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   0   0 176   0   2  22   0   0]
 [  0   0   0   0 198   0   2   0   0]
 [  0  17   0   0   0 182   1   0   0]
 [  0   0   2   0   0   0 198   0   0]
 [  0   0   0   0   0   0   0 107  93]
 [  0   0   0   0   0   0   0   1 199]]","0.0010008811950683594","0.0009999275207519531"
"43","NC","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","NC","0.7489652558146501","-1","-1","94.79012345679013","76.55555555555556","2.930555555555556","83.24658231655637","72.59516638618486","-1.0","","[[  1   0   7   0   0  20   9  56 107]
 [  0 115   0   0   0  85   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   0   0 175   0   0  25   0   0]
 [  0   0   1   0 195   0   4   0   0]
 [  0  12   0   0   0 188   0   0   0]
 [  0   0   0   0   0   0 199   1   0]
 [  0   0   0   0   0   0   0 106  94]
 [  0   0   0   0   0   0   0   1 199]]","0.0009999275207519531","0.0009999275207519531"
"44","NC","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","NC","0.75123887106923","-1","-1","94.85185185185185","76.83333333333334","2.895833333333333","82.99220414486679","72.84452356400243","-1.0","","[[  1   0   5   3   0  27  14  52  98]
 [  0 122   0   0   0  78   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   0   0 174   0   0  23   3   0]
 [  0   0   0   0 198   0   2   0   0]
 [  0  17   0   0   0 183   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 107  93]
 [  0   0   1   0   0   0   0   1 198]]","0.001001119613647461","0.0009989738464355469"
"42","NC","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","NC","0.7990607092401972","-1","-1","94.35111989459816","77.18452380952381","3.3893280632411065","84.5715518297773","77.45162234944397","-1.0","","[[ 41  67   0  53  38   1]
 [ 11 382   0   0   1   6]
 [  0  61 336   0   1   2]
 [  0   0  10 385   5   0]
 [  2  18   8   0 371   1]
 [  0  58   0   0   0 166]]","0.0015034675598144531","0.0"
"43","NC","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","NC","0.802698952323096","-1","-1","94.433465085639","77.6904761904762","3.339920948616601","85.96139349232601","78.7099651944334","-1.0","","[[ 56  79   1  20  44   0]
 [  9 383   0   0   2   6]
 [  0  51 342   0   3   4]
 [  0   0   5 390   5   0]
 [  3  27   8   0 359   3]
 [  0  68   0   0   0 156]]","0.0","0.0010004043579101562"
"44","NC","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","NC","0.8022145677488749","-1","-1","94.46640316205533","77.81547619047619","3.320158102766799","82.76152049245243","77.3993264178873","-1.0","","[[ 35  53   5  48  57   2]
 [ 15 380   0   0   0   5]
 [  0  63 328   0   3   6]
 [  0   0  10 386   4   0]
 [  3  17   4   0 375   1]
 [  0  40   0   0   0 184]]","0.0010001659393310547","0.0"
"42","NC","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","NC","0.48349080996212507","-1","-1","85.39999999999999","56.733333333333334","8.76","57.481759188601146","48.652625277732305","-1.0","","[[146   0  18  13   0  23]
 [  1 554 389  15   3  38]
 [  1   0 199   0   0   0]
 [ 24   0  20 135   1  20]
 [120   0  39   6  21  14]
 [ 60   0  32  32   7  69]]","0.0020036697387695312","0.001003265380859375"
"43","NC","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","NC","0.5017847447291691","-1","-1","85.83333333333333","59.36666666666667","8.5","61.59816482593229","52.05204359375142","-1.0","","[[154   0  10   5   1  30]
 [  2 547 396  13   2  40]
 [  0   0 200   0   0   0]
 [ 26   0  14 137   0  23]
 [ 85   0  47   9  39  20]
 [ 64   0  28  31   4  73]]","0.0009999275207519531","0.0009992122650146484"
"44","NC","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","NC","0.4951609976616969","-1","-1","85.66666666666667","58.4","8.6","60.10957723349162","50.721166211689905","-1.0","","[[146   0  13  10   2  29]
 [  0 549 409   9   1  32]
 [  0   0 200   0   0   0]
 [ 25   0   9 143   1  22]
 [ 97   0  46   5  29  23]
 [ 65   0  23  34   5  73]]","0.001001119613647461","0.0009999275207519531"
"42","NC","Edge_IIoTset_1000","-1","l05_exponential_kernel","QuantileTransformer","NC","0.39027226946766164","-1","-1","92.27555555555556","42.06666666666667","4.138095238095238","39.59384468955063","37.66739103097077","-1.0","","[[ 47  42   0   0  12   0   1   0  71  19   0   8   0   0   0]
 [  0 119   0   0   6   0   3   6  54   0   0   0  12   0   0]
 [  0  70   0   0  42   0  10   0  63   4   0   9   0   2   0]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 113   0   0   0   0   0   0   0  87   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [  0   0   0  31  31   0  93  16   0   0   0   0  29   0   0]
 [  0   0   0   0   0   0   0 200   0   0   0   0   0   0   0]
 [  0  37   0   0  17   0   2   0  88   1   0  32   0  23   0]
 [  0   0   0   0  88   0  14   5   0   0   0   0  93   0   0]
 [  0  78   0   0  11   0  10  18  69   0   0   0  14   0   0]
 [  0  58   0   0  13   0   3   0  83   4   0  21   0  18   0]
 [  0  32   0   0  33   0   1   0  79   6   0  11  27  11   0]
 [  0  30   0   0   3   0   1   0   7   1   0   4   0 154   0]
 [  0  30   0   0  12   0   5  12  84   4   0  36   0  17   0]]","0.001001596450805664","0.0015060901641845703"
