"Seed","Input Model","Data Type","Poly","Kernel","SCALER","Model","MCC","NDR","AUC_N","ACC","TPR Macro","FPR","PPV Macro","F1 Macro","AUC","CLS Report","CFS Matrix","Training time","Test time"
"42","NuSVC","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","NuSVC","0.9443295633819168","-1","-1","98.88888888888889","94.99999999999999","0.625","95.46881470145172","95.01164040066288","-1.0","","[[177   1   3   0   0   0   0   5  14]
 [  0 200   0   0   0   0   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   2   0 176   0   0  22   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0  12   0   0   0 187   1   0   0]
 [  0   0   2   0   0   0 198   0   0]
 [  0   0   0   0   0   0   0 175  25]
 [  2   0   0   0   0   0   0   1 197]]","0.43422436714172363","0.24555611610412598"
"43","NuSVC","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","NuSVC","0.9498949459251151","-1","-1","99.0","95.5","0.5625","95.90425876799677","95.5012684468698","-1.0","","[[177   1   6   0   0   1   0   1  14]
 [  0 196   0   0   0   4   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   0   0 175   0   0  25   0   0]
 [  0   0   1   0 199   0   0   0   0]
 [  0   2   0   0   0 198   0   0   0]
 [  1   0   0   0   0   0 199   0   0]
 [  2   0   0   0   0   0   0 177  21]
 [  1   0   0   0   0   0   0   1 198]]","0.4343607425689697","0.2376089096069336"
"44","NuSVC","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","NuSVC","0.9376991047520268","-1","-1","98.75308641975309","94.38888888888887","0.7013888888888888","95.0368858054467","94.40140916761955","-1.0","","[[172   2   5   0   0   3   0   0  18]
 [  0 197   0   0   0   3   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  3   0   0 174   0   0  23   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   9   0   0   0 191   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 168  32]
 [  1   0   1   0   0   0   0   1 197]]","0.4373128414154053","0.2362682819366455"
"42","NuSVC","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","NuSVC","0.9236512395537774","-1","-1","97.89196310935442","93.76488095238096","1.2648221343873518","93.46800341235414","93.50070569779496","-1.0","","[[187   4   1   8   0   0]
 [ 12 359  22   0   0   7]
 [  0   2 395   0   2   1]
 [  8   0  10 382   0   0]
 [  5  20  15   0 360   0]
 [  6   4   1   0   0 213]]","0.5791916847229004","0.24368643760681152"
"43","NuSVC","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","NuSVC","0.9080874383099437","-1","-1","97.46376811594203","92.38988095238095","1.5217391304347827","92.07760590885488","92.11217177552096","-1.0","","[[180   7   8   5   0   0]
 [ 11 357  20   0   0  12]
 [  0   3 390   0   6   1]
 [ 12   0   5 383   0   0]
 [  7  27  19   0 347   0]
 [  5   6   0   0   0 213]]","0.5670044422149658","0.2474079132080078"
"44","NuSVC","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","NuSVC","0.9205429028915664","-1","-1","97.80961791831358","93.44940476190476","1.3142292490118577","93.10863056248814","93.17677214821914","-1.0","","[[186   3   6   5   0   0]
 [ 17 358  17   0   0   8]
 [  0   2 390   0   8   0]
 [  8   0  10 382   0   0]
 [  5  16  15   0 364   0]
 [  5   7   1   0   0 211]]","0.5786237716674805","0.24678444862365723"
"42","NuSVC","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","NuSVC","0.8735126727606864","-1","-1","97.06666666666666","85.39999999999999","1.76","92.29756680202907","88.2600048489393","-1.0","","[[168  22   0   0   5   5]
 [  0 999   0   1   0   0]
 [  0   0 199   1   0   0]
 [  3  36   0 160   0   1]
 [ 20  36   2   0 128  14]
 [  2  18   0   2   8 170]]","0.9228692054748535","0.3312242031097412"
"43","NuSVC","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","NuSVC","0.8668490686798942","-1","-1","96.91666666666666","84.71666666666667","1.8499999999999999","91.00390290592108","87.24302317177369","-1.0","","[[165  17   0   1   7  10]
 [  0 998   0   2   0   0]
 [  0   2 198   0   0   0]
 [  3  40   0 157   0   0]
 [ 23  30   5   0 126  16]
 [  8  14   0   0   7 171]]","0.9046580791473389","0.3325767517089844"
"44","NuSVC","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","NuSVC","0.8779457858919765","-1","-1","97.16666666666667","85.83333333333334","1.7000000000000002","91.92451732512615","88.21291558801246","-1.0","","[[ 171   19    0    1    4    5]
 [   0 1000    0    0    0    0]
 [   0    5  195    0    0    0]
 [   1   27    0  172    0    0]
 [  24   30    7    0  120   19]
 [   5   16    0    0    7  172]]","0.8965671062469482","0.3347938060760498"
"42","NuSVC","Edge_IIoTset_1000","-1","l05_exponential_kernel","QuantileTransformer","NuSVC","0.675790989825103","-1","-1","95.92444444444445","69.43333333333332","2.183333333333333","70.4631204771972","67.69517108406836","-1.0","","[[167   0   0   0   0   0   0   0  16   1  10   0   5   0   1]
 [  1 173   0   0  10   0   3   6   0   2   5   0   0   0   0]
 [  6   0 151   0   0   0   0   0  18   0   0  14   7   1   3]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [  0   0   0  31   9   0 114  16   0  30   0   0   0   0   0]
 [  0   0   0   0   0   0   0 200   0   0   0   0   0   0   0]
 [ 20   0  34   0   0   0   0   0  93   0   0  20  24   0   9]
 [  0   0   0   0   0   0   4   5   0 191   0   0   0   0   0]
 [  1  78   0   0  14   0   6  18   0   4  79   0   0   0   0]
 [ 16   0  39   0   0   0   0   0  56   0   0  82   7   0   0]
 [  8   5  12   0  27   0   0   0  55   0  26   9  49   0   9]
 [  4   6   8   0   0   0   0   0  16   0  10   6   0 150   0]
 [ 27   1  17   0   0   0   0  12  81   0   1   2  25   0  34]]","2.077688694000244","1.0650055408477783"
