"Seed","Input Model","Data Type","Poly","Kernel","SCALER","Model","MCC","NDR","AUC_N","ACC","TPR Macro","FPR","PPV Macro","F1 Macro","AUC","CLS Report","CFS Matrix","Training time","Test time"
"42","RNC","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","RNC","0.8670061219077482","-1","-1","97.19753086419753","87.38888888888889","1.576388888888889","93.30728221279634","87.89126259426368","-1.0","","[[189   0   0   0   0   0   0  11   0]
 [ 85 114   0   0   0   1   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  6   0   0 194   0   0   0   0   0]
 [  7   0   0   0 193   0   0   0   0]
 [100   1   0   0   0  99   0   0   0]
 [  6   0   0   0   0   0 194   0   0]
 [  2   0   0   0   0   0   0 198   0]
 [  8   0   0   0   0   0   0   0 192]]","0.0005037784576416016","0.09712028503417969"
"43","RNC","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","RNC","0.8859858738770838","-1","-1","97.60493827160494","89.22222222222221","1.3472222222222223","94.0415946427279","89.57565273362097","-1.0","","[[194   0   0   0   0   0   0   6   0]
 [ 78 121   0   0   0   1   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  4   0   0 196   0   0   0   0   0]
 [  4   0   0   0 196   0   0   0   0]
 [ 91   1   0   0   0 108   0   0   0]
 [  1   0   0   0   0   0 199   0   0]
 [  2   0   0   0   0   0   0 198   0]
 [  6   0   0   0   0   0   0   0 194]]","0.0010001659393310547","0.09762859344482422"
"44","RNC","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","RNC","0.8788625484175696","-1","-1","97.4567901234568","88.55555555555556","1.4305555555555556","93.69249911233601","89.01394927373474","-1.0","","[[192   0   0   0   0   0   0   8   0]
 [ 80 120   0   0   0   0   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  4   0   0 196   0   0   0   0   0]
 [  2   0   0   0 198   0   0   0   0]
 [ 90   3   0   0   0 107   0   0   0]
 [  6   0   0   0   0   0 194   0   0]
 [  5   0   0   0   0   0   0 195   0]
 [  8   0   0   0   0   0   0   0 192]]","0.0009989738464355469","0.0945742130279541"
"42","RNC","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","RNC","0.9454683994377651","-1","-1","98.46837944664031","93.85714285714285","0.9189723320158103","96.84062393323161","94.92718336843424","-1.0","","[[155  44   0   0   1   0]
 [  0 400   0   0   0   0]
 [  0  14 386   0   0   0]
 [  0  10   0 390   0   0]
 [  0  12   0   0 388   0]
 [  0  12   0   0   0 212]]","0.0","0.1263737678527832"
"43","RNC","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","RNC","0.9454611399857781","-1","-1","98.46837944664031","94.17261904761905","0.9189723320158103","96.78058817625214","95.12064006428398","-1.0","","[[161  39   0   0   0   0]
 [  0 400   0   0   0   0]
 [  0  10 390   0   0   0]
 [  0   9   0 391   0   0]
 [  1  24   0   0 375   0]
 [  0  10   0   0   0 214]]","0.0","0.12360739707946777"
"44","RNC","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","RNC","0.9569615509661978","-1","-1","98.79776021080369","95.33035714285715","0.7213438735177866","97.35900778925551","96.1135843146198","-1.0","","[[168  32   0   0   0   0]
 [  0 400   0   0   0   0]
 [  0  14 386   0   0   0]
 [  0   3   0 397   0   0]
 [  1  14   0   0 385   0]
 [  0   9   0   0   0 215]]","0.0010004043579101562","0.10844850540161133"
"42","RNC","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","RNC","0.6779906499395488","-1","-1","92.5","62.5","4.5","89.50509501104614","69.0181859294018","-1.0","","[[  78  115    0    0    6    1]
 [   0 1000    0    0    0    0]
 [   0   12  188    0    0    0]
 [   0   39    0  161    0    0]
 [   7  134    0    0   56    3]
 [   4  125    0    0    4   67]]","0.0","0.11635375022888184"
"43","RNC","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","RNC","0.684279754221271","-1","-1","92.63333333333334","63.16666666666667","4.42","90.07163435211237","69.46811047068705","-1.0","","[[  85  108    0    0    5    2]
 [   0 1000    0    0    0    0]
 [   0   13  187    0    0    0]
 [   0   31    1  168    0    0]
 [  10  132    0    0   55    3]
 [   2  134    0    0    1   63]]","0.0","0.1260387897491455"
"44","RNC","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","RNC","0.6817753120902947","-1","-1","92.60000000000001","63.0","4.44","88.44648922042614","69.0624829738122","-1.0","","[[  83  110    0    0    5    2]
 [   0 1000    0    0    0    0]
 [   0   10  190    0    0    0]
 [   0   34    0  166    0    0]
 [  11  124    0    0   60    5]
 [   5  134    0    0    4   57]]","0.0010030269622802734","0.11880207061767578"
"42","RNC","Edge_IIoTset_1000","-1","l05_exponential_kernel","QuantileTransformer","RNC","0.6204293593546095","-1","-1","95.24000000000001","64.3","2.55","65.58297331145586","62.922669086151714","-1.0","","[[120   0  20   0   0   0   0   0  25   1   0  27   0   0   7]
 [  0 148   6   0   2   0   3   6   0   1  26   0   8   0   0]
 [ 10   9 138   0   0   0   0   0   2   0  20  13   0   0   8]
 [  2   0   0 198   0   0   0   0   0   0   0   0   0   0   0]
 [  1   1   0   0 148   0   0   0   0  50   0   0   0   0   0]
 [  1   0   0   0   0 199   0   0   0   0   0   0   0   0   0]
 [  1   3   0  31   1   0 113  16   0  34   0   0   1   0   0]
 [  3   0   0   0   0   0   0 197   0   0   0   0   0   0   0]
 [ 25   1  34   0   0   0   0   0  61   0   0  34   6   1  38]
 [  0   0   0   0   0   0   4   5   0 191   0   0   0   0   0]
 [  0  94  10   0   0   0   6  18   0  15  53   0   4   0   0]
 [ 12   0  41   0   0   0   0   0  23   0  13  82   3   0  26]
 [ 31   0  58   0   3   0   0   0  11  10   4  21  31   1  30]
 [  7   0   5   0   0   0   0   0   7   0   0  12   3 158   8]
 [ 31   1  30   0   0   0   0  12  13   0   0  18   3   0  92]]","0.001024484634399414","0.281466007232666"
