"Seed","Input Model","Data Type","Poly","Kernel","SCALER","Model","MCC","NDR","AUC_N","ACC","TPR Macro","FPR","PPV Macro","F1 Macro","AUC","CLS Report","CFS Matrix","Training time","Test time"
"42","SAINT","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","SAINT","0.9881407829302171","-1","-1","99.76543209876543","98.94444444444443","0.13194444444444445","98.95663851299244","98.94419251391994","-1.0","","[[198   0   0   0   0   0   0   2   0]
 [  0 196   0   0   0   4   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   2   0 198   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   0   0   0   0 199   1   0   0]
 [  0   0   1   0   1   0 198   0   0]
 [  1   0   0   0   0   0   0 199   0]
 [  6   0   0   1   0   0   0   0 193]]","674.6765604019165","0.34480905532836914"
"43","SAINT","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","SAINT","0.9863188392379416","-1","-1","99.72839506172839","98.77777777777779","0.1527777777777778","98.8308163370331","98.77708406815148","-1.0","","[[199   0   0   0   0   0   0   1   0]
 [  0 187   0   0   0  13   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   0   0 200   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0]
 [  1   0   0   0   0   0 199   0   0]
 [  1   0   0   0   0   0   0 199   0]
 [  4   0   0   0   1   0   0   1 194]]","675.0718507766724","0.3725929260253906"
"44","SAINT","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","SAINT","0.99064529467746","-1","-1","99.81481481481481","99.16666666666667","0.10416666666666667","99.18484130591908","99.1677813599757","-1.0","","[[200   0   0   0   0   0   0   0   0]
 [  0 199   0   0   0   1   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  3   0   0 197   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   3   0   0   0 197   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  2   0   0   0   0   0   0 198   0]
 [  3   0   0   1   1   0   1   0 194]]","675.3028061389923","0.33536624908447266"
"42","SAINT","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","SAINT","0.9933940731128906","-1","-1","99.81884057971014","99.28571428571428","0.10869565217391304","99.2245919294993","99.2511587079761","-1.0","","[[197   0   1   1   1   0]
 [  1 399   0   0   0   0]
 [  0   0 400   0   0   0]
 [  0   0   0 400   0   0]
 [  3   0   0   0 397   0]
 [  4   0   0   0   0 220]]","334.79420948028564","0.14037036895751953"
"43","SAINT","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","SAINT","0.9934076948846137","-1","-1","99.81884057971014","99.43452380952382","0.10869565217391304","99.12781341858519","99.27217973918702","-1.0","","[[199   0   0   0   0   1]
 [  2 398   0   0   0   0]
 [  0   0 400   0   0   0]
 [  0   0   0 400   0   0]
 [  6   0   0   0 394   0]
 [  2   0   0   0   0 222]]","333.135617017746","0.14229202270507812"
"44","SAINT","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","SAINT","0.9927949782231341","-1","-1","99.80237154150198","99.30952380952381","0.11857707509881424","99.1469485670936","99.22400373788732","-1.0","","[[197   0   0   1   2   0]
 [  3 397   0   0   0   0]
 [  2   0 398   0   0   0]
 [  0   0   0 400   0   0]
 [  2   0   0   0 398   0]
 [  2   0   0   0   0 222]]","334.0116493701935","0.14946675300598145"
"42","SAINT","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","SAINT","0.9557497856513352","-1","-1","98.96666666666667","94.83333333333334","0.62","94.84809900708521","94.8212436411293","-1.0","","[[ 186    0    0    0    3   11]
 [   0 1000    0    0    0    0]
 [   0    0  199    1    0    0]
 [   0    0    0  200    0    0]
 [  15    0    0    0  170   15]
 [   1    0    0    0   16  183]]","690.3711044788361","0.39381933212280273"
"43","SAINT","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","SAINT","0.9580922164640266","-1","-1","99.01666666666667","95.14999999999999","0.59","95.27479058236463","95.09025058474843","-1.0","","[[184   0   0   0   6  10]
 [  0 999   0   1   0   0]
 [  0   0 200   0   0   0]
 [  0   0   0 200   0   0]
 [ 12   0   0   0 165  23]
 [  3   0   0   0   4 193]]","702.3468930721283","0.32224488258361816"
"44","SAINT","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","SAINT","0.9611380018632554","-1","-1","99.08333333333333","95.48333333333335","0.5499999999999999","95.84129047089925","95.42409745027892","-1.0","","[[186   0   0   0   0  14]
 [  0 999   0   0   0   1]
 [  0   0 200   0   0   0]
 [  0   0   1 199   0   0]
 [ 17   0   0   0 163  20]
 [  1   0   0   0   1 198]]","706.1169126033783","0.33320164680480957"
"42","SAINT","Edge_IIoTset_1000","-1","l05_exponential_kernel","QuantileTransformer","SAINT","0.8375297512539985","-1","-1","97.9688888888889","84.76666666666667","1.0880952380952382","85.8873630311456","84.76657581655131","-1.0","","[[196   0   0   0   0   0   0   0   0   1   0   0   0   0   3]
 [  0 183   0   0   0   0   2   6   0   3   3   0   3   0   0]
 [  3   0 148   0   0   0   0   0  12   0   0  28   0   1   8]
 [  0   0   0 199   0   0   1   0   0   0   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [  0   4   0   0   0   0 140  16   0  31   1   0   8   0   0]
 [  0   0   0   0   0   0   0 200   0   0   0   0   0   0   0]
 [  6   0  21   0   0   0   0   0 141   0   0   9   4   0  19]
 [  0   0   0   0   0   0   0   5   0 195   0   0   0   0   0]
 [  0  17   0   0   0   0   0  18   0  10 141   0  14   0   0]
 [  0   0  32   0   0   0   0   0  21   0   0 143   0   0   4]
 [  4   0  11   0   0   0   0   0  12   0   0   6 135   0  32]
 [  0   0  10   0   0   0   0   0   2   0   0  13   1 173   1]
 [  3   0  17   0   0   0   0  12  17   0   0   1   1   0 149]]","1130.901781320572","0.5324125289916992"
