"Seed","Input Model","Data Type","Poly","Kernel","SCALER","Model","MCC","NDR","AUC_N","ACC","TPR Macro","FPR","PPV Macro","F1 Macro","AUC","CLS Report","CFS Matrix","Training time","Test time"
"42","SpectralNFST","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","SpectralNFST-Q2","0.9894121036495933","-1","-1","99.79012345679013","99.05555555555556","0.11805555555555555","99.08878287191405","99.05762508497796","-1.0","","[[200   0   0   0   0   0   0   0   0]
 [  0 200   0   0   0   0   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  2   0   0 198   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   5   0   1   0 194   0   0   0]
 [  1   0   1   0   0   0 198   0   0]
 [  0   0   0   0   0   0   0 200   0]
 [  7   0   0   0   0   0   0   0 193]]","109.74210667610168","4.285032749176025"
"43","SpectralNFST","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","SpectralNFST-Q2","0.9918970424014161","-1","-1","99.8395061728395","99.27777777777779","0.09027777777777778","99.30039787604491","99.28052651803921","-1.0","","[[200   0   0   0   0   0   0   0   0]
 [  0 197   0   0   0   3   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   0   0 200   0   0   0   0   0]
 [  1   0   0   0 199   0   0   0   0]
 [  0   1   0   0   0 199   0   0   0]
 [  1   0   0   0   0   0 199   0   0]
 [  1   0   0   0   0   0   0 199   0]
 [  6   0   0   0   0   0   0   0 194]]","109.49146366119385","4.118245601654053"
"44","SpectralNFST","5G_NIDD_1000","-1","l05_exponential_kernel","QuantileTransformer","SpectralNFST-Q2","0.9943939903443432","-1","-1","99.8888888888889","99.5","0.0625","99.5173704128928","99.50125877575331","-1.0","","[[200   0   0   0   0   0   0   0   0]
 [  0 200   0   0   0   0   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  3   0   0 197   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 200   0]
 [  5   0   0   0   0   0   0   1 194]]","109.4518940448761","4.170308351516724"
"42","SpectralNFST","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","SpectralNFST-Q2","0.9946054145426285","-1","-1","99.85177865612648","99.52678571428572","0.08893280632411067","99.31741159920712","99.41435452911135","-1.0","","[[200   0   0   0   0   0]
 [  1 399   0   0   0   0]
 [  0   0 400   0   0   0]
 [  0   0   0 400   0   0]
 [  4   0   1   0 395   0]
 [  3   0   0   0   0 221]]","139.7268705368042","2.3742992877960205"
"43","SpectralNFST","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","SpectralNFST-Q2","0.989836378931998","-1","-1","99.72002635046113","99.1190476190476","0.16798418972332016","98.68427514118349","98.87726160016453","-1.0","","[[199   0   0   0   0   1]
 [  2 398   0   0   0   0]
 [  0   0 400   0   0   0]
 [  0   0   0 400   0   0]
 [ 10   0   0   0 390   0]
 [  4   0   0   0   0 220]]","138.53805923461914","2.2556121349334717"
"44","SpectralNFST","BoT_IoT_1000","-1","l05_exponential_kernel","QuantileTransformer","SpectralNFST-Q2","0.997598778403156","-1","-1","99.93412384716733","99.80059523809524","0.039525691699604744","99.67320261437908","99.73506738859894","-1.0","","[[200   0   0   0   0   0]
 [  1 399   0   0   0   0]
 [  0   0 400   0   0   0]
 [  0   0   0 400   0   0]
 [  2   0   0   0 398   0]
 [  1   0   0   0   0 223]]","139.49436235427856","2.2623884677886963"
"42","SpectralNFST","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","SpectralNFST-Q2","0.9657661749251808","-1","-1","99.2","96.06666666666666","0.48","96.01491976712819","96.01702298424021","-1.0","","[[186   0   0   0   9   5]
 [  0 999   0   1   0   0]
 [  0   0 199   1   0   0]
 [  1   0   0 199   0   0]
 [ 15   0   0   0 175  10]
 [  2   0   0   0   4 194]]","152.17058324813843","4.826594591140747"
"43","SpectralNFST","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","SpectralNFST-Q2","0.9600553286497978","-1","-1","99.06666666666666","95.4","0.5599999999999999","95.34431522023854","95.34753843951651","-1.0","","[[185   0   0   0  11   4]
 [  0 999   0   1   0   0]
 [  0   0 200   0   0   0]
 [  0   0   0 200   0   0]
 [ 16   0   0   0 171  13]
 [  6   0   0   0   5 189]]","146.3932294845581","4.468989849090576"
"44","SpectralNFST","CIC_IoT2023_1000","-1","l05_exponential_kernel","QuantileTransformer","SpectralNFST-Q2","0.9679308405081881","-1","-1","99.25","96.25","0.44999999999999996","96.60523495676004","96.36567921699411","-1.0","","[[ 195    0    0    0    2    3]
 [   0 1000    0    0    0    0]
 [   0    0  200    0    0    0]
 [   0    4    0  196    0    0]
 [  13    0    0    0  175   12]
 [   7    0    0    0    4  189]]","170.37357807159424","7.182705879211426"
"42","SpectralNFST","Edge_IIoTset_1000","-1","l05_exponential_kernel","QuantileTransformer","SpectralNFST-Q2","0.7520691631467141","-1","-1","96.8711111111111","76.53333333333332","1.6761904761904762","76.80291418862939","74.51568697826013","-1.0","","[[ 29   1   0   0   0   0   2   0  80   1  25   0   1   0  61]
 [  1 184   0   0   0   0   4   6   5   0   0   0   0   0   0]
 [  0   0 161   0   0   0   0   1  10   0   2  13   1   0  12]
 [  1   0   0 199   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [ 41   8   0   0   0   0  29  16  21  42  15   0   3   0  25]
 [  0   0   3   0   0   0   0 197   0   0   0   0   0   0   0]
 [  0   0  15   0   0   0   0   0 162   0   2  13   2   0   6]
 [  0   0   0   0   0   0   4   5  35 103  50   0   0   0   3]
 [  2   0   0   0   0   0   6  18   4   4 164   0   1   0   1]
 [  0   0  19   0   0   0   0   0   9   0   1 161   1   0   9]
 [  0   0   7   0   0   0   0   0   6   1   3   7 166   0  10]
 [  0   0   2   0   0   0   0   0   0   0   1   7   1 188   1]
 [  0   0  12   0   0   0   0  12  12   0   2   7   2   0 153]]","491.808926820755","13.531576156616211"
"43","SpectralNFST","Edge_IIoTset_1000","-1","l05_exponential_kernel","QuantileTransformer","SpectralNFST-Q2","0.7343232614324583","-1","-1","96.64888888888889","74.86666666666667","1.7952380952380953","75.60034342173635","73.64879583479343","-1.0","","[[ 31   2   0   0   0   0   6   1  94   2  60   2   1   0   1]
 [  1 186   0   0   0   0   4   4   4   0   1   0   0   0   0]
 [  6   1 140   0   0   0   0   0   6   0   3  16  21   1   6]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [ 55   4   0   0   0   0  30  17  33  17  37   0   6   0   1]
 [  0   0   0   0   0   0   0 197   0   0   0   3   0   0   0]
 [  4   0   6   0   0   0   0   2 163   0   2  13   5   0   5]
 [ 21   0   0   0   0   0  16   6  52 100   5   0   0   0   0]
 [  4   2   0   0   0   0   8  18  10   2 156   0   0   0   0]
 [  1   0  12   0   0   0   0   0  11   1   8 158   5   0   4]
 [  1   0  20   0   0   0   0   0  13   0   4   3 153   0   6]
 [  0   0   3   0   0   0   0   1   5   0   3   2   1 184   1]
 [  1   0   7   0   0   0   1  10  12   0   4   6  11   0 148]]","504.2637414932251","9.759907484054565"
"44","SpectralNFST","Edge_IIoTset_1000","-1","l05_exponential_kernel","QuantileTransformer","SpectralNFST-Q2","0.7214358674605588","-1","-1","96.44","73.29999999999998","1.9071428571428573","78.96909365446993","71.33220989167089","-1.0","","[[  8   0  97   0   0   0   0   0  79   0   4   4   8   0   0]
 [  0 187   3   0   0   0   1   6   2   1   0   0   0   0   0]
 [  0   0 140   0   0   0   0   0  35   0   0  15   3   2   5]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [  4   3  45   0   0   0  18  19  60  25   6   0  19   0   1]
 [  0   0   0   0   0   0   0 193   0   0   0   7   0   0   0]
 [  0   0   9   0   0   0   0   0 153   2   0  26   5   0   5]
 [  1   0  68   0   0   0   0   7  29  95   0   0   0   0   0]
 [  1   0   5   0   0   0   0  12   6   5 169   1   1   0   0]
 [  0   0  15   0   0   0   0   0  12   0   0 169   2   0   2]
 [  1   0  28   0   0   0   1   0  17   0   2   4 138   0   9]
 [  0   0   5   0   0   0   0   0   5   0   0   5   1 184   0]
 [  1   0  11   0   0   0   0  13  15   1   0   9   5   0 145]]","459.86121916770935","9.70126724243164"
"42","SpectralNFST","IoTID20_2000","-1","l05_exponential_kernel","QuantileTransformer","SpectralNFST-Q2","0.8501389559418457","-1","-1","95.19999999999999","88.00000000000001","3.0","88.20505075397087","88.0755113976772","-1.0","","[[389   0   4   7   0]
 [  1 386   0  13   0]
 [  4   0 323  30  43]
 [  1   0  38 341  20]
 [  4   0  58  17 321]]","178.24011421203613","8.482046365737915"
"43","SpectralNFST","IoTID20_2000","-1","l05_exponential_kernel","QuantileTransformer","SpectralNFST-Q2","0.8896716993808618","-1","-1","96.46000000000001","91.14999999999999","2.2125","91.32675621843485","91.177095716595","-1.0","","[[392   0   2   2   4]
 [  1 393   0   0   6]
 [  7   0 350  18  25]
 [  7   0  30 339  24]
 [  3   0  43   5 349]]","178.47405314445496","8.517010688781738"
"44","SpectralNFST","IoTID20_2000","-1","l05_exponential_kernel","QuantileTransformer","SpectralNFST-Q2","0.7918007404873542","-1","-1","93.32000000000001","83.3","4.175","83.76530088405107","83.4404286167661","-1.0","","[[388   0   8   3   1]
 [  1 390   3   6   0]
 [  2   0 240  13 145]
 [  4   0  42 345   9]
 [  1   0  84  12 303]]","177.93310260772705","8.516737222671509"
"42","SpectralNFST","N_BaIoT_1000","-1","l05_exponential_kernel","QuantileTransformer","SpectralNFST-Q2","0.990675223003101","-1","-1","99.81481481481481","99.16666666666667","0.10416666666666667","99.2248062015504","99.17701233873605","-1.0","","[[200   0   0   0   0   0   0   0   0]
 [  0 200   0   0   0   0   0   0   0]
 [  5   0 195   0   0   0   0   0   0]
 [  1   0   0 199   0   0   0   0   0]
 [  2   0   0   0 198   0   0   0   0]
 [  1   0   0   0   0 199   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 200   0]
 [  6   0   0   0   0   0   0   0 194]]","141.24239802360535","9.880753993988037"
