Data Type,Poly,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
BoT_IoT_1000,-1,rbf,QuantileTransformer,SpectralNFST-Q2,0.9843741303734814,-1,-1,99.57180500658761,98.38690476190476,0.25691699604743085,98.72364439442424,98.54995263742087,-1.0,,"[[192   1   1   5   1   0]
 [  1 396   0   0   1   2]
 [  0   2 397   0   1   0]
 [  0   0   0 400   0   0]
 [  0   0   3   2 395   0]
 [  2   0   0   0   4 218]]",139.04891562461853,0.20822381973266602
CIC_IoT2023_1000,-1,rbf,QuantileTransformer,SpectralNFST-Q2,0.7170250879851375,-1,-1,93.35,68.41666666666667,3.9899999999999998,67.51581398651703,67.55452504423344,-1.0,,"[[ 84   1   0   0  50  65]
 [  0 975  24   1   0   0]
 [  0   0 199   1   0   0]
 [  0   7  12 181   0   0]
 [ 56   2   2   0  54  86]
 [ 32   3   4   0  53 108]]",123.99434852600098,0.17954277992248535
ToN_IoT_1000,-1,rbf,QuantileTransformer,SpectralNFST-Q2,0.8980807062918773,-1,-1,97.78645833333334,91.40625,1.2648809523809523,89.828069737782,90.12584156212174,-1.0,,"[[174   3   0   3   7   7   4   2]
 [  0 108   2   6   0   0   0   4]
 [  0   4 186   3   0   5   0   2]
 [  2   3   0 194   0   0   1   0]
 [  3   7   0   2 176   3   2   7]
 [  1   0   0   0   0 397   2   0]
 [  3   1   0   3   0   0 193   0]
 [  0  52  12   2   4   4   4 322]]",92.90442538261414,0.16483640670776367
ToN_IoT_2000,-1,rbf,QuantileTransformer,SpectralNFST-Q2,0.8858272915359257,-1,-1,97.54211543772439,90.37775364903689,1.404505464157494,88.97796040482324,89.13473626889997,-1.0,,"[[277   3   5   7  11  78  15   4]
 [  0 223   0   0   2   1   3  10]
 [  1  11 365   1   2   2  15   3]
 [  2   1   0 395   2   0   0   0]
 [  1   1   2   7 193   1   5   0]
 [ 11   0   1   0   0 785   3   0]
 [  1   0   0   4   3   2 362   0]
 [  4  72  27   4  10   7  11 665]]",671.3417384624481,1.6662583351135254
UNSW_NB15_1000,-1,rbf,QuantileTransformer,SpectralNFST-Q2,0.2966989248049588,-1,-1,84.7212543554007,37.82142857142857,8.730711796913887,36.04120749393782,36.2418135442152,-1.0,,"[[195   1   2   0   0   0   1   1]
 [  0  58  31  38  25  34  14   0]
 [  0  32  23  29  33  37  34  12]
 [  1  18  25  27  59  21  18  31]
 [  0  24  31  34  52  34  17   8]
 [  1   9  13  27  29  82  31   8]
 [  0   5  16  14  19  16 111  19]
 [  0   0   4   4   9   3   5  10]]",71.67533349990845,0.20392346382141113
IoTID20_1000,-1,rbf,QuantileTransformer,SpectralNFST-Q2,0.6192388905530515,-1,-1,83.0,74.5,12.75,75.20837907508152,74.67875760374817,-1.0,,"[[117   0  83]
 [  0 192   8]
 [ 62   0 138]]",6.7705419063568115,0.0425417423248291
IoTID20_2000,-1,rbf,QuantileTransformer,SpectralNFST-Q2,0.43292695075964144,-1,-1,81.69999999999999,54.25,11.4375,55.288063810872835,53.54065140748079,-1.0,,"[[226   0  21  79  74]
 [  7 385   0   0   8]
 [ 65   0  86 117 132]
 [ 65   1  22 223  89]
 [ 70   0  53 112 165]]",164.12425756454468,0.3446958065032959
N_BaIoT_1000,-1,rbf,QuantileTransformer,SpectralNFST-Q2,0.9319329240200557,-1,-1,98.65432098765432,93.94444444444443,0.7569444444444444,94.08589692976942,93.99485209163798,-1.0,,"[[192   1   0   0   2   0   0   5   0]
 [  0 197   0   0   0   0   0   1   2]
 [  0   0 194   2   0   1   0   0   3]
 [  0   0   0 199   0   0   1   0   0]
 [  1   0   0   0 196   0   2   1   0]
 [  0   0   0   0   0 200   0   0   0]
 [  0   0   0   0   0   0 163  37   0]
 [  0   0   0   0   0   0  49 151   0]
 [  0   1   0   0   0   0   0   0 199]]",123.57197546958923,0.14870929718017578
Edge_IIoTset_1000,-1,rbf,QuantileTransformer,SpectralNFST-Q2,0.46826414105487374,-1,-1,93.36,50.2,3.5571428571428574,47.498521694008225,47.61700971674948,-1.0,,"[[ 72  17   6  10   0   0  11   0  16  10  18   3  11  11  15]
 [  2 133   6   0   0   0   4   9   8   8  15   3   6   3   3]
 [  4  17  48   1   0   0   1   0  31   9  14  19  23  12  21]
 [  0  10   0 171   0   0   5   5   0   1   7   0   0   0   1]
 [  0   0   0   0 200   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [  0  25  20  24   0   0  14  33   1  29  20   0   2   1  31]
 [  0   0   3   0   0   0   0 197   0   0   0   0   0   0   0]
 [ 11  22  18  10   0   0   5   0  30  14   9  14  27  23  17]
 [  0  30   4   9   0   0  17   9  10  69  18   4   8  10  12]
 [  1  13   6   2   0   0   1  24   0   6 137   1   7   0   2]
 [  1   8  41  10   0   0  14   0  29  11   9  35  17   8  17]
 [  8  11  18  10   0   0  12   0  31  15  23   9  37   6  20]
 [  2   3   5  11   0   0   1   0   9   8   6   6   3 145   1]
 [  2  22  23   6   0   0  11  12  36   4  16  15  22  13  18]]",387.1038348674774,0.481839656829834
5G_NIDD_1000,-1,rbf,QuantileTransformer,SpectralNFST-Q2,0.9129216896999068,-1,-1,98.27160493827161,92.22222222222223,0.9722222222222222,92.56559038661187,92.23301652951734,-1.0,,"[[166   0   0   0   0   2   1  30   1]
 [  0 161   0   0   0  39   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  0   0   0 198   0   2   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   7   0   0   0 192   1   0   0]
 [  1   0   1   0   0   0 198   0   0]
 [ 48   0   0   0   0   0   0 152   0]
 [  0   0   0   0   0   0   1   6 193]]",96.80171084403992,0.28704357147216797
