Data Type,Poly,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
5G_NIDD_1000,-1,laplacian,QuantileTransformer,SpectralNFST-Q1,0.9869126953020015,-1,-1,99.74074074074075,98.83333333333333,0.14583333333333334,98.87002177838617,98.83699849163708,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  4 195   0   0   0   1   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  2   0   0 198   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   8   0   0   0 192   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 200   0]
 [  5   0   1   0   0   0   0   0 194]]",121.65999579429626,0.2900886535644531
5G_NIDD_1000,-1,laplacian,QuantileTransformer,SpectralNFST-Q2,0.9850359134223606,-1,-1,99.70370370370371,98.66666666666669,0.16666666666666669,98.70040540724854,98.66975963924254,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  5 192   0   0   0   3   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  2   0   0 198   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   8   0   0   0 192   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 200   0]
 [  5   0   1   0   0   0   0   0 194]]",110.88847994804382,0.17266559600830078
5G_NIDD_1000,-1,laplacian,QuantileTransformer,SpectralNFST-Q3,0.9850359134223606,-1,-1,99.70370370370371,98.66666666666669,0.16666666666666669,98.70040540724854,98.66975963924254,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  5 192   0   0   0   3   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  2   0   0 198   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   8   0   0   0 192   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 200   0]
 [  5   0   1   0   0   0   0   0 194]]",124.40198636054993,0.2888922691345215
5G_NIDD_1000,-1,laplacian,QuantileTransformer,SpectralNFST-Q5,0.9850359134223606,-1,-1,99.70370370370371,98.66666666666669,0.16666666666666669,98.70040540724854,98.66975963924254,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  5 192   0   0   0   3   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  2   0   0 198   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   8   0   0   0 192   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 200   0]
 [  5   0   1   0   0   0   0   0 194]]",125.0042154788971,0.2870514392852783
5G_NIDD_1000,-1,laplacian,StandardScaler,SpectralNFST-Q1,0.9906373830446826,-1,-1,99.81481481481481,99.16666666666667,0.10416666666666667,99.17586386104531,99.16644461026642,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  5 193   0   0   0   2   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  2   0   0 198   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   4   0   0   0 196   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 200   0]
 [  0   0   1   0   0   0   0   1 198]]",124.60861158370972,0.2871382236480713
5G_NIDD_1000,-1,laplacian,StandardScaler,SpectralNFST-Q2,0.9900123752320361,-1,-1,99.80246913580247,99.1111111111111,0.1111111111111111,99.12031685118359,99.11089116433538,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  4 193   0   0   0   2   0   1   0]
 [  0   0 200   0   0   0   0   0   0]
 [  2   0   0 198   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   5   0   0   0 195   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 200   0]
 [  1   0   1   0   0   0   0   0 198]]",126.73481488227844,0.28603076934814453
5G_NIDD_1000,-1,laplacian,StandardScaler,SpectralNFST-Q3,0.9912654886442661,-1,-1,99.82716049382717,99.22222222222223,0.09722222222222222,99.2356329272788,99.22293651607892,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  5 193   0   0   0   2   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  2   0   0 198   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   3   0   0   0 197   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 200   0]
 [  1   0   1   0   0   0   0   0 198]]",109.43241763114929,0.2917017936706543
5G_NIDD_1000,-1,laplacian,StandardScaler,SpectralNFST-Q5,0.9912654886442661,-1,-1,99.82716049382717,99.22222222222223,0.09722222222222222,99.2356329272788,99.22293651607892,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  5 193   0   0   0   2   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  2   0   0 198   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   3   0   0   0 197   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 200   0]
 [  1   0   1   0   0   0   0   0 198]]",119.12724709510803,0.17544984817504883
5G_NIDD_1000,-1,l05_exponential_kernel,QuantileTransformer,SpectralNFST-Q1,0.9888021881593767,-1,-1,99.77777777777777,99.0,0.125,99.04354904354905,99.00119261439113,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  0 200   0   0   0   0   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  2   0   0 198   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0  10   0   0   0 190   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 200   0]
 [  6   0   0   0   0   0   0   0 194]]",142.67886424064636,3.746487617492676
5G_NIDD_1000,-1,l05_exponential_kernel,QuantileTransformer,SpectralNFST-Q2,0.9881682333059564,-1,-1,99.76543209876543,98.94444444444446,0.13194444444444445,98.97917731616359,98.94473119264256,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  0 199   0   0   0   1   0   0   0]
 [  0   0 200   0   0   0   0   0   0]
 [  2   0   0 198   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0  10   0   0   0 190   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   0   0   0 200   0]
 [  5   0   0   0   0   0   0   1 194]]",142.94507908821106,4.580782175064087
