Data Type,Poly,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
BoT_IoT_1000,-1,rbf,QuantileTransformer,SpectralNFST-Q1,0.931009140149148,-1,-1,98.05555555555556,94.16666666666667,1.1666666666666667,94.50520239993926,94.05928308367334,-1.0,,"[[16  0  1  2  0  1]
 [ 0 18  1  0  0  1]
 [ 0  0 20  0  0  0]
 [ 0  0  0 20  0  0]
 [ 0  0  0  0 20  0]
 [ 0  1  0  0  0 19]]",0.13294124603271484,0.003855466842651367
BoT_IoT_1000,-1,rbf,QuantileTransformer,SpectralNFST-Q2,0.9501583729276653,-1,-1,98.61111111111111,95.83333333333334,0.8333333333333334,95.90852130325814,95.83124869710234,-1.0,,"[[19  0  0  0  1  0]
 [ 0 18  1  0  0  1]
 [ 0  0 19  0  0  1]
 [ 0  0  0 20  0  0]
 [ 0  0  0  0 20  0]
 [ 0  1  0  0  0 19]]",0.1390063762664795,0.0
BoT_IoT_1000,-1,rbf,QuantileTransformer,SpectralNFST-Q3,0.9403919116284516,-1,-1,98.33333333333333,95.0,1.0,95.22309561783246,95.013616749817,-1.0,,"[[18  0  0  0  0  2]
 [ 0 18  1  0  0  1]
 [ 0  0 19  0  1  0]
 [ 0  0  0 20  0  0]
 [ 0  0  0  0 20  0]
 [ 0  1  0  0  0 19]]",0.17679119110107422,0.0
BoT_IoT_1000,-1,rbf,StandardScaler,SpectralNFST-Q1,0.9704044194463809,-1,-1,99.16666666666667,97.5,0.5,97.6911976911977,97.49530173150198,-1.0,,"[[18  0  0  2  0  0]
 [ 0 19  1  0  0  0]
 [ 0  0 20  0  0  0]
 [ 0  0  0 20  0  0]
 [ 0  0  0  0 20  0]
 [ 0  0  0  0  0 20]]",0.11921977996826172,0.007006168365478516
BoT_IoT_1000,-1,rbf,StandardScaler,SpectralNFST-Q2,0.9129719963557721,-1,-1,97.5,92.5,1.5,93.80536130536132,92.40322550424852,-1.0,,"[[14  0  0  6  0  0]
 [ 0 19  1  0  0  0]
 [ 0  0 20  0  0  0]
 [ 0  0  0 20  0  0]
 [ 0  0  0  0 19  1]
 [ 0  0  1  0  0 19]]",0.12331461906433105,0.0026848316192626953
BoT_IoT_1000,-1,rbf,StandardScaler,SpectralNFST-Q3,0.9407843138619401,-1,-1,98.33333333333333,95.0,1.0,95.36576949620428,94.98533679191648,-1.0,,"[[17  0  0  3  0  0]
 [ 0 19  1  0  0  0]
 [ 0  0 20  0  0  0]
 [ 0  0  0 20  0  0]
 [ 0  0  0  0 19  1]
 [ 0  1  0  0  0 19]]",0.10591602325439453,0.009882211685180664
BoT_IoT_1000,-1,rbf,RobustScaler,SpectralNFST-Q1,0.8303043607681431,-1,-1,95.0,85.0,3.0,90.35714285714285,85.85371482430307,-1.0,,"[[17  0  0  0  0  3]
 [ 0 17  0  0  0  3]
 [ 0  0 19  0  0  1]
 [ 1  0  0 15  0  4]
 [ 2  0  0  0 14  4]
 [ 0  0  0  0  0 20]]",0.10815930366516113,0.0
BoT_IoT_1000,-1,rbf,RobustScaler,SpectralNFST-Q2,0.8225717412532613,-1,-1,94.72222222222221,84.16666666666667,3.166666666666667,90.49049049049049,85.29683018847103,-1.0,,"[[16  0  0  0  0  4]
 [ 0 17  0  0  0  3]
 [ 0  0 19  0  0  1]
 [ 0  0  0 15  0  5]
 [ 2  0  0  0 14  4]
 [ 0  0  0  0  0 20]]",0.12123894691467285,0.013814926147460938
BoT_IoT_1000,-1,rbf,RobustScaler,SpectralNFST-Q3,0.8259406050010596,-1,-1,95.0,85.0,3.0,88.05602617391042,85.31538455856963,-1.0,,"[[16  0  0  0  0  4]
 [ 0 17  1  0  0  2]
 [ 0  0 19  0  1  0]
 [ 0  4  0 15  0  1]
 [ 1  0  0  0 15  4]
 [ 0  0  0  0  0 20]]",0.134901762008667,0.0020079612731933594
BoT_IoT_1000,-1,laplacian,QuantileTransformer,SpectralNFST-Q1,0.9801633741780126,-1,-1,99.44444444444444,98.33333333333334,0.33333333333333337,98.41269841269842,98.33229101521785,-1.0,,"[[20  0  0  0  0  0]
 [ 0 19  0  0  0  1]
 [ 1  0 19  0  0  0]
 [ 0  0  0 20  0  0]
 [ 0  0  0  0 20  0]
 [ 0  0  0  0  0 20]]",0.10257792472839355,0.0
