Data Type,Poly,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
BoT_IoT_1000,-1,laplacian,QuantileTransformer,SpectralNFST-Q1,0.9831237175188381,-1,-1,99.52777777777779,98.58333333333333,0.2833333333333333,98.67551483830553,98.6003795810999,-1.0,,"[[199   0   0   0   0   1]
 [  6 194   0   0   0   0]
 [  0   0 200   0   0   0]
 [  6   0   0 194   0   0]
 [  1   0   0   0 199   0]
 [  3   0   0   0   0 197]]",24.01545524597168,0.04900407791137695
BoT_IoT_1000,-1,laplacian,QuantileTransformer,SpectralNFST-Q2,0.9821113122567744,-1,-1,99.5,98.5,0.3,98.58638566348846,98.51691058470459,-1.0,,"[[198   0   0   0   1   1]
 [  6 194   0   0   0   0]
 [  0   0 200   0   0   0]
 [  6   0   0 194   0   0]
 [  1   0   0   0 199   0]
 [  3   0   0   0   0 197]]",24.358850717544556,0.050286293029785156
BoT_IoT_1000,-1,laplacian,QuantileTransformer,SpectralNFST-Q3,0.9821113122567744,-1,-1,99.5,98.5,0.3,98.58638566348846,98.51691058470459,-1.0,,"[[198   0   0   0   1   1]
 [  6 194   0   0   0   0]
 [  0   0 200   0   0   0]
 [  6   0   0 194   0   0]
 [  1   0   0   0 199   0]
 [  3   0   0   0   0 197]]",24.53847336769104,0.04950833320617676
BoT_IoT_1000,-1,laplacian,QuantileTransformer,SpectralNFST-Q5,0.9811071100395882,-1,-1,99.47222222222221,98.41666666666667,0.31666666666666665,98.50219788832031,98.43423045588136,-1.0,,"[[198   0   0   0   1   1]
 [  4 196   0   0   0   0]
 [  0   0 200   0   0   0]
 [  5   0   1 194   0   0]
 [  4   0   0   0 196   0]
 [  3   0   0   0   0 197]]",24.196470499038696,0.05024600028991699
BoT_IoT_1000,-1,laplacian,StandardScaler,SpectralNFST-Q1,0.9711521590916538,-1,-1,99.19444444444444,97.58333333333334,0.48333333333333334,97.6569757262101,97.58240152414439,-1.0,,"[[188   1   0   4   0   7]
 [  2 194   0   2   0   2]
 [  0   0 200   0   0   0]
 [  0   0   1 199   0   0]
 [  2   0   1   3 191   3]
 [  0   0   0   1   0 199]]",23.75910258293152,0.050000667572021484
BoT_IoT_1000,-1,laplacian,StandardScaler,SpectralNFST-Q2,0.9515369769595039,-1,-1,98.63888888888889,95.91666666666669,0.8166666666666665,96.16231942906293,95.91248442514426,-1.0,,"[[174   4   1  19   1   1]
 [  1 193   2   4   0   0]
 [  0   0 200   0   0   0]
 [  1   0   0 199   0   0]
 [  3   3   1   6 187   0]
 [  1   0   1   0   0 198]]",24.40590190887451,0.04920148849487305
BoT_IoT_1000,-1,laplacian,StandardScaler,SpectralNFST-Q3,0.9691001455228235,-1,-1,99.13888888888889,97.41666666666666,0.5166666666666666,97.43627994019813,97.40152285565573,-1.0,,"[[182   2   1   8   6   1]
 [  1 194   1   0   4   0]
 [  0   0 200   0   0   0]
 [  3   0   0 197   0   0]
 [  2   0   0   0 198   0]
 [  1   0   0   0   1 198]]",24.115140438079834,0.0485079288482666
BoT_IoT_1000,-1,laplacian,StandardScaler,SpectralNFST-Q5,0.9594182376093736,-1,-1,98.86111111111111,96.58333333333333,0.6833333333333333,96.78815261970914,96.58575552621028,-1.0,,"[[178   1   0  18   2   1]
 [  1 194   0   3   2   0]
 [  0   0 200   0   0   0]
 [  0   0   0 200   0   0]
 [  1   6   0   3 190   0]
 [  0   0   0   1   2 197]]",24.400878429412842,0.05112576484680176
BoT_IoT_1000,-1,l05_exponential_kernel,QuantileTransformer,SpectralNFST-Q1,0.9850960515477672,-1,-1,99.58333333333333,98.75,0.25,98.82036325698297,98.76239136514799,-1.0,,"[[199   0   0   0   0   1]
 [  6 194   0   0   0   0]
 [  0   0 200   0   0   0]
 [  5   0   0 195   0   0]
 [  0   0   0   0 200   0]
 [  3   0   0   0   0 197]]",26.799270391464233,0.8064398765563965
BoT_IoT_1000,-1,l05_exponential_kernel,QuantileTransformer,SpectralNFST-Q2,0.9850960515477672,-1,-1,99.58333333333333,98.75,0.25,98.82036325698297,98.76239136514799,-1.0,,"[[199   0   0   0   0   1]
 [  6 194   0   0   0   0]
 [  0   0 200   0   0   0]
 [  5   0   0 195   0   0]
 [  0   0   0   0 200   0]
 [  3   0   0   0   0 197]]",27.20431923866272,0.7867839336395264
BoT_IoT_1000,-1,l05_exponential_kernel,QuantileTransformer,SpectralNFST-Q3,0.9850960515477672,-1,-1,99.58333333333333,98.75,0.25,98.82036325698297,98.76239136514799,-1.0,,"[[199   0   0   0   0   1]
 [  6 194   0   0   0   0]
 [  0   0 200   0   0   0]
 [  5   0   0 195   0   0]
 [  0   0   0   0 200   0]
 [  3   0   0   0   0 197]]",27.206411361694336,0.7832317352294922
BoT_IoT_1000,-1,l05_exponential_kernel,QuantileTransformer,SpectralNFST-Q5,0.9850960515477672,-1,-1,99.58333333333333,98.75,0.25,98.82036325698297,98.76239136514799,-1.0,,"[[199   0   0   0   0   1]
 [  6 194   0   0   0   0]
 [  0   0 200   0   0   0]
 [  5   0   0 195   0   0]
 [  0   0   0   0 200   0]
 [  3   0   0   0   0 197]]",27.10589909553528,0.7896006107330322
