Data Type,Poly,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
CIC_IoT2023_1000,-1,rbf,QuantileTransformer,SpectralNFST-Q1,0.7294365811029938,-1,-1,92.44444444444444,77.33333333333334,4.533333333333333,77.45152816212077,77.11235278467142,-1.0,,"[[ 98   0   0   0  58  44]
 [  0 187   1   9   0   3]
 [  0   0 196   4   0   0]
 [  0   0   1 197   0   2]
 [ 45   0   0   0  99  56]
 [ 34   0   0   0  15 151]]",63.58018207550049,0.1324291229248047
CIC_IoT2023_1000,-1,rbf,QuantileTransformer,SpectralNFST-Q2,0.780494469795922,-1,-1,93.88888888888889,81.66666666666667,3.6666666666666665,82.15833711847168,81.7964752561347,-1.0,,"[[136   0   0   1  54   9]
 [  0 189   5   3   3   0]
 [  0   0 199   1   0   0]
 [  0   0   9 191   0   0]
 [ 46   0   0   4 124  26]
 [ 13   0   0   2  44 141]]",63.42331409454346,0.11709380149841309
CIC_IoT2023_1000,-1,rbf,QuantileTransformer,SpectralNFST-Q3,0.7945809185762823,-1,-1,94.27777777777779,82.83333333333333,3.4333333333333336,83.07832556341383,82.81118690792889,-1.0,,"[[144   2   0   0  43  11]
 [  0 194   2   4   0   0]
 [  0   1 198   1   0   0]
 [  0   2   4 194   0   0]
 [ 41   3   0   2 132  22]
 [ 17   1   0   3  47 132]]",80.04561281204224,0.24926996231079102
CIC_IoT2023_1000,-1,rbf,QuantileTransformer,SpectralNFST-Q5,0.7641936202454673,-1,-1,93.44444444444444,80.33333333333333,3.933333333333333,80.15267079767249,80.19665889979039,-1.0,,"[[133   2   0   1  37  27]
 [  0 196   2   2   0   0]
 [  0   0 196   4   0   0]
 [  0   4   3 192   0   1]
 [ 37   5   0   0 127  31]
 [ 34   3   0   0  43 120]]",64.90043139457703,0.17203402519226074
CIC_IoT2023_1000,-1,rbf,StandardScaler,SpectralNFST-Q1,0.6373676547185813,-1,-1,89.91666666666667,69.74999999999999,6.05,69.54819228431117,69.58312496144251,-1.0,,"[[ 84   0   1   0  60  55]
 [  0 197   2   1   0   0]
 [  0   2 196   2   0   0]
 [  0   6   2 192   0   0]
 [ 65   0   1   0  69  65]
 [ 59   0   1   0  41  99]]",76.58163475990295,0.12154030799865723
CIC_IoT2023_1000,-1,rbf,StandardScaler,SpectralNFST-Q2,0.6314690399579473,-1,-1,89.75,69.25,6.15,68.80713339815762,68.94931013844707,-1.0,,"[[ 80   0   3   0  57  60]
 [  0 197   2   1   0   0]
 [  0   0 198   2   0   0]
 [  1   2   0 196   0   1]
 [ 67   0   1   0  63  69]
 [ 49   0   5   0  49  97]]",64.03380417823792,0.36717867851257324
CIC_IoT2023_1000,-1,rbf,StandardScaler,SpectralNFST-Q3,0.6460555479775341,-1,-1,90.13888888888889,70.41666666666666,5.916666666666667,70.17678668300559,70.11583515489646,-1.0,,"[[ 59   0   0   1  87  53]
 [  0 197   1   2   0   0]
 [  0   2 196   2   0   0]
 [  1   2   1 196   0   0]
 [ 46   0   0   0  85  69]
 [ 44   0   0   0  44 112]]",62.11618947982788,0.24164414405822754
CIC_IoT2023_1000,-1,rbf,StandardScaler,SpectralNFST-Q5,0.7067353874034051,-1,-1,91.83333333333333,75.49999999999999,4.9,75.21342398967775,75.21541695392013,-1.0,,"[[ 86   0   1   1  56  56]
 [  0 198   1   1   0   0]
 [  0   0 199   1   0   0]
 [  0   1   5 193   0   1]
 [ 45   0   2   1 102  50]
 [ 35   0   0   2  35 128]]",240.63225722312927,0.20165801048278809
CIC_IoT2023_1000,-1,rbf,RobustScaler,SpectralNFST-Q1,0.5623256813994277,-1,-1,87.75,63.24999999999999,7.35,61.7925493818351,61.80049607686628,-1.0,,"[[ 37   5   0   5  81  72]
 [  0 194   0   6   0   0]
 [  0   3 196   1   0   0]
 [  0  14   2 184   0   0]
 [ 24   5   0  19  60  92]
 [ 37   3   0   5  67  88]]",22.625359773635864,0.05812358856201172
CIC_IoT2023_1000,-1,rbf,RobustScaler,SpectralNFST-Q2,0.5968591006212246,-1,-1,88.77777777777777,66.33333333333333,6.7333333333333325,64.47061233625094,65.19983518462435,-1.0,,"[[ 56   7   3   4  66  64]
 [  0 200   0   0   0   0]
 [  0   4 195   1   0   0]
 [  0   8   2 189   0   1]
 [ 73  15   4   1  57  50]
 [ 46   7   1   0  47  99]]",24.812455415725708,0.06972765922546387
CIC_IoT2023_1000,-1,rbf,RobustScaler,SpectralNFST-Q3,0.6074794955031214,-1,-1,89.05555555555556,67.16666666666666,6.566666666666666,65.9314213125119,66.2322215504268,-1.0,,"[[ 67   1   5   7  59  61]
 [  0 198   0   0   1   1]
 [  0   1 196   2   1   0]
 [  0  10  12 176   1   1]
 [ 46   0  13   7  62  72]
 [ 34   0   1   2  56 107]]",25.74209213256836,0.07825779914855957
CIC_IoT2023_1000,-1,rbf,RobustScaler,SpectralNFST-Q5,0.6129379041523774,-1,-1,89.19444444444444,67.58333333333333,6.483333333333334,65.85551848230308,66.33422897944472,-1.0,,"[[ 80   1   7   9  41  62]
 [  2 197   0   1   0   0]
 [  0   0 197   2   0   1]
 [  0  10  10 176   0   4]
 [ 52   0  15  12  52  69]
 [ 47   0   1   1  42 109]]",25.684079885482788,0.07079720497131348
CIC_IoT2023_1000,-1,laplacian,QuantileTransformer,SpectralNFST-Q1,0.9210291663854105,-1,-1,97.80555555555556,93.41666666666667,1.3166666666666667,93.43246708606299,93.41761115931689,-1.0,,"[[179   0   0   0  15   6]
 [  0 197   0   1   2   0]
 [  0   0 199   1   0   0]
 [  0   0   0 199   1   0]
 [ 23   0   0   0 164  13]
 [  4   0   0   0  13 183]]",29.398343324661255,0.2638981342315674
