Data Type,Poly,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
Edge_IIoTset_1000,-1,l05_exponential_kernel,QuantileTransformer,SpectralNFST-Q1,0.5628610676724387,-1,-1,94.41333333333334,58.099999999999994,2.992857142857143,57.69705919957461,56.234215922027175,-1.0,,"[[ 92  83   0   0   0   0   0   1   2   0   1   1  20   0   0]
 [ 95  86   0   0   0   0   2   5   1   1   0   1   9   0   0]
 [ 22   4 152   0   0   0   0   0   2   0   0  14   5   1   0]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [ 52  30   0   0   0   0  43  29   1   9  21   0  10   0   5]
 [ 15  13   0   0   0   0   4 152   0   5   2   0   1   0   8]
 [ 11   8   5   0   0   0   0   0 136   0   0  13  27   0   0]
 [ 88  71   0   0   0   0  20   7   1   0   0   0  13   0   0]
 [ 89  70   1   0   0   0  11  17   1   0   0   1  10   0   0]
 [ 12   3  18   0   0   0   0   0   1   0   0 154  12   0   0]
 [ 23  29   2   0   0   0   0   0   7   0   0   2 137   0   0]
 [  3   2   1   0   0   0   1   0   0   0   0   1   2 190   0]
 [ 97  62  11   0   0   0   0  13   0   0   0   1  15   0   1]]",457.11031794548035,9.914681196212769
Edge_IIoTset_1000,-1,l05_exponential_kernel,QuantileTransformer,SpectralNFST-Q2,0.7239975786938718,-1,-1,96.50222222222223,73.76666666666665,1.8738095238095238,73.83774835903593,71.36334396922818,-1.0,,"[[  0  92   0   0   0   0   0   1   3   0  95   1   5   0   3]
 [  1 182   0   0   0   0   2   5   1   0   5   1   3   0   0]
 [  0   4 155   0   0   0   0   0   1   0  15  15   7   2   1]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [ 46  19   0   0   0   0  27  23   1  10  44   0  10   0  20]
 [  0   0   0   0   0   0   0 199   0   0   0   1   0   0   0]
 [  0   3   6   0   0   0   0   0 158   0   5  17   6   0   5]
 [ 15  19   0   0   0   0   5   7   1  92  47   0  14   0   0]
 [  5   3   1   0   0   0   6  17   1   0 160   1   6   0   0]
 [  0   0  18   0   0   0   0   0   8   0  10 157   3   0   4]
 [  0   7   2   0   0   0   3   0  11   0  11   5 151   0  10]
 [  1   0   1   0   0   0   0   0   2   0   3   6   0 187   0]
 [  0   3  11   0   0   0   0  13   3   0  13   6   6   0 145]]",458.31670475006104,9.8669114112854
Edge_IIoTset_1000,-1,l05_exponential_kernel,QuantileTransformer,SpectralNFST-Q3,0.7695364455290418,-1,-1,97.09333333333333,78.19999999999999,1.5571428571428572,79.70791428538669,77.52290282207332,-1.0,,"[[104   6   0   0   0   0  46  20   1   4  10   0   0   0   9]
 [  0 190   0   0   0   0   2   0   0   1   7   0   0   0   0]
 [  0   1 156   0   0   0   0   0   2   0   0  14   6   1  20]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [ 46  24   0   0   0   0  75   0   0  18  35   0   2   0   0]
 [  1 144   0   0   0   0   0  55   0   0   0   0   0   0   0]
 [  1   0   5   0   0   0   0   4 160   0   0  15   7   0   8]
 [  0   7   0   0   0   0   5   0   0 188   0   0   0   0   0]
 [  0  25   1   0   0   0   6   0   0   5 161   0   2   0   0]
 [  0   0  19   0   0   0   0   0   8   0   0 156   3   0  14]
 [  0   0   2   0   0   0   3   0  12   0   0   5 154   0  24]
 [  0   0   1   0   0   0   0   0   3   1   0   6   0 186   3]
 [  0  13  11   0   0   0   0   0   3   0   0   6   6   0 161]]",458.63965010643005,9.882157802581787
Edge_IIoTset_1000,-1,l05_exponential_kernel,QuantileTransformer,SpectralNFST-Q5,0.7702546280670217,-1,-1,97.09777777777778,78.23333333333335,1.5547619047619048,80.31225433504609,77.46084296084564,-1.0,,"[[ 86   1   0   0   0   0  37  22   1  22  26   0   0   0   5]
 [  0 190   0   0   0   0   1   0   0   1   8   0   0   0   0]
 [  0   0 154   0   0   0   0   0   1   1   0  16   7   2  19]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 200   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0   0   0   0   0   0   0]
 [ 18  24   0   0   0   0  95   5   0  31  25   0   2   0   0]
 [  1 144   0   0   0   0   0  55   0   0   0   0   0   0   0]
 [  2   1   5   0   0   0   1   0 156   1   0  19   6   0   9]
 [  0   7   0   0   0   0   0   0   0 188   5   0   0   0   0]
 [  0  25   0   0   0   0   0   0   0   5 168   0   2   0   0]
 [  0   0  19   0   0   0   0   0   7   0   0 157   2   0  15]
 [  0   0   3   0   0   0   3   0  12   0   0   5 148   0  29]
 [  0   0   1   0   0   0   0   0   3   1   0   6   0 186   3]
 [  0  13  11   0   0   0   0   0   3   0   0   6   3   0 164]]",457.34799218177795,9.814199686050415
Edge_IIoTset_1000,-1,l05_exponential_kernel,StandardScaler,SpectralNFST-Q1,0.39550622223613313,-1,-1,92.20888888888888,41.56666666666666,4.173809523809524,45.67640505388028,39.96028355436961,-1.0,,"[[ 17   0   3   0   0   0   0   1 104   0   0   2  73   0   0]
 [ 16   0   3   0   1   0   1   5  86   1   0   1  86   0   0]
 [  4   0  12   0   0   0   0   0  75   0   0  10  99   0   0]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 184   0   0   0   0   0   0   2  14   0   0]
 [  0   0   0   0   0 198   0   0   0   0   0   0   0   2   0]
 [ 59   0  15   0   5   0  12  22  32   8   0   4  43   0   0]
 [  9   0   1   0   1   0   0 148  20   0   0   3  18   0   0]
 [  8   0   5   0   0   0   0   0  62   0   0  16 106   3   0]
 [ 11   0   3   0   1   0   5   7  48  15   0   0 110   0   0]
 [ 13   0   3   0   0   0   6  17  77   5   0   1  78   0   0]
 [  0   0   5   0   0   0   0   0  28   0   0 127  40   0   0]
 [ 19   0   3   0   1   0   0   0  79   0   0   3  95   0   0]
 [  0   0   1   0   0   0   0   0   2   1   0   3  16 177   0]
 [  5   0   7   0   0   0   0  13  91   0   0   2  82   0   0]]",456.5628297328949,9.878425121307373
Edge_IIoTset_1000,-1,l05_exponential_kernel,StandardScaler,SpectralNFST-Q2,0.5737179176995414,-1,-1,94.59111111111112,59.43333333333334,2.8976190476190475,64.05009103441739,57.53682196176888,-1.0,,"[[ 72   0  34   0   0   0   0   1  74   0   0   4  11   0   4]
 [  3 180   1   0   2   0   0   5   5   1   1   1   0   0   1]
 [  6   0 131   0   0   0   0   0  35   0   0  21   5   1   1]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   1   0   0 181   0   2   0   0  10   0   1   5   0   0]
 [  0   2   0   0   0 198   0   0   0   0   0   0   0   0   0]
 [ 38   3  15   0   7   0   6  22  56  17  12   2  22   0   0]
 [ 18   0  11   0   1   0   0 149  14   0   0   3   2   0   2]
 [ 35   0  30   0   0   0   0   0 104   0   0  16   9   3   3]
 [ 19   0   8   0   0   0   1   7  11 106   5   0  42   0   1]
 [ 45   0  39   0   0   0   0  17  66   5   6   1  20   0   1]
 [  6   0  17   0   0   0   0   0  25   0   0 149   3   0   0]
 [ 11   0  15   0   2   0   2   0  50   0   0   6 113   0   1]
 [  4   0   4   0   0   0   0   0   9   1   0   8   0 174   0]
 [ 36   0  33   0   0   0   0  13  86   0   0   5  13   0  14]]",462.24514269828796,9.610637426376343
Edge_IIoTset_1000,-1,l05_exponential_kernel,StandardScaler,SpectralNFST-Q3,0.6790597930870506,-1,-1,95.9511111111111,69.63333333333334,2.169047619047619,70.01314845178487,67.33226493707559,-1.0,,"[[ 19   0  26   0   0   0   0   1  32   0  61   3  49   0   9]
 [  0 180   0   0   1   0   1   5   1   2   2   1   7   0   0]
 [ 11   0  99   0   0   0   0   0  16   1  10  25  32   1   5]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   1   0   0 181   0   2   0   0  10   2   0   4   0   0]
 [  0   2   0   0   0 198   0   0   0   0   0   0   0   0   0]
 [ 12   1  17   0   8   0   7  22  32  18  33   0  49   0   1]
 [  0   0   0   0   1   0   0 199   0   0   0   0   0   0   0]
 [  6   0   6   0   0   0   0   0 142   0   5  19  12   3   7]
 [  8   0   6   0   0   0   1   7   3 106  14   0  55   0   0]
 [  2   0   0   0   0   0   0  17   3   6 159   1  12   0   0]
 [  3   0  10   0   0   0   0   0  16   1   3 156   9   0   2]
 [  6   0   5   0   1   0   3   0  18   0   4   3 134   0  26]
 [  2   0   4   0   0   0   0   0   5   1   1  12   0 175   0]
 [  5   0   8   0   0   0   0  13  16   1   1   2  20   0 134]]",455.08635449409485,9.930853843688965
Edge_IIoTset_1000,-1,l05_exponential_kernel,StandardScaler,SpectralNFST-Q5,0.6872984142237647,-1,-1,96.03111111111112,70.23333333333333,2.126190476190476,77.76383679756077,68.7116739244775,-1.0,,"[[ 30   0  20   0   0   0   2   0  72   3   9   7  47   0  10]
 [  0 184   0   0   2   0   0   0   0   1  13   0   0   0   0]
 [  2   0  97   0   0   0   1   0  41   0   6  23  21   2   7]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   1   0   0 180   0   3   0   0  10   2   0   4   0   0]
 [  0   0   2   0   0 198   0   0   0   0   0   0   0   0   0]
 [  0   2   4   0   8   0  52   0  18  17  34   0  48   0  17]
 [  0   0   0   0   1   0   0  55   0   0 144   0   0   0   0]
 [  0   0   9   0   0   0   0   0 138   0   2  20  15   3  13]
 [  0   0   0   0   0   0   1   0   0 187  12   0   0   0   0]
 [  0   7   0   0   1   0   0   0   0   5 185   0   2   0   0]
 [  0   0  11   0   0   0   0   0  26   0   2 153   4   0   4]
 [  0   0   7   0   3   0   2   0  26   1   2   3 127   0  29]
 [  1   0   1   0   0   0   0   0  10   1   1  10   1 175   0]
 [  0   0   5   0   0   0   1   0  16   1  14   4  13   0 146]]",455.41020941734314,9.898582220077515
Edge_IIoTset_1000,-1,l05_exponential_kernel,RobustScaler,SpectralNFST-Q1,0.29678322563148096,-1,-1,90.72444444444444,30.43333333333333,4.969047619047619,43.807494066820865,30.661143301397704,-1.0,,"[[  0   1  60   0   0   0   1   1 128   0   0   1   6   0   2]
 [  0   0  22   0   0   0   1   5 167   1   0   1   2   1   0]
 [  1   0  65   0   0   0   2   0 115   0   0  13   0   3   1]
 [  0   0   0  57   0   0   0   0 143   0   0   0   0   0   0]
 [  0   0   0   0  86   0   0   0 114   0   0   0   0   0   0]
 [  0   0   0   0   0  74   0   0 126   0   0   0   0   0   0]
 [  0   0  27   0   0   0  12  22 127   8   0   0   2   0   2]
 [  0   0  18   0   0   0   1 148  19   0   0   0   4   0  10]
 [  1   0  71   0   0   0   4   0 110   0   0  13   0   0   1]
 [  0   0  43   0   1   0   6   7 124  15   0   0   4   0   0]
 [  0   1  32   0   0   0   7  17 132   5   0   1   3   0   2]
 [  0   0  11   0   0   0   0   0  31   0   0 154   0   4   0]
 [  0   0  82   0   0   0   0   0 109   0   0   4   1   1   3]
 [  0   0   0   0   0   0   0   0   8   1   0   1   0 190   0]
 [  1   0  76   0   0   0   1  13 102   0   0   2   3   1   1]]",454.6379945278168,9.813230037689209
Edge_IIoTset_1000,-1,l05_exponential_kernel,RobustScaler,SpectralNFST-Q2,0.39227977292452976,-1,-1,92.17333333333333,41.300000000000004,4.192857142857143,64.02129998568839,40.70944641685033,-1.0,,"[[  0   0  95  32   0   0   0   1  71   0   0   1   0   0   0]
 [  0  87  82   1   0   0   1   5  17   1   4   1   0   1   0]
 [  1   0  72   0   0   0   0   0 109   0   0  13   0   3   2]
 [  0   0   0 200   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   1 118  81   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0  98   0 102   0   0   0   0   0   0   0   0   0]
 [  1   0 118  16   0   0  12  22  23   8   0   0   0   0   0]
 [  2   0  36   0   0   0   0 149  13   0   0   0   0   0   0]
 [  3   0  85   0   0   0   0   0  99   0   0  13   0   0   0]
 [  2   0  52  77   0   0   5   7  40  17   0   0   0   0   0]
 [  0   3  84   0   0   0   6  17  29   5  54   1   1   0   0]
 [  0   0  16   0   0   0   0   0  26   0   0 154   0   4   0]
 [  3   0  96   0   0   0   0   0  89   0   0   4   7   1   0]
 [  0   0   3   1   0   0   0   0   2   1   0   1   0 191   1]
 [  3   0  79   0   0   0   0  13  86   0   0   3   1   1  14]]",457.4499554634094,9.771545171737671
