Data Type,Poly,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
IoTID20_2000,-1,laplacian,QuantileTransformer,SpectralNFST-Q1,0.6476788985790658,-1,-1,88.68,71.7,7.074999999999999,72.61151881110426,71.91462629363936,-1.0,,"[[181   0   5  11   3]
 [  0 186   0  14   0]
 [  2   0 106  19  73]
 [  3   0  21 165  11]
 [  1   0 107  13  79]]",21.457709789276123,0.10406136512756348
IoTID20_2000,-1,laplacian,QuantileTransformer,SpectralNFST-Q2,0.7941322681594717,-1,-1,93.4,83.5,4.125,84.08448878014096,83.71155140180522,-1.0,,"[[181   0   2  13   4]
 [  0 186   0  14   0]
 [  2   0 148  18  32]
 [  4   0  17 164  15]
 [  2   0  31  11 156]]",22.79561710357666,0.1017615795135498
IoTID20_2000,-1,laplacian,QuantileTransformer,SpectralNFST-Q3,0.7969905490247036,-1,-1,93.47999999999999,83.7,4.075,84.5187089990263,83.96799196569015,-1.0,,"[[185   0   5   2   8]
 [  1 186   0   2  11]
 [  3   0 150  13  34]
 [  5   0  18 158  19]
 [  4   0  32   6 158]]",22.607325792312622,0.11510133743286133
IoTID20_2000,-1,laplacian,QuantileTransformer,SpectralNFST-Q5,0.7983797002969366,-1,-1,93.52000000000001,83.80000000000001,4.05,84.70786403331883,84.09422729345877,-1.0,,"[[185   0   4   3   8]
 [  1 186   0   0  13]
 [  2   0 149  14  35]
 [  4   0  17 159  20]
 [  4   0  31   6 159]]",20.989331483840942,0.1405022144317627
IoTID20_2000,-1,laplacian,StandardScaler,SpectralNFST-Q1,0.5517088480663681,-1,-1,85.32,63.29999999999999,9.175,64.7477679340297,61.60360558559223,-1.0,,"[[171   1   0  27   1]
 [  0 200   0   0   0]
 [  7   1  31  77  84]
 [ 12   1   6 114  67]
 [  3   0  23  57 117]]",21.754536628723145,0.14073944091796875
IoTID20_2000,-1,laplacian,StandardScaler,SpectralNFST-Q2,0.5985729205910552,-1,-1,87.03999999999999,67.6,8.1,68.42446805484441,67.39540868391066,-1.0,,"[[183   0  10   7   0]
 [  0 192   8   0   0]
 [  3   0  91  43  63]
 [  2   0  43 150   5]
 [  1   0  96  43  60]]",22.452142000198364,0.10505557060241699
IoTID20_2000,-1,laplacian,StandardScaler,SpectralNFST-Q3,0.6155214035868918,-1,-1,87.64,69.10000000000001,7.725,70.768376993439,69.63978512400429,-1.0,,"[[182   0  14   2   2]
 [  0 193   7   0   0]
 [  3   0 101  49  47]
 [  4   0  63 120  13]
 [  1   0  65  39  95]]",22.64933133125305,0.1370391845703125
IoTID20_2000,-1,laplacian,StandardScaler,SpectralNFST-Q5,0.6442454988702384,-1,-1,88.44,71.10000000000001,7.225,74.26770000695188,71.86767925361251,-1.0,,"[[176   0  17   4   3]
 [  0 192   8   0   0]
 [  2   0 123  34  41]
 [  0   0  62 132   6]
 [  1   0  86  25  88]]",22.430057048797607,0.1381056308746338
IoTID20_2000,-1,fractional,QuantileTransformer,SpectralNFST-Q1,0.7365895011450762,-1,-1,91.47999999999999,78.69999999999999,5.325,81.02797363358387,79.44632537659417,-1.0,,"[[184   0  11   1   4]
 [  0 191   9   0   0]
 [  2   0 139   9  50]
 [  1   0  29 159  11]
 [  1   0  81   4 114]]",33.589399099349976,3.321763753890991
IoTID20_2000,-1,fractional,QuantileTransformer,SpectralNFST-Q2,0.8305597782895029,-1,-1,94.56,86.4,3.4000000000000004,86.90326161605064,86.5498442661297,-1.0,,"[[188   0   3   3   6]
 [  2 191   0   1   6]
 [  4   0 152  11  33]
 [  3   0  15 166  16]
 [  2   0  26   5 167]]",34.53509449958801,3.2899153232574463
