Data Type,Poly,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
N_BaIoT_1000,-1,l05_exponential_kernel,QuantileTransformer,SpectralNFST-Q1,0.9832141078164017,-1,-1,99.66666666666667,98.5,0.1875,98.60830451699634,98.52215130396966,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  2 198   0   0   0   0   0   0   0]
 [  3   0 194   3   0   0   0   0   0]
 [  4   0   1 195   0   0   0   0   0]
 [  3   0   0   0 197   0   0   0   0]
 [  3   0   0   0   0 197   0   0   0]
 [  0   0   0   0   0   0 198   2   0]
 [  1   0   0   0   0   0   0 199   0]
 [  5   0   0   0   0   0   0   0 195]]",129.2988064289093,9.283963680267334
N_BaIoT_1000,-1,l05_exponential_kernel,QuantileTransformer,SpectralNFST-Q2,0.9813655216992835,-1,-1,99.62962962962963,98.33333333333333,0.20833333333333334,98.47104526209003,98.36137200192776,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  2 198   0   0   0   0   0   0   0]
 [  3   0 194   3   0   0   0   0   0]
 [  7   0   1 192   0   0   0   0   0]
 [  3   0   0   0 197   0   0   0   0]
 [  3   0   0   0   0 197   0   0   0]
 [  0   0   0   0   0   0 198   2   0]
 [  1   0   0   0   0   0   0 199   0]
 [  5   0   0   0   0   0   0   0 195]]",130.17996954917908,9.28746771812439
N_BaIoT_1000,-1,l05_exponential_kernel,QuantileTransformer,SpectralNFST-Q3,0.9776795972273484,-1,-1,99.55555555555556,98.0,0.25,98.21195237861347,98.04433536834331,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  7 193   0   0   0   0   0   0   0]
 [  4   0 193   3   0   0   0   0   0]
 [  7   0   1 192   0   0   0   0   0]
 [  3   0   0   0 197   0   0   0   0]
 [  3   0   0   0   0 197   0   0   0]
 [  0   0   0   0   0   0 198   2   0]
 [  1   0   0   0   0   0   0 199   0]
 [  5   0   0   0   0   0   0   0 195]]",129.84200072288513,9.278172016143799
N_BaIoT_1000,-1,l05_exponential_kernel,QuantileTransformer,SpectralNFST-Q5,0.9715837018489708,-1,-1,99.4320987654321,97.44444444444444,0.3194444444444445,97.8273483598912,97.52702201546377,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  7 193   0   0   0   0   0   0   0]
 [  8   0 189   3   0   0   0   0   0]
 [  9   0   0 191   0   0   0   0   0]
 [  5   0   0   0 195   0   0   0   0]
 [  5   0   0   0   0 195   0   0   0]
 [  0   0   0   0   0   0 198   2   0]
 [  1   0   0   0   0   0   0 199   0]
 [  6   0   0   0   0   0   0   0 194]]",130.10143542289734,9.322665929794312
N_BaIoT_1000,-1,l05_exponential_kernel,StandardScaler,SpectralNFST-Q1,0.9397994479804449,-1,-1,98.76543209876543,94.44444444444444,0.6944444444444444,95.8170375450164,94.22152572655048,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  1 199   0   0   0   0   0   0   0]
 [  1   0 192   7   0   0   0   0   0]
 [  2   0   0 197   0   1   0   0   0]
 [  3   0   0   0 197   0   0   0   0]
 [  0   0   0   0   1 199   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0   0   1   0  83 116   0]
 [  0   0   0   0   0   0   0   0 200]]",131.05204343795776,9.300171613693237
N_BaIoT_1000,-1,l05_exponential_kernel,StandardScaler,SpectralNFST-Q2,0.9750734718456202,-1,-1,99.50617283950616,97.77777777777779,0.2777777777777778,97.85126935078333,97.78580948162256,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  1 197   0   0   1   0   0   1   0]
 [  1   0 190   9   0   0   0   0   0]
 [  2   0   2 196   0   0   0   0   0]
 [  3   0   0   0 197   0   0   0   0]
 [  1   0   2   0   0 197   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   9   0   0   1   0   0 190   0]
 [  0   7   0   0   0   0   0   0 193]]",131.41352820396423,9.294001579284668
N_BaIoT_1000,-1,l05_exponential_kernel,StandardScaler,SpectralNFST-Q3,0.9869137234162021,-1,-1,99.74074074074075,98.83333333333333,0.14583333333333334,98.871181259787,98.83700496565436,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  1 199   0   0   0   0   0   0   0]
 [  1   0 191   8   0   0   0   0   0]
 [  3   0   0 197   0   0   0   0   0]
 [  3   0   0   0 197   0   0   0   0]
 [  1   0   0   0   0 199   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   1   0   0   0   0   0 199   0]
 [  1   0   0   0   0   0   0   2 197]]",131.69670391082764,9.352184295654297
N_BaIoT_1000,-1,l05_exponential_kernel,StandardScaler,SpectralNFST-Q5,0.986290753827989,-1,-1,99.72839506172839,98.77777777777779,0.1527777777777778,98.81836750639515,98.78212899031207,-1.0,,"[[200   0   0   0   0   0   0   0   0]
 [  1 199   0   0   0   0   0   0   0]
 [  1   0 192   7   0   0   0   0   0]
 [  3   0   0 197   0   0   0   0   0]
 [  3   0   0   0 197   0   0   0   0]
 [  1   0   0   0   0 199   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   1   0   0   0   0   0 199   0]
 [  2   1   0   0   0   0   0   2 195]]",132.44256472587585,9.455166101455688
N_BaIoT_1000,-1,l05_exponential_kernel,RobustScaler,SpectralNFST-Q1,0.705057048755611,-1,-1,93.41975308641976,70.38888888888889,3.701388888888889,90.47009870180602,73.46907534650242,-1.0,,"[[ 61   0   0 139   0   0   0   0   0]
 [  0 143   0  51   0   6   0   0   0]
 [  0   0 111  89   0   0   0   0   0]
 [  0   0   0 200   0   0   0   0   0]
 [  0   0   0  40 160   0   0   0   0]
 [  0   0   0  43   0 157   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   0   0  29   0   0  22 149   0]
 [  0   0   0 113   0   1   0   0  86]]",138.98573112487793,9.433385848999023
N_BaIoT_1000,-1,l05_exponential_kernel,RobustScaler,SpectralNFST-Q2,0.7001268911706289,-1,-1,93.25925925925927,69.66666666666667,3.791666666666667,89.63288906501997,72.24490525175577,-1.0,,"[[ 69   0   0   0   0   0   0   0 131]
 [  0 149   0   0   0   0   0   0  51]
 [  0   0 111   0   0   0   0   0  89]
 [  0   0   0  44   0   0   0   0 156]
 [  1   0   0   0 160   0   0   0  39]
 [  2   0   0   2   0 158   0   0  38]
 [  0   0   0   0   0   0 200   0   0]
 [  7   0   0   0   0   0   8 163  22]
 [  0   0   0   0   0   0   0   0 200]]",129.98904943466187,9.27533745765686
